name & estimate & se & cv & lower & upper & se.sa & cv.sa & lower.sa & upper.sa
E0 & 23.4 & 1.08 & 4.63 & 21.27 & 25.52 & 1.1 & 4.72 & 21.23 & 25.56
Emax & 107.19 & 6.09 & 5.68 & 95.25 & 119.13 & 6.58 & 6.14 & 94.29 & 120.08
EC50 & 15.25 & 0.77 & 5.04 & 13.74 & 16.75 & 0.79 & 5.19 & 13.7 & 16.8
Var.E0 & 0.13 & 0.03 & 21.91 & 0.07 & 0.18 & 0.03 & 22.43 & 0.07 & 0.18
Var.Emax & 0.3 & 0.04 & 14.8 & 0.21 & 0.39 & 0.05 & 16.87 & 0.2 & 0.4
Var.EC50 & 0.07 & 0.03 & 38.02 & 0.02 & 0.12 & 0.03 & 41.13 & 0.01 & 0.13
a.1 & 4.81 & 0.42 & 8.79 & 3.98 & 5.64 & 0.39 & 8.07 & 4.05 & 5.57
SD.E0 & 0.36 & 0.04 & 10.96 & 0.28 & 0.43 & 0.04 & 11.22 & 0.28 & 0.44
SD.Emax & 0.55 & 0.04 & 7.4 & 0.47 & 0.63 & 0.05 & 8.43 & 0.46 & 0.64
SD.EC50 & 0.27 & 0.05 & 19.01 & 0.17 & 0.37 & 0.05 & 20.56 & 0.16 & 0.37
