"id","time","obs"
1,0,16.8831452538815
1,1,19.8120250825199
1,2,16.8782523677809
1,3,17.6991670390557
1,4,18.4225166422322
1,5,16.2904570549269
1,6,18.0061605072438
1,7,19.6948509751251
1,8,16.1509614147814
1,9,20.9803024100405
1,10,16.733746945691
2,0,11.8453755689706
2,1,13.0927798073169
2,2,10.7937770168457
2,3,12.4405190476174
2,4,14.7652699374361
2,5,14.3053000966948
2,6,13.5995151622449
2,7,13.1063571233268
2,8,15.6795282094544
2,9,8.55543598585745
2,10,13.2482736738632
3,0,15.9411896642018
3,1,17.8792291052042
3,2,16.0330358334664
3,3,16.7925248145362
3,4,14.6693044909897
3,5,15.5045661842918
3,6,14.9136980383356
3,7,16.5971457862383
3,8,20.3650032900047
3,9,16.9963158019413
3,10,16.3934508356012
4,0,20.4560119923016
4,1,16.6703966153596
4,2,20.1086550706471
4,3,20.7256390855142
4,4,18.2254721724217
4,5,16.7180679780205
4,6,22.3875412244645
4,7,20.9325261798632
4,8,16.6506603999783
4,9,20.1570857327106
4,10,19.7622466060591
5,0,9.16733338914791
5,1,9.33862141790543
5,2,11.8909487992489
5,3,9.02140598887402
5,4,12.581488385131
5,5,8.05869357501902
5,6,9.0686089332913
5,7,11.0004023236034
5,8,13.5966813507718
5,9,12.3377276266947
5,10,9.43363509700954
6,0,8.39650251299723
6,1,14.2757503305391
6,2,12.4897254217706
6,3,11.4209055665478
6,4,16.4192134526225
6,5,12.9295768195968
6,6,14.1841615795123
6,7,14.8037314740909
6,8,15.1645254237021
6,9,12.2039208494494
6,10,16.7021591355003
7,0,23.0321787674712
7,1,23.5662543063559
7,2,25.4521730903829
7,3,23.9485830296367
7,4,21.5067421226154
7,5,23.040310032461
7,6,22.3458905189114
7,7,24.7125782491907
7,8,26.9310230466434
7,9,27.5734627943632
7,10,22.7383144831252
8,0,14.80647227852
8,1,15.867283525941
8,2,17.3295200566822
8,3,12.7967930978843
8,4,18.9105602091684
8,5,18.3442413465434
8,6,21.4875500513706
8,7,17.5569390992301
8,8,20.7697114306041
8,9,16.7849489625573
8,10,19.4107967985971
9,0,16.0998011941575
9,1,17.3112328214478
9,2,16.1848899195214
9,3,17.7210965774894
9,4,15.7618251919597
9,5,20.2901179368792
9,6,16.6160786670918
9,7,15.413519637388
9,8,18.4208335510935
9,9,22.639778250947
9,10,12.6724162264722
10,0,22.3520224411339
10,1,19.7983234219062
10,2,19.6110705060659
10,3,18.2762837395829
10,4,22.6652509034344
10,5,18.5414778191988
10,6,24.1200814641653
10,7,21.1164165438985
10,8,24.5227371701833
10,9,22.4901989847715
10,10,23.4408977120623
11,0,12.0401351957886
11,1,11.9104442595913
11,2,13.9106870907064
11,3,14.3854632390469
11,4,16.197977078674
11,5,14.4556349235609
11,6,16.2023641556448
11,7,14.6465153065932
11,8,18.3934071464301
11,9,17.9280378935416
11,10,15.5256328746444
12,0,18.2353704735569
12,1,15.5897688772586
12,2,17.4821489692553
12,3,17.7939369913367
12,4,15.8557218722451
12,5,14.6403516487084
12,6,16.7122838884133
12,7,21.9354542518455
12,8,17.1151598086987
12,9,19.1683663556727
12,10,17.0185450939465
13,0,15.5425544732386
13,1,19.5058030502381
13,2,18.6396472903636
13,3,18.7040814879397
13,4,23.4190442758549
13,5,23.8573190956207
13,6,22.1899354309551
13,7,20.6820732429489
13,8,19.5794660847634
13,9,24.1917164124479
13,10,22.3450276364241
14,0,14.6166233456873
14,1,16.4289283738677
14,2,17.0633233405298
14,3,13.9752942358274
14,4,13.4865431627959
14,5,15.5340624152852
14,6,18.4817201882187
14,7,15.9278350636025
14,8,17.0073332647292
14,9,17.7641266532653
14,10,18.2793248195832
15,0,10.3141252883876
15,1,12.8523341502841
15,2,11.8099744467099
15,3,10.367191454332
15,4,16.0144332985579
15,5,10.7961419483919
15,6,9.57994183696763
15,7,13.4694714529274
15,8,14.6494350555851
15,9,15.4906757408309
15,10,14.2513186875552
16,0,18.9211526577863
16,1,17.2329134328297
16,2,16.2830933008404
16,3,18.6642868671934
16,4,20.1627289376609
16,5,18.152449279971
16,6,19.4078490269112
16,7,17.3564739737144
16,8,17.1706190990173
16,9,19.7992147373067
16,10,21.6937402026678
17,0,13.3193099536341
17,1,13.930074678227
17,2,7.57655577992943
17,3,11.9301942082872
17,4,13.4985430610707
17,5,20.4419439574824
17,6,16.1981047496519
17,7,10.8570319094005
17,8,17.938987820215
17,9,15.8271901295051
17,10,18.6184819409411
18,0,12.8756124000022
18,1,13.0066273692416
18,2,14.7941757111889
18,3,17.6324285776123
18,4,15.3616654409342
18,5,17.1144612706837
18,6,15.5322078407454
18,7,17.796323639402
18,8,18.4965561442978
18,9,17.0151334618373
18,10,19.1909089891373
19,0,13.7801202201219
19,1,15.9976492711129
19,2,17.9644126814901
19,3,14.948727645022
19,4,18.3852111601211
19,5,17.8833967223402
19,6,21.251037293098
19,7,18.5194996628523
19,8,15.2375323366037
19,9,19.7362796925708
19,10,21.5263195788002
20,0,15.2970952453399
20,1,18.2971887986319
20,2,16.9866581000301
20,3,15.0384893840477
20,4,18.0669480612652
20,5,13.1778261841749
20,6,20.3495473680953
20,7,18.6842312137352
20,8,20.3032542072529
20,9,17.2671344286274
20,10,19.4802076090367
21,0,20.6620740436878
21,1,20.3111390258222
21,2,14.9096396750184
21,3,20.8170030432473
21,4,23.7113389063504
21,5,21.8291575010824
21,6,22.9836465134727
21,7,19.8837490515282
21,8,19.6502993998175
21,9,21.1004670778979
21,10,18.9600974149903
22,0,13.8986371517046
22,1,10.9546329638934
22,2,12.9364525087858
22,3,12.7724223937385
22,4,12.8228142896987
22,5,12.713231005516
22,6,15.8663186296279
22,7,15.571451117567
22,8,11.0310723255998
22,9,16.1342391019445
22,10,12.7369290607416
23,0,13.5435192855733
23,1,11.3370553877863
23,2,15.6857080802639
23,3,17.4607970948033
23,4,16.8594040764367
23,5,17.3884484361764
23,6,15.8079213414711
23,7,15.2601918288812
23,8,14.8642054431718
23,9,17.1346788346164
23,10,16.5341168098024
24,0,17.1895221340669
24,1,14.6720339600817
24,2,16.5038454202475
24,3,15.0474158102363
24,4,16.2675528122685
24,5,17.0048474603832
24,6,18.8687692606551
24,7,18.8293591802536
24,8,18.710650575578
24,9,15.2279801968104
