p1_pop,1,0.211,nan,-0.791,nan,0.0877,-1.46e-5,-0.0423,-0.000682,-0.00294,-0.000423
p2_pop,0.211,1,nan,-0.514,nan,0.146,-0.000642,0.000712,1.25e-5,-0.00158,-2.64e-5
g1_pop,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
g2_pop,-0.791,-0.514,nan,1,nan,-0.14,0.000546,0.0273,0.000429,0.00302,0.000264
alpha1_pop,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
alpha2_pop,0.0877,0.146,nan,-0.14,nan,1,1.31e-5,0.0144,0.000112,-0.000573,0.000134
b0_pop,-1.46e-5,-0.000642,nan,0.000546,nan,1.31e-5,1,-0.0288,-0.00242,0.00388,-0.000815
b1_pop,-0.0423,0.000712,nan,0.0273,nan,0.0144,-0.0288,1,0.003,-0.0187,0.00728
omega_b0,-0.000682,1.25e-5,nan,0.000429,nan,0.000112,-0.00242,0.003,1,-0.00155,-0.00269
omega_b1,-0.00294,-0.00158,nan,0.00302,nan,-0.000573,0.00388,-0.0187,-0.00155,1,-0.0359
a,-0.000423,-2.64e-5,nan,0.000264,nan,0.000134,-0.000815,0.00728,-0.00269,-0.0359,1
