p1_pop,0.0106,1.09e-5,nan,-0.00374,nan,3.16e-5,-1.41e-7,-1.8e-5,-4.71e-6,-9.51e-7,-1.47e-7
p2_pop,1.09e-5,2.52e-7,nan,-1.19e-5,nan,2.56e-7,-3.03e-8,1.48e-9,4.2e-10,-2.5e-9,-4.49e-11
g1_pop,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
g2_pop,-0.00374,-1.19e-5,nan,0.00211,nan,-2.25e-5,2.35e-6,5.18e-6,1.32e-6,4.36e-7,4.1e-8
alpha1_pop,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
alpha2_pop,3.16e-5,2.56e-7,nan,-2.25e-5,nan,1.22e-5,4.3e-9,2.08e-7,2.63e-8,-6.28e-9,1.58e-9
b0_pop,-1.41e-7,-3.03e-8,nan,2.35e-6,nan,4.3e-9,0.00881,-1.12e-5,-1.52e-5,1.14e-6,-2.59e-7
b1_pop,-1.8e-5,1.48e-9,nan,5.18e-6,nan,2.08e-7,-1.12e-5,1.71e-5,8.33e-7,-2.43e-7,1.02e-7
omega_b0,-4.71e-6,4.2e-10,nan,1.32e-6,nan,2.63e-8,-1.52e-5,8.33e-7,0.00449,-3.27e-7,-6.11e-7
omega_b1,-9.51e-7,-2.5e-9,nan,4.36e-7,nan,-6.28e-9,1.14e-6,-2.43e-7,-3.27e-7,9.87e-6,-3.82e-7
a,-1.47e-7,-4.49e-11,nan,4.1e-8,nan,1.58e-9,-2.59e-7,1.02e-7,-6.11e-7,-3.82e-7,1.14e-5
