parameter,value,se_sa,rse_sa
p1_pop,0.0416373124880257,0.00429079161496726,10.3051598640072
p2_pop,0.984446278599217,0.000494501720255605,0.0502314581308834
g1_pop,0.0755527917485774,nan,nan
g2_pop,0.198265901174507,0.00909926336055449,4.5894242563403
alpha1_pop,0.143443056747885,nan,nan
alpha2_pop,-0.0994998838827912,0.00349004993032022,-3.50759196305337
b0_pop,14.8830780333965,0.0938751159430365,0.630750680285272
b1_pop,0.105442277428113,0.00413931205333764,3.92566639710496
omega_b0,2.9544899551453,0.0670100684355027,2.26807568997835
omega_b1,0.10244686075477,0.00314216492006661,3.06711684176259
a,0.492552704636101,0.00338363182762153,0.686958328677002
