Simulation theta1 theta2 beta omega2.theta1 omega2.theta2
1 -2.416084 0.110214 0.5063923 0.8562196 0.043305
2 -2.342682 0.116516 0.5455691 1.172028 0.04944624
3 -2.464436 0.06877552 0.5372316 1.636764 0.0409347
4 -2.226789 0.07274016 0.6093747 1.079255 0.03921787
5 -2.092761 0.1110953 0.4919775 1.840182 0.03399461
6 -2.27807 0.1137189 0.4794585 1.215455 0.03557679
7 -2.232847 0.09868712 0.5273781 1.064829 0.04149161
8 -2.344875 0.1172559 0.6146292 1.28873 0.103867
9 -2.361577 0.05920723 0.6461274 1.100153 0.07797355
10 -2.361766 0.101162 0.6020441 1.290906 0.06990945
11 -1.946788 0.1052641 0.4163856 0.5542967 0.01797551
12 -1.73322 0.08633455 0.4165055 0.6111265 0.0135727
13 -2.059219 -0.009588763 0.64223 1.707022 0.06748326
14 -2.205967 0.09593884 0.4644009 0.8449887 0.03598431
15 -2.121345 0.09227398 0.512126 0.7860602 0.0403148
16 -2.259541 0.1182321 0.4677433 0.9818427 0.04077458
17 -2.221051 0.07952763 0.5848848 0.8851222 0.06486764
18 -2.422078 0.1104462 0.5780978 0.9777436 0.04909097
19 -2.255602 0.05732278 0.5391364 1.243085 0.04017439
20 -2.117392 0.08176159 0.5007313 0.7074871 0.04347464
21 -2.102438 0.1338403 0.5829451 0.7004645 0.07144549
22 -2.737841 0.1656984 0.5869899 1.8844 0.04480853
23 -2.155986 0.05825978 0.5899842 1.407267 0.06236722
24 -2.197154 0.1056044 0.542826 1.700952 0.02885534
25 -2.1108 0.06848787 0.5321225 0.9010777 0.03641408
26 -2.436754 0.1426102 0.5367081 1.866676 0.03199077
27 -2.241744 0.0722852 0.613081 0.8627672 0.0618164
28 -2.039214 0.07616759 0.4352629 0.613119 0.0315723
29 -2.330433 0.09293405 0.4772834 1.138846 0.03078435
30 -2.465081 0.07588457 0.6027634 1.488369 0.05245029
31 -1.881243 0.08875201 0.4752673 0.3467233 0.03773418
32 -1.851538 0.05286902 0.5128775 0.7312852 0.03698883
33 -2.282865 0.1428801 0.4787025 1.179786 0.03857754
34 -2.455099 0.1011259 0.6932597 1.493441 0.05106209
35 -2.222538 0.1291821 0.4843927 1.388083 0.04307508
36 -2.610093 0.06870714 0.7106025 1.69323 0.08444148
37 -2.476034 0.1230449 0.5902224 1.976111 0.05748993
38 -2.375805 0.07119283 0.5326369 1.093407 0.04572616
39 -1.819672 0.08399305 0.4294055 0.6124381 0.02519469
40 -2.639305 0.1058463 0.5939905 1.408234 0.06440324
41 -2.385574 0.1332287 0.4679992 1.482727 0.02894992
42 -2.484428 0.07091226 0.735928 1.496686 0.0947161
43 -2.192 0.06734269 0.5144074 1.228779 0.03115544
44 -2.0649 0.1177893 0.4081259 0.6651151 0.03809189
45 -2.544918 0.117003 0.482327 1.073391 0.02862629
46 -2.212342 0.08558587 0.5150674 0.985695 0.04050511
47 -2.431412 0.1088467 0.5884339 1.286559 0.05390202
48 -2.033047 0.07035974 0.5316448 0.7894875 0.06359052
49 -2.222132 0.06473416 0.6727299 1.34126 0.08806395
50 -2.213229 0.06938373 0.5394048 1.327744 0.02820452
51 -1.958347 0.07689371 0.5286704 1.124796 0.04523903
52 -2.307047 0.08723637 0.6252714 0.8387772 0.04243966
53 -2.219728 0.104031 0.448386 1.202431 0.03082701
54 -2.353643 0.05362912 0.5605102 0.8532291 0.03122623
55 -2.062198 0.09564835 0.4913296 1.211031 0.03527282
56 -1.877104 0.05115097 0.4857218 0.6565514 0.02956946
57 -2.226464 0.07843404 0.6323406 1.057436 0.03966394
58 -2.320977 0.1209846 0.5119379 1.175881 0.03842304
59 -2.041044 0.1002582 0.4840756 0.9420035 0.02790546
60 -2.16915 0.08713687 0.6003626 0.929912 0.07363193
61 -2.219505 0.09798245 0.5501472 1.467241 0.04678705
62 -2.323111 0.08024012 0.8098407 1.646389 0.1131904
63 -1.891881 0.08516673 0.3971526 0.6504854 0.02285739
64 -2.092271 0.06505565 0.4891428 1.22694 0.04271269
65 -2.322687 0.1205685 0.4726649 0.91278 0.03913313
66 -2.165769 0.09700472 0.4844726 0.8400673 0.0301568
67 -2.26196 0.1135846 0.5157111 1.086221 0.05444601
68 -2.137947 0.1063264 0.4219151 0.6852234 0.02330032
69 -2.181626 0.08079086 0.5733436 1.16592 0.03503313
70 -2.397469 0.100904 0.5477305 1.51658 0.04528688
71 -2.024315 0.1271282 0.3551997 0.5002869 0.02531562
72 -2.290688 0.06995741 0.5914105 0.9076915 0.04016852
73 -2.200565 0.01883409 0.610785 1.302065 0.05525108
74 -2.094234 0.05242521 0.6346128 1.13546 0.05008164
75 -2.266755 0.1272572 0.4591486 1.689459 0.02133825
76 -2.352385 0.1392214 0.5147395 1.019643 0.04318919
77 -2.216486 0.1007251 0.4982165 0.8041671 0.02919372
78 -2.148893 0.09971422 0.4392334 1.099894 0.0231888
79 -1.77481 0.03926055 0.445325 0.4147751 0.02695702
80 -2.131601 0.1217925 0.4766612 1.193798 0.04282569
81 -2.088152 0.1027804 0.4372411 0.7103039 0.05870623
82 -1.998146 0.06466726 0.4926178 0.5151436 0.04313007
83 -2.03905 0.07086581 0.4753197 0.8580394 0.02607227
84 -2.287264 0.1231018 0.5170661 1.075409 0.03878116
85 -2.32608 0.0706896 0.476357 1.523421 0.02241864
86 -2.527423 0.1259677 0.5056369 1.329019 0.04234752
87 -2.13953 0.08243062 0.5621324 0.518346 0.06111919
88 -2.186676 0.08179241 0.5035293 1.291239 0.02879639
89 -2.201373 0.0988301 0.5295291 0.9619276 0.03454496
90 -2.135525 0.09628019 0.5092167 1.132157 0.06144408
91 -2.159856 0.06065926 0.5833397 1.205906 0.05775414
92 -1.917606 0.1130421 0.3956983 0.6258692 0.02767933
93 -2.10519 0.1053677 0.4573447 0.8670266 0.03835659
94 -2.239025 0.07362979 0.64145 1.740239 0.05270228
95 -1.872007 0.0420418 0.4342359 0.4235446 0.03145061
96 -1.729065 0.08735515 0.4586171 0.3991641 0.02810551
97 -2.165725 0.08275633 0.6099228 1.221888 0.07172263
98 -2.581039 0.08461788 0.5963256 2.250919 0.02891069
99 -2.183649 0.06823667 0.5906344 0.6561615 0.03376047
100 -2.302574 0.06517571 0.579668 1.412282 0.05067803
101 -2.735682 0.1257077 0.7569163 2.199598 0.06616434
102 -2.235345 0.08367591 0.5476358 0.9570039 0.03922832
103 -2.229227 0.1021426 0.5371385 1.062427 0.03785158
104 -2.260766 0.0860312 0.5127052 0.7152927 0.04574459
105 -2.249198 0.06182757 0.6372296 1.533587 0.04800874
106 -2.296246 0.08960273 0.7119497 1.522431 0.07088802
107 -2.030003 0.1049888 0.4506663 0.6657554 0.02667716
108 -2.118209 0.1199366 0.4644201 1.295378 0.05845064
109 -1.826805 0.07768819 0.4072891 0.7352086 0.01449595
110 -2.467028 0.05015848 0.7554305 0.8229536 0.08082856
111 -2.121439 0.0603123 0.5769908 0.7981986 0.0467267
112 -2.510857 0.0973475 0.6253576 1.941868 0.06598666
113 -2.129912 0.1022933 0.4452609 1.184124 0.03145791
114 -2.416465 0.1694433 0.4528093 1.05621 0.03291169
115 -2.009649 0.1028437 0.4292219 0.926489 0.01356832
116 -2.114292 0.1169117 0.5444233 0.6462245 0.04636732
117 -2.175071 0.09197269 0.5039169 0.8533129 0.03706761
118 -2.119176 0.08801484 0.5039829 0.6556472 0.02947427
119 -2.217267 0.1077892 0.455509 0.6451087 0.01766257
120 -1.980653 0.08042999 0.4413821 1.097656 0.02560122
121 -2.323339 0.08881271 0.47191 1.67286 0.03439066
122 -2.105495 0.09864103 0.4153072 1.073985 0.02901916
123 -2.340361 0.1060374 0.4429967 1.027904 0.03196674
124 -2.223944 0.08595213 0.5566178 0.5727335 0.04806794
125 -2.191972 0.112292 0.5261485 1.47291 0.0274463
126 -2.114926 0.0957492 0.5756081 0.6719427 0.05626089
127 -1.977417 0.09264731 0.482266 0.5086488 0.02276764
128 -2.402926 0.05224549 0.6115029 1.765142 0.06895272
129 -2.281899 0.116538 0.5485842 1.114671 0.05962884
130 -2.612833 0.1299751 0.5978713 1.350025 0.07166763
131 -1.946556 0.07958335 0.4530485 0.6062806 0.02938396
132 -2.194353 0.1423857 0.4533952 1.042833 0.03392151
133 -2.426961 0.08764053 0.4854661 1.88214 0.02229891
134 -2.603594 0.06319026 0.6798503 1.628027 0.0807087
135 -1.913007 0.1007972 0.4456516 0.7727786 0.02120594
136 -1.757968 0.04143909 0.4747641 0.7187676 0.02595855
137 -2.062495 0.09130084 0.5071369 0.8109705 0.03502926
138 -2.07747 0.04800968 0.5969192 1.09908 0.07057624
139 -2.039548 0.08901918 0.5466638 0.9196703 0.03649596
140 -2.293445 0.05222833 0.6562015 2.115802 0.06526514
141 -2.479341 0.1162236 0.5906019 1.939693 0.04052941
142 -2.109102 0.07451586 0.5627108 1.192612 0.05108699
143 -2.117222 0.08659395 0.5482818 1.03993 0.07292761
144 -2.098399 0.100789 0.5227729 0.6980361 0.05223953
145 -2.31287 0.1111697 0.5261553 1.041129 0.0354637
146 -2.107972 0.08465395 0.4438342 0.8370012 0.02677034
147 -2.345013 0.06337966 0.6304705 0.9006288 0.1082932
148 -2.600828 0.1203695 0.497815 2.021079 0.04213045
149 -2.32054 0.05384833 0.6718487 0.8149285 0.09213749
150 -2.091734 0.08943731 0.5251732 0.436888 0.03213888
151 -2.238928 0.08243401 0.58865 0.7511144 0.06132851
152 -2.252616 0.04924343 0.5709662 0.9854032 0.05090052
153 -2.126003 0.06455017 0.5754316 0.9151422 0.05557599
154 -2.067783 0.0616023 0.5502762 0.925472 0.05399059
155 -2.199983 0.06223418 0.6274114 0.6376192 0.0746657
156 -2.379191 0.125227 0.4349176 1.372864 0.01923322
157 -2.336982 0.04179183 0.5524436 0.5484743 0.066406
158 -2.175252 0.1079499 0.616274 1.633806 0.07890467
159 -2.187336 0.116062 0.5118685 1.019709 0.05036283
160 -2.313843 0.09211603 0.6131619 1.822161 0.04817753
161 -2.557171 0.1258459 0.5107678 2.113023 0.04112283
162 -2.080223 0.02802232 0.6276304 1.073137 0.03797135
163 -2.043173 0.08871132 0.4935215 0.5318833 0.04327435
164 -2.104172 0.07085099 0.5750997 0.7309114 0.04791656
165 -2.09379 0.08809117 0.4513055 0.7088432 0.0386647
166 -2.052706 0.09120643 0.4406561 0.4101603 0.03644551
167 -2.165295 0.09659098 0.4790399 0.7021489 0.03755417
168 -2.489391 0.1359911 0.4579868 0.8993874 0.02714844
169 -2.487244 0.08786267 0.6143659 0.9740997 0.05854168
170 -2.205858 0.06363291 0.5634801 0.7226473 0.05580349
171 -2.378299 0.1029657 0.474928 1.647834 0.03109308
172 -2.155231 0.02511389 0.5986255 1.072777 0.06243934
173 -2.294152 0.1213143 0.5538728 1.167111 0.06809647
174 -2.238937 0.05951223 0.6146575 1.281786 0.03603481
175 -2.334965 0.1232464 0.4764092 0.9023827 0.04011488
176 -2.079463 0.1399596 0.4606729 1.067228 0.03628864
177 -2.097635 0.1357889 0.4860272 1.065197 0.03763165
178 -2.788802 0.1701732 0.5340889 1.892354 0.05426889
179 -2.028338 0.08945044 0.4434896 1.022179 0.02089314
180 -1.986221 0.0857751 0.5038115 0.9491209 0.04096444
181 -2.18114 0.1070525 0.5278819 1.129846 0.03567942
182 -1.992854 0.06958324 0.4886397 0.4886192 0.03676924
183 -2.190282 0.03533297 0.5992842 1.144491 0.06016848
184 -2.590521 0.1595538 0.6935506 1.748409 0.06274705
185 -2.415145 0.1038209 0.4965834 0.8521268 0.03152756
186 -2.519169 0.0766739 0.6599868 1.74036 0.06419701
187 -2.158117 0.1143417 0.4369163 0.9814875 0.02350987
188 -2.332345 0.1213118 0.4984022 1.273637 0.0384986
189 -2.236001 0.1286232 0.5038852 0.9791399 0.0437784
190 -2.07895 0.08246246 0.486997 1.245598 0.02801029
191 -1.97292 0.05549189 0.491582 0.7280804 0.03198907
192 -2.199807 0.06102462 0.5551983 1.733434 0.03476387
193 -2.008862 0.06943337 0.4530706 1.220595 0.04366002
194 -1.843038 0.07342753 0.398575 0.5504501 0.01429444
195 -2.340323 0.12728 0.5600309 1.006547 0.06361608
196 -2.10405 0.11306 0.4928151 1.74258 0.01928052
197 -2.193703 0.04435002 0.5724729 1.017269 0.04730349
198 -2.268777 0.0770499 0.658016 1.107493 0.05749798
199 -2.12708 0.07624504 0.5237436 1.133326 0.02479911
200 -2.702616 0.08285007 0.7684488 2.220576 0.08723302
