id,importanceSampling
1,24.229
2,22.548
3,23.370
4,26.344
5,28.191
6,25.121
7,23.572
8,21.946
9,21.386
10,24.823
11,25.435
12,26.419
13,28.852
14,23.186
15,25.907
16,25.865
17,22.931
18,29.959
19,29.645
20,27.609
21,23.094
22,30.936
23,24.425
24,23.097
25,24.323
26,22.433
27,25.281
28,24.449
29,22.885
30,22.780
31,25.523
32,33.959
33,23.238
34,21.356
35,24.933
36,28.645
37,26.141
38,22.205
39,27.363
40,22.221
41,23.647
42,28.455
43,21.528
44,26.949
45,25.990
46,23.472
47,30.778
48,21.362
49,21.680
50,22.144
51,20.885
52,25.251
53,21.795
54,24.336
55,21.086
56,28.539
57,29.211
58,23.584
59,24.598
60,21.646
61,22.272
62,23.108
63,20.811
64,21.346
65,21.784
66,22.199
67,21.269
68,27.409
69,22.664
70,21.691
71,27.723
72,23.169
73,21.275
74,20.952
75,21.241
76,25.368
77,24.351
78,22.378
79,22.894
80,22.791
81,27.521
82,27.174
83,27.354
84,27.869
85,21.551
86,24.499
87,28.906
88,26.397
89,23.378
90,24.245
91,26.714
92,26.742
93,22.122
94,28.876
95,23.353
96,26.576
97,24.147
98,21.311
99,21.756
100,23.610
