Simulation theta1 theta2 beta omega2.theta1 omega2.theta2
1 -1.481876 0.04543367 0.5020568 0.6299397 0.02885157
2 -1.572703 0.1269784 0.4955118 0.8067344 0.0303463
3 -3.266431 0.2600088 0.8403634 5.123564 0.2181077
4 -5.285653 -0.07948402 2.035355 14.48823 0.7379813
5 -3.637257 -0.05431183 2.060083 3.295295 0.1816015
6 -12.69923 -3.027587 8.3002 131.853 10.41337
7 -8.466909 0.5412011 1.074917 28.92388 0.1978478
8 -2.750172 0.2791615 0.3230095 0.9808521 0.01448757
9 -3.241404 0.05056053 2.547808 17.48255 0.7355497
10 -4.054157 0.1826898 0.5012149 2.818434 0.02451597
11 -1.80891 0.2848648 0.2674717 0.8622194 0.02263864
12 -2.246174 -0.3465254 2.10666 1.481178 1.085592
13 -2.070374 0.02275358 0.6874409 1.309063 0.09546182
14 -19.94256 1.740169 4.023014 156.8083 1.552309
15 -2.936841 0.101031 0.732689 2.317043 0.08360137
16 -4.284589 0.2998359 1.334476 10.07242 0.07199521
17 -3.127828 0.08233515 0.9871941 2.197776 0.4673115
18 -1.249969 0.05069956 0.3406519 1.927491 0.02941868
19 -7.089719 0.5236738 1.818998 22.85777 0.9046815
20 -2.060604 0.1258656 0.6313505 1.656237 0.1375523
21 -4.502938 0.2577085 1.074493 7.103892 0.2052777
22 -4.726334 0.5324522 1.284959 3.888327 0.6431461
23 -12.18893 -3.12236 7.69061 56.97316 7.09993
24 -1.51818 -0.05728932 0.5275227 0.6234533 0.02169569
25 -2.895096 0.09570288 0.818456 1.42775 0.0715631
26 -4.156815 0.0872037 0.5548499 6.62669 0.04406906
27 -1.246834 0.0234737 0.3861463 2.14665 0.02841124
28 -1.557391 -0.6832936 1.467534 2.159974 1.001496
29 -1.476627 -0.02299933 0.5760575 0.8215987 0.04998374
30 -8.006642 0.3366452 2.905641 12.29739 0.2664081
31 -3.962092 0.08504565 2.253846 8.947748 0.2776964
32 -2.670422 0.2029155 0.3346749 1.027365 0.02683522
33 -1.987397 -0.09217649 0.8388278 4.445338 0.1157926
34 -2.587953 0.06489448 0.4545103 1.020378 0.02106674
35 -3.228557 -0.130436 1.104808 2.840104 0.07252688
36 -2.084406 0.1436462 0.2861231 0.6644131 0.03395226
37 -1.985195 0.163293 0.8049288 1.421989 0.1366645
38 -2.13405 0.02634805 0.4270209 2.198354 0.1068063
39 -2.51165 0.1340427 0.8504199 2.225573 0.04816649
40 -56.31939 1.772724 22.90107 397.6732 32.92185
41 -18.3293 -1.336732 9.119938 94.5801 7.962078
42 -3.012135 0.1313347 0.7423605 1.662711 0.0871738
43 -6.151277 0.2408163 1.524054 18.34797 0.4810904
44 -3.904351 0.110337 2.605881 7.300401 0.1429259
45 -2.925794 0.1488295 1.338604 3.772574 0.09495267
46 -4.102262 0.3403148 0.7104996 4.606863 0.1323008
47 -2.265005 0.1356794 0.4582156 0.99241 0.4393714
48 -1.76443 0.07276628 0.3342662 0.6137107 0.02140901
49 -2.480169 0.04893253 1.006692 2.17762 0.2298709
50 -4.747283 0.139445 1.105809 20.93449 0.2712201
51 -4.561109 0.323796 0.5394925 13.84043 0.1585811
52 -2.828372 0.2516229 0.7306199 1.349549 0.08486828
53 -3.078419 0.0914815 1.207541 1.511518 0.02722151
54 -5.700638 0.3837431 0.4884706 11.98405 0.08442529
55 -2.631361 0.1658359 0.9568989 0.9859469 0.1241062
56 -3.3281 0.2483569 1.375156 5.954905 0.2602522
57 -9.504875 0.6696365 1.42823 34.52936 0.4232092
58 -2.019106 -0.01720666 0.6128096 2.312883 0.04655307
59 -2.558335 0.1146404 0.2678744 0.3711473 0.01185325
60 -4.132838 -0.8806671 2.773068 9.821418 0.4599954
61 -2.944337 -0.1082169 2.050234 2.929807 0.26422
62 -1.892851 0.007722749 0.4701858 0.7726752 0.04509074
63 -2.454217 0.2292109 0.2611445 0.8024422 0.02333446
64 -2.324027 -1.176064 2.820546 5.181495 1.944449
65 -3.456846 0.2070453 1.25696 5.299562 0.0859771
66 -1.754129 -0.05456288 0.6470234 1.319881 0.05865147
67 -8.229007 0.4061541 2.60762 76.06918 2.38376
68 -3.46215 0.09270976 1.014639 8.434146 0.4931559
69 -2.6143 0.2604659 0.3933835 1.429739 0.03746951
70 -3.244728 0.210788 0.7378517 3.168711 0.1827067
71 -2.460952 0.177838 0.4527901 0.6532642 0.07524523
72 -1.316309 0.1072596 0.3802788 0.5191571 0.04621629
73 -3.005181 0.1338853 0.5812012 1.2001 0.07256439
74 -2.156458 0.1150706 0.4338461 0.926508 0.01060316
75 -2.066559 -0.9161598 1.602066 5.402648 1.265894
76 -5.40647 0.2242061 1.272593 14.86004 0.05493676
77 -3.156565 -0.03545077 1.169115 1.859754 0.2449189
78 -3.51739 0.06309984 1.475022 17.09704 0.4858457
79 -2.318879 0.04390034 0.5829076 5.156947 0.1074737
80 -6.138324 -1.228448 4.97334 29.26912 9.796549
81 -3.081605 0.2502924 0.9439277 2.472042 0.03539091
82 -2.321574 0.0978984 0.8153292 1.025838 0.04003885
83 -1.059673 -0.08174632 0.4275545 0.223212 0.02197091
84 -2.632046 0.02399765 1.015056 4.32364 0.2653866
85 -1.406721 -0.02292521 0.5789005 1.525868 0.0323729
86 -3.108885 0.1679171 0.8062161 1.72075 0.1528455
87 -3.184222 0.1921273 0.6556985 2.202426 0.15897
88 -1.814772 0.04322931 0.4127127 0.9924112 0.04994122
89 -1.592759 -0.170088 1.022104 0.715974 0.09509125
90 -1.752201 -0.006138445 0.5372514 0.9785544 0.0288379
91 -1.627546 -0.280499 1.534907 5.36757 0.1093664
92 -3.264684 -0.3493828 1.208239 2.86705 0.1627782
93 -10.33596 0.5103466 1.511392 83.09785 0.7069131
94 -2.97149 0.2757539 0.5571347 2.015917 0.1630238
95 -2.972191 -0.3643311 2.429214 3.280595 1.245514
96 -1.701078 0.09935951 0.6401222 0.6637718 0.08415027
97 -0.8060751 0.02529068 0.4034443 1.412838 0.01316603
98 -3.874035 0.07356218 0.6747039 4.693879 0.1335265
99 -4.82317 -0.4526753 2.605299 23.30455 1.083207
100 -3.473666 0.3084241 0.3549896 3.07428 0.05978476
101 -45.97943 -2.606732 16.18857 1555.417 32.79258
102 -2.422162 0.0978442 0.9678667 2.976309 0.2098047
103 -4.446112 0.2793644 0.6449618 8.195166 0.03777935
104 -5.997549 0.1189779 1.675664 9.094435 0.1534231
105 -1.664782 0.07550966 0.3498975 0.7703641 0.03819597
106 -2.397474 -0.3607566 1.740618 6.915141 0.1995396
107 -5.570713 0.1652131 1.172958 13.71432 0.1421102
108 -3.402414 0.3510325 1.25458 2.528417 0.1954261
109 -2.758592 -0.2091273 1.639634 2.090847 0.6683699
110 -5.219206 0.9916541 1.273709 12.39922 0.2609524
111 -2.451581 0.2348442 0.4832353 0.9471976 0.1020278
112 -4.625488 0.4453328 1.520795 10.64937 0.8634041
113 -6.292855 0.3650777 0.8440504 16.91154 0.2241362
114 -1.923221 0.0763071 0.6691025 0.5443059 0.06977489
115 -4.085969 0.1399031 1.160952 4.806421 0.1839622
116 -1.030823 0.02425118 0.7841479 0.7393084 0.1000293
117 -2.220025 0.1689649 0.3017433 0.6793397 0.03740477
118 -2.663763 0.1259855 0.8277228 3.789246 0.2195414
119 -2.763968 0.268269 0.2672879 0.9988834 0.0466019
120 -3.099159 0.3299548 0.8886426 2.279848 0.04420385
121 -3.025225 0.223292 0.7872705 1.274799 0.07570913
122 -2.307256 0.03838759 1.045268 1.390956 0.08737725
123 -3.154151 -0.05039585 1.355852 7.341667 0.04205057
124 -5.70764 0.119531 1.747235 8.985067 0.1239289
125 -1.971453 0.1056194 0.4292237 0.5167215 0.06771094
126 -2.827563 0.04070969 0.6492104 2.125914 0.03753097
127 -8.557923 -0.2715511 2.913031 43.07819 1.515656
128 -2.382304 -0.3967081 0.9740856 1.125028 0.077411
129 -3.983561 0.2908745 0.7505459 7.520062 0.2455223
130 -3.473761 0.1854732 0.4138871 1.348566 0.01820987
131 -4.107245 -0.1070454 1.907189 13.06304 0.5478886
132 -3.317222 0.1775605 1.287818 2.465949 0.03263704
133 -1.169386 -0.07990287 0.7850308 0.8275731 0.06537474
134 -3.962064 -0.2170774 1.366663 5.84085 0.1114564
135 -5.538911 0.3596323 2.414769 26.04221 0.08257872
136 -3.585558 -0.9909554 2.994665 4.289875 3.125367
137 -2.460065 0.07202707 0.7245139 2.872869 0.08373878
138 -2.236319 0.07588816 0.5378241 2.376094 0.1114252
139 -1.274513 -0.1620796 0.6424115 0.8204711 0.08710173
140 -3.412362 -0.1476084 1.383143 4.81754 0.753868
141 -2.67853 0.1008649 0.4502852 1.517022 0.09059111
142 -2.160425 0.2311036 0.4306277 0.5562026 0.006106888
143 -1.884917 -0.04325755 0.9633558 1.19446 0.07759438
144 -1.968984 0.1307629 0.7504212 1.009122 0.1864619
145 -3.530781 0.1412642 1.062478 1.505593 0.3023723
146 -2.496536 0.2242869 1.322763 6.836357 0.2726382
147 -3.620103 -0.00868517 1.01412 8.45508 0.05932097
148 -4.053705 -0.4459004 2.084543 12.50029 0.3941505
149 -4.31145 0.1650354 1.029086 3.579094 0.2930129
150 -2.822611 -0.142804 1.693338 7.095535 0.1507576
151 -3.129998 -0.07285489 1.00488 8.007182 0.1098308
152 -10.92725 0.741165 2.950158 32.62179 0.8476115
153 -2.845574 0.1803562 0.5066304 1.304743 0.2106853
154 -3.3325 0.4607097 0.412003 6.420119 0.05340051
155 -2.31197 0.1481148 0.6373126 1.468994 0.08738999
156 -5.058554 -0.3260576 3.376017 35.58682 1.322238
157 -3.720554 -0.232769 2.203303 15.53341 0.4048669
158 -2.635326 0.1184298 0.5367932 1.45053 0.08385842
159 -8.289097 0.616544 1.387376 41.05429 0.2786368
160 -2.568193 -0.1736502 1.437222 0.9862354 0.1135831
