id,alpha,delta,ka,V,CL,p3,delta.y1,delta.y2,occ,index
1,113.392905179626,1.13182672285786,0.719361987984261,7.71573966461977,2.40291127187591,0.294984316033558,0.720772181895924,-0.0753499175744285,1,1.1
1,154.138667202509,1.0146058077863,0.719361987984261,7.71573966461977,2.17696256050481,0.294984316033558,0.720772181895924,-0.0753499175744285,2,1.2
1,190.664476282816,1.2624536982231,0.719361987984261,7.71573966461977,2.14892934350741,0.294984316033558,0.720772181895924,-0.0753499175744285,3,1.3
2,74.7920118843327,0.655513362634557,1.42851230746272,9.021119795377,2.23439366050249,0.273428276128855,0.841594439488264,-0.0751941235812361,1,2.1
3,145.158185712014,0.792196380399441,0.954249058790155,9.8654709495845,2.15682881574926,0.2173293800133,0.857418252263732,-0.0702774470744158,1,3.1
4,57.5073211557286,0.569914703497266,1.114670927778,6.99018949471133,1.29395551761262,0.367420749923028,0.827837934770283,-0.0754501837640787,1,4.1
4,78.0242504816302,0.537596791779084,1.114670927778,6.99018949471133,1.24897249644748,0.367420749923028,0.827837934770283,-0.0754501837640787,2,4.2
4,97.3777349856772,0.5676800886013,1.114670927778,6.99018949471133,1.02351070633708,0.367420749923028,0.827837934770283,-0.0754501837640787,3,4.3
5,61.7442723748717,0.555069705561932,1.37992849262192,10.6352279486121,2.73014296678481,0.347216310176766,0.925438404329724,-0.0624992546343171,1,5.1
6,56.3626547781429,0.995597416100628,0.964414803814415,8.55230225404386,2.65528199850979,0.367420749923028,0.686708094464818,-0.0702905895232909,1,6.1
7,91.0339175688803,0.856219758232555,1.3886129217229,13.916498117075,2.85921626895739,0.270655802156163,0.893535839785101,-0.0679082984094874,1,7.1
7,121.857828865252,0.911896596654181,1.3886129217229,13.916498117075,2.76984393482981,0.270655802156163,0.893535839785101,-0.0679082984094874,2,7.2
7,154.686106344803,0.959810785448419,1.3886129217229,13.916498117075,2.78552497410945,0.270655802156163,0.893535839785101,-0.0679082984094874,3,7.3
8,69.0512420667016,0.709706758073676,1.07834920469336,16.5058210263778,2.36479979924307,0.157984983586214,0.830940454628205,-0.0695351643945991,1,8.1
8,94.6006853573539,0.657196773535623,1.07834920469336,16.5058210263778,1.97656390107982,0.313609557254408,0.830940454628205,-0.0695351643945991,2,8.2
9,106.344998740161,1.06716848889064,0.718104352135954,8.78046755736201,4.55886547216863,0.171178511377368,0.863267108403378,-0.0584563746146855,1,9.1
9,144.763064340224,1.0421310905511,0.718104352135954,8.78046755736201,2.95372658999265,0.334634446989253,0.863267108403378,-0.0584563746146855,2,9.2
9,182.279783600064,1.05959103572803,0.718104352135954,8.78046755736201,2.94350693659889,0.334634446989253,0.863267108403378,-0.0584563746146855,3,9.3
10,115.584401110858,0.689813053635714,1.36928914419177,10.7154815088947,3.00650271277401,0.155868200632207,0.862361670816861,-0.0697746100228503,1,10.1
10,140.417671041744,0.638405551402115,1.36928914419177,10.7154815088947,2.72478978774469,0.155868200632207,0.862361670816861,-0.0697746100228503,2,10.2
10,163.40027089222,0.668272633630054,1.36928914419177,10.7154815088947,2.33633980089122,0.310175733374608,0.862361670816861,-0.0697746100228503,3,10.3
11,119.388464584582,0.91727948278245,1.3071057006217,13.8348746361988,2.74706698434946,0.285100981683634,0.882525805490943,-0.0645181362738681,1,11.1
11,152.41052596475,0.940898284933626,1.3071057006217,13.8348746361988,3.42037519574007,0.140723007069976,0.882525805490943,-0.0645181362738681,2,11.2
12,118.331253710162,0.54269695995331,0.873093284948047,14.3087106191962,1.67824273382604,0.397642476541789,0.774338256256266,-0.063252909710174,1,12.1
12,137.868344268481,0.529220570718797,0.873093284948047,14.3087106191962,1.57506464893979,0.397642476541789,0.774338256256266,-0.063252909710174,2,12.2
13,115.045684330062,0.786252579267625,1.08442332296636,7.51799572595753,2.71863433993718,0.243184725199419,0.790012409884699,-0.0627945574554114,1,13.1
14,102.447417860686,0.917004989055157,0.958669518085844,12.233229105605,2.71838826071134,0.386203771892971,1.04977796624716,-0.0591417994280888,1,14.1
14,135.459597466672,0.842495733548674,0.958669518085844,12.233229105605,2.30415269750122,0.386203771892971,1.04977796624716,-0.0591417994280888,2,14.2
15,114.115576745796,0.707287772183049,0.921688961082545,11.843233605367,2.26522889228037,0.285100981683634,0.943143861990915,-0.0694764847358371,1,15.1
16,57.7753086029786,0.81468608832437,0.742309581506916,8.29517021673648,2.04042144131522,0.478189384550644,0.970666801883664,-0.0793244847965572,1,16.1
16,87.1040077826559,1.22455358829908,0.742309581506916,8.29517021673648,2.92485184559697,0.478189384550644,0.970666801883664,-0.0793244847965572,2,16.2
17,77.2232890829338,0.908392894323068,0.87623250507481,7.58566958853251,2.04645742506436,0.236981922757219,0.936436816854977,-0.0695386501745754,1,17.1
18,33.756808501749,0.982721747711459,0.98437304594214,16.4455633727194,4.13909615025349,0.339999182516451,0.727255546299897,-0.0631852955003155,1,18.1
18,69.1347914193615,0.932314430288388,0.98437304594214,16.4455633727194,3.4507702775927,0.339999182516451,0.727255546299897,-0.0631852955003155,2,18.2
19,135.026579325429,0.653597370496946,0.938199377704959,11.781006286732,2.44167392617282,0.403404906318196,0.879279651035375,-0.0696713468634762,1,19.1
19,158.556084663319,0.650681212609665,0.938199377704959,11.781006286732,3.12999552865468,0.2173293800133,0.879279651035375,-0.0696713468634762,2,19.2
20,63.762013150506,1.00530401076203,1.00104126443162,8.99239867053657,2.87425312663339,0.413067728740778,0.871085470626478,-0.0765447708661169,1,20.1
20,99.9529575379389,0.977417942375245,1.00104126443162,8.99239867053657,3.85104393045601,0.224210155143819,0.871085470626478,-0.0765447708661169,2,20.2
20,135.140003463448,1.15122724072398,1.00104126443162,8.99239867053657,2.86366978542536,0.413067728740778,0.871085470626478,-0.0765447708661169,3,20.3
21,48.9473600895527,0.817290806214376,1.2092102660803,10.2010773084924,2.9135298735237,0.192585359398202,0.876489263749376,-0.063243560933044,1,21.1
22,41.3348683811656,1.02594304602845,0.87086159640395,6.93214146775417,1.51506020931633,0.508174806384295,0.90673504304785,-0.0753055854419473,1,22.1
23,97.1673516366442,0.750742801083024,1.5017109740963,18.3298186732262,1.87627514807643,0.409194114767075,0.768246765534468,-0.0608786681647869,1,23.1
23,124.194092475633,0.761784903935204,1.5017109740963,18.3298186732262,2.47707284217134,0.221439401202192,0.768246765534468,-0.0608786681647869,2,23.2
23,151.6183490173,0.726131819171648,1.5017109740963,18.3298186732262,1.85575630146421,0.409194114767075,0.768246765534468,-0.0608786681647869,3,23.3
24,104.535446753748,0.722765641101212,0.794526457500675,8.9937961542822,1.96660855539615,0.472204221668479,0.873530517118638,-0.0625236206423694,1,24.1
24,130.555009833391,0.785330321712345,0.794526457500675,8.9937961542822,2.19500701975866,0.472204221668479,0.873530517118638,-0.0625236206423694,2,24.2
24,158.826901415036,0.819394300487453,0.794526457500675,8.9937961542822,2.45338513865715,0.26868632306533,0.873530517118638,-0.0625236206423694,3,24.3
