irep theta1 theta2 beta omega1 omega2 LL.IS
1 -1.927559 -0.4572618 -0.1410989 1.19581 0.2267711 -431.9806
2 -1.620008 -0.5066317 -0.3820749 1.046107 0.305107 -444.9801
3 -1.451984 -0.5845518 -0.06516014 0.9761238 0.276918 -483.1576
4 -1.546628 -0.3918886 -0.0606939 0.5658924 0.2218169 -516.7496
5 -1.580444 -0.4707329 -0.1820088 0.8687619 0.2504421 -467.6114
6 -1.775962 -0.4614244 -0.2315801 1.159049 0.2552981 -451.2218
7 -1.863333 -0.3748205 -0.07675829 1.100955 0.1845275 -483.0174
8 -1.610353 -0.4151187 -0.2110016 1.159443 0.2040215 -497.6097
9 -1.69305 -0.374665 -0.2503751 0.9192269 0.1898982 -458.5593
10 -1.957473 -0.4034143 -0.2166798 1.13952 0.1378158 -403.2922
11 -1.440964 -0.4176102 -0.1405601 0.9612816 0.2083672 -534.5568
12 -1.989786 -0.380886 -0.1586858 1.208358 0.2174757 -455.8724
13 -1.513574 -0.4991871 -0.09228073 1.033386 0.2360289 -497.9707
14 -1.697272 -0.3766701 -0.1216212 0.9333052 0.1788283 -484.1675
15 -1.544302 -0.5077977 -0.09991122 1.054227 0.2202182 -478.354
16 -1.496718 -0.4848007 -0.01837016 0.8789989 0.2425205 -518.6778
17 -1.636819 -0.5139842 -0.1525146 0.8656986 0.2521515 -435.2369
18 -1.51999 -0.5123028 -0.2797061 1.05036 0.2827245 -470.6777
19 -1.974143 -0.4515185 -0.02850115 1.162985 0.2283733 -452.3927
20 -1.487335 -0.4181908 -0.1500747 0.8638868 0.2113527 -508.4778
21 -1.669351 -0.4170252 -0.2408436 1.263319 0.2067417 -491.4585
22 -1.577003 -0.3908235 -0.250955 0.9035275 0.1933481 -476.2921
23 -1.792923 -0.4133074 -0.1768508 1.058064 0.2378616 -468.604
24 -1.513188 -0.3932126 -0.1041623 0.9361183 0.1941783 -531.2208
25 -1.604338 -0.4497098 -0.1354368 0.9172013 0.183913 -458.8077
26 -1.6622 -0.408568 -0.1443208 1.160279 0.1589797 -485.3146
27 -2.167103 -0.2750774 -0.06820341 1.155998 0.1194947 -460.2835
28 -1.756604 -0.3697618 -0.1847434 1.050745 0.1885934 -476.1494
29 -1.764147 -0.5294872 0.03104931 1.177049 0.2212302 -468.2857
30 -1.542594 -0.5532636 -0.09807937 1.064473 0.2422693 -465.566
31 -1.492014 -0.4762158 -0.2002661 0.6328543 0.2991985 -480.1155
32 -1.675632 -0.2967953 -0.3191508 1.211781 0.1421049 -516.361
33 -1.686659 -0.2879635 -0.2473582 0.8577032 0.1211469 -482.9379
34 -1.673382 -0.4904186 -0.1442334 1.066758 0.2450375 -462.2438
35 -1.741873 -0.4580294 -0.1221577 1.133176 0.2393091 -476.4834
36 -1.310175 -0.5657653 -0.08454628 0.76217 0.263069 -489.1951
37 -1.581282 -0.3912233 -0.1074942 0.620748 0.1903275 -474.6655
38 -1.982585 -0.2932833 -0.1912955 1.085317 0.1106851 -448.1621
39 -1.60913 -0.3557775 -0.2410032 0.8078922 0.2433731 -506.5601
40 -1.669694 -0.4538995 -0.3194817 0.991732 0.2093477 -424.1273
41 -1.549327 -0.5650595 0.03661592 0.6559095 0.2420126 -447.9971
42 -1.976249 -0.312015 -0.2114566 1.332163 0.1795449 -490.3868
43 -1.725555 -0.3935448 -0.0830567 1.02491 0.207887 -503.9849
44 -1.731458 -0.2799725 -0.2504503 1.13005 0.159987 -526.505
45 -1.508179 -0.4358382 -0.1565916 0.6070608 0.2001514 -456.9998
46 -1.826767 -0.5416449 -0.07851558 1.126015 0.340356 -471.4422
47 -1.691826 -0.2933631 -0.2547913 0.9115296 0.1720154 -504.5066
48 -1.774243 -0.4465364 -0.1676 1.011887 0.1892227 -427.9518
49 -1.801119 -0.3662286 -0.1013199 1.040245 0.1887104 -491.025
50 -1.731333 -0.390519 -0.05563525 0.9395499 0.217681 -506.8142
51 -2.153057 -0.4865802 -0.2167194 1.510865 0.226574 -400.2539
52 -1.492998 -0.3955986 -0.2093987 0.7299953 0.1727831 -476.0434
53 -1.551007 -0.2871368 -0.2232363 0.7496788 0.1651405 -530.5635
54 -1.371768 -0.3910616 -0.1948275 0.9064483 0.209623 -549.0444
55 -1.573389 -0.4211819 -0.04046927 0.9585036 0.1734102 -509.7091
56 -1.541327 -0.540318 -0.2082677 1.23557 0.3053689 -496.4151
57 -1.678083 -0.4281857 -0.2399285 0.8222472 0.2638969 -456.1187
58 -1.826663 -0.4851842 0.01222038 1.18126 0.2282126 -478.4063
59 -1.4851 -0.4420636 -0.1807012 0.8490113 0.2214702 -491.777
60 -1.727038 -0.4374821 -0.1739699 0.9404985 0.1885369 -435.3034
61 -1.456847 -0.4559786 -0.1490302 0.7886236 0.2284974 -489.4168
62 -1.687036 -0.2951746 -0.2594412 0.6597543 0.1855507 -479.7007
63 -1.764255 -0.3664843 -0.1356807 1.21188 0.1550445 -498.3959
64 -1.602537 -0.3138274 -0.2469389 0.9788495 0.1381793 -506.3332
65 -1.623128 -0.4805592 -0.181033 1.123262 0.2370881 -472.4474
66 -1.670531 -0.3162947 -0.3065361 0.8606045 0.2486574 -516.1357
67 -1.531164 -0.4102665 -0.1946627 1.028406 0.2577884 -534.82
68 -1.933183 -0.4581467 -0.1080062 1.217483 0.2554601 -454.5143
69 -1.870215 -0.4267119 -0.1004691 1.231837 0.1757265 -453.9363
70 -1.6801 -0.403071 -0.1917875 0.9324974 0.2439513 -486.8085
71 -1.639611 -0.5350226 -0.2525862 1.010196 0.3046829 -442.2228
72 -2.044259 -0.3082425 -0.3033005 1.147857 0.1579606 -425.7201
73 -1.71176 -0.569412 -0.2861401 1.12833 0.3378791 -432.8622
74 -1.565025 -0.4987079 -0.01879079 0.9994115 0.1172083 -456.2746
75 -1.738677 -0.3572717 -0.2364899 1.007558 0.1892884 -473.7986
76 -1.817137 -0.3723103 -0.2052907 0.976113 0.1673518 -440.8854
77 -1.717082 -0.4358354 -0.09046883 1.157761 0.1751224 -478.6371
