irep theta1 theta2 beta omega1 omega2 LL.IS
1 -1.935886 -0.4466443 -0.1420239 1.189571 0.217929 -431.9586
2 -1.626416 -0.5258802 -0.387517 1.084308 0.3159269 -445.0853
3 -1.474481 -0.5768003 -0.06087876 0.9895252 0.270632 -483.1374
4 -1.596021 -0.3666332 -0.06545959 0.5807429 0.2083088 -516.5147
5 -1.604471 -0.4575207 -0.1738231 0.8466816 0.2430869 -467.4636
6 -1.79141 -0.456966 -0.2360479 1.170463 0.254647 -451.2367
7 -1.874592 -0.3608041 -0.0940144 1.094385 0.1815913 -483.0638
8 -1.651667 -0.3980149 -0.200629 1.159263 0.1992696 -497.4925
9 -1.692349 -0.3606953 -0.2516118 0.8758553 0.1801918 -458.4862
10 -1.98774 -0.4000064 -0.2192601 1.170779 0.1445282 -403.3577
11 -1.473456 -0.3880813 -0.1513239 0.9593608 0.1923763 -534.4773
12 -2.036243 -0.3594857 -0.1569063 1.233068 0.201459 -455.7845
13 -1.526618 -0.4705027 -0.1026387 1.020907 0.2160116 -497.8474
14 -1.707383 -0.3613278 -0.1215119 0.9084802 0.1688432 -484.0929
15 -1.563088 -0.4963234 -0.1006833 1.056332 0.2157262 -478.3221
16 -1.504189 -0.4836318 -0.02010512 0.8644958 0.2450249 -518.6712
17 -1.641979 -0.5149208 -0.1520002 0.8563348 0.2527262 -435.2512
18 -1.572802 -0.4978587 -0.2675115 1.099637 0.274397 -470.5949
19 -1.992829 -0.4342648 -0.02220053 1.159731 0.2105891 -452.2756
20 -1.519313 -0.3921404 -0.1574065 0.8279298 0.2026405 -508.3152
21 -1.677216 -0.4153477 -0.2348216 1.258483 0.2030668 -491.4246
22 -1.580317 -0.380693 -0.2502952 0.8822238 0.1898017 -476.2646
23 -1.806285 -0.4099943 -0.1906885 1.067616 0.2383246 -468.6676
24 -1.49864 -0.3962839 -0.1143098 0.919301 0.1988335 -531.3063
25 -1.615163 -0.4484583 -0.1222852 0.9065966 0.1811113 -458.7651
26 -1.642754 -0.4169253 -0.1386516 1.140431 0.1633935 -485.3585
27 -2.16141 -0.2837566 -0.07041718 1.166082 0.127144 -460.3963
28 -1.752073 -0.3795477 -0.1856612 1.060433 0.1952744 -476.2204
29 -1.779997 -0.5233958 0.01784021 1.194589 0.2261053 -468.3101
30 -1.590646 -0.5375869 -0.1170239 1.117495 0.238215 -465.6217
31 -1.515201 -0.4633271 -0.1979323 0.6411224 0.2920801 -480.04
32 -1.690021 -0.3045096 -0.3125837 1.253389 0.1422646 -516.375
33 -1.664849 -0.299883 -0.2451927 0.8423584 0.129908 -483.0543
34 -1.687447 -0.4717568 -0.1542103 1.058047 0.2346522 -462.2113
35 -1.762314 -0.4456207 -0.1332156 1.136945 0.2380042 -476.453
36 -1.350165 -0.566864 -0.08233193 0.8185457 0.2640505 -489.208
37 -1.602211 -0.385385 -0.108183 0.5992843 0.1926232 -474.5781
38 -1.987642 -0.2912436 -0.1845988 1.080835 0.1066916 -448.085
39 -1.602968 -0.3713294 -0.2439928 0.7919908 0.2564193 -506.6455
40 -1.693248 -0.4528424 -0.3135111 1.009378 0.2097309 -424.1195
41 -1.571281 -0.5471303 0.03302322 0.6346001 0.234142 -447.8717
42 -1.951071 -0.3192487 -0.2201435 1.322925 0.1863227 -490.4824
43 -1.75016 -0.3821771 -0.08289282 1.04069 0.2010112 -503.9568
44 -1.739002 -0.2817138 -0.2423934 1.136601 0.1609869 -526.4689
45 -1.531067 -0.4341444 -0.159009 0.6560537 0.1967852 -457.0328
46 -1.829504 -0.5493713 -0.0830167 1.133852 0.3474306 -471.4719
47 -1.694458 -0.2963618 -0.2501358 0.930022 0.171268 -504.514
48 -1.807397 -0.4329051 -0.1546385 1.021782 0.1782742 -427.8212
49 -1.806487 -0.3751629 -0.09849524 1.037604 0.1962919 -491.0818
50 -1.736469 -0.3728215 -0.06508731 0.9314374 0.2071915 -506.7727
51 -2.190113 -0.4705939 -0.2042319 1.520036 0.2230171 -400.1454
52 -1.531995 -0.3738321 -0.2117075 0.7431043 0.158484 -475.9064
53 -1.58251 -0.2775714 -0.2147053 0.7486552 0.1596962 -530.4396
54 -1.401312 -0.379684 -0.1850702 0.9154656 0.1992958 -548.9405
55 -1.5814 -0.4166864 -0.05044234 0.9823291 0.166152 -509.7498
56 -1.551702 -0.5435482 -0.1937324 1.23986 0.3039168 -496.3846
57 -1.676078 -0.4188456 -0.233292 0.7797235 0.2548788 -456.0324
58 -1.843407 -0.4821787 0.009012069 1.187328 0.2290724 -478.4046
59 -1.519426 -0.419885 -0.177257 0.8394351 0.2114399 -491.6291
60 -1.71247 -0.4352743 -0.169351 0.9069702 0.1882448 -435.2387
61 -1.498238 -0.4413203 -0.1532395 0.8093938 0.2184428 -489.3451
