irep theta1 theta2 beta omega1 omega2 LL.IS
1 -1.930612 -0.4563447 -0.1397345 1.217412 0.2202416 -431.9883
2 -1.610182 -0.5225086 -0.381667 1.050508 0.3174383 -445.0436
3 -1.428677 -0.5921032 -0.07037479 0.9600781 0.2818521 -483.222
4 -1.578068 -0.3633047 -0.06355996 0.5777946 0.2034486 -516.4574
5 -1.570178 -0.4646246 -0.180506 0.841075 0.2505282 -467.5178
6 -1.74361 -0.4693654 -0.2248463 1.131288 0.2580997 -451.2522
7 -1.87104 -0.3575692 -0.08286727 1.091995 0.1723451 -482.9191
8 -1.590902 -0.4075707 -0.2143798 1.137416 0.1963456 -497.5881
9 -1.661525 -0.3714144 -0.234408 0.8566531 0.1835929 -458.4439
10 -1.985728 -0.3846583 -0.204112 1.157913 0.117946 -403.0555
11 -1.426281 -0.4164434 -0.1439796 0.9358358 0.2095663 -534.5822
12 -1.99113 -0.3733437 -0.1570978 1.205816 0.2102865 -455.8139
13 -1.494104 -0.4996197 -0.09008288 1.004117 0.2354361 -497.9541
14 -1.675895 -0.3852784 -0.1147887 0.918766 0.1804386 -484.2081
15 -1.54911 -0.5062517 -0.1034742 1.06037 0.2230118 -478.3472
16 -1.475831 -0.4937589 -0.01266862 0.8572966 0.2464544 -518.7003
17 -1.634552 -0.4906381 -0.1508296 0.8325714 0.2356983 -435.1266
18 -1.54671 -0.4954015 -0.2823772 1.078236 0.2712188 -470.6134
19 -1.968461 -0.4292907 -0.03328151 1.13313 0.2097875 -452.2836
20 -1.489057 -0.417641 -0.145587 0.8590485 0.2112408 -508.4372
21 -1.666875 -0.4119324 -0.2329048 1.261138 0.1968712 -491.4013
22 -1.578482 -0.3792849 -0.243545 0.8958433 0.1798595 -476.2066
23 -1.794247 -0.4189114 -0.1741469 1.06345 0.244012 -468.638
24 -1.502217 -0.4019019 -0.105642 0.9579701 0.1957628 -531.3201
25 -1.60132 -0.4365131 -0.1314738 0.9013107 0.1714575 -458.7275
26 -1.672344 -0.3956961 -0.1365171 1.170273 0.1394931 -485.1658
27 -2.164159 -0.2726541 -0.06517152 1.153136 0.1108497 -460.2156
28 -1.748424 -0.3789332 -0.1850881 1.06209 0.1950118 -476.2147
29 -1.783199 -0.5075365 0.02912907 1.163203 0.2126259 -468.171
30 -1.542654 -0.5289015 -0.1027125 1.04579 0.2253285 -465.4975
31 -1.480886 -0.4846629 -0.2021192 0.6399283 0.3063609 -480.193
32 -1.696116 -0.2798895 -0.312235 1.22838 0.1146407 -516.2102
33 -1.674528 -0.2932419 -0.2425878 0.8641971 0.1205435 -482.9301
34 -1.637651 -0.4989551 -0.1359323 1.02376 0.2474882 -462.2488
35 -1.710528 -0.4636889 -0.1253221 1.091525 0.2435948 -476.5359
36 -1.324938 -0.5532035 -0.08823023 0.7732252 0.2559915 -489.1457
37 -1.5568 -0.3981314 -0.1099225 0.5475544 0.1996755 -474.6324
38 -1.990226 -0.2751704 -0.1921075 1.065944 0.09370652 -447.8826
39 -1.599794 -0.3607385 -0.2413346 0.8070076 0.2442462 -506.5887
40 -1.651122 -0.4560894 -0.3098481 0.9676042 0.2094972 -424.1123
41 -1.55945 -0.5437188 0.02828654 0.6451972 0.2332457 -447.9046
42 -1.973373 -0.3021485 -0.2064957 1.318837 0.1663063 -490.3027
43 -1.709468 -0.4073684 -0.08807649 1.04419 0.2162151 -504.1696
44 -1.742261 -0.2741744 -0.2446801 1.134657 0.1506656 -526.406
45 -1.517476 -0.40251 -0.1601594 0.5781133 0.1727134 -456.8653
46 -1.820123 -0.5391113 -0.08462946 1.114038 0.3445808 -471.4324
47 -1.696123 -0.2798053 -0.2537316 0.9189343 0.15666 -504.4887
48 -1.758841 -0.4390436 -0.1611957 0.9821699 0.1813307 -427.8775
49 -1.804599 -0.3684381 -0.09942395 1.056669 0.1855573 -491.0465
50 -1.708706 -0.3944476 -0.05916535 0.9402045 0.2174207 -506.8801
51 -2.141717 -0.4840762 -0.2043161 1.491624 0.2214301 -400.2043
52 -1.496934 -0.3865178 -0.2137323 0.7280853 0.1696274 -475.9873
53 -1.553791 -0.2830548 -0.217075 0.7604671 0.1587879 -530.5412
54 -1.386279 -0.3656858 -0.1981485 0.8972562 0.1894814 -548.934
55 -1.588576 -0.4059413 -0.03418226 0.9518718 0.1584983 -509.5656
56 -1.533932 -0.5385577 -0.2034418 1.227658 0.3030179 -496.3911
57 -1.690714 -0.4203548 -0.2314355 0.8294841 0.2565204 -456.0428
