irep theta1 theta2 beta omega1 LL.IS
1 -1.987072 -0.3769279 -0.05671755 4.02389 -613.4358
2 -1.661046 -0.3949414 -0.09852533 3.910718 -626.8339
3 -1.239669 -0.3355731 -0.1643122 3.694617 -673.4526
4 -1.98484 -0.3635512 -0.1488516 3.592391 -594.296
5 -1.301927 -0.4008165 -0.137963 3.942009 -651.4971
6 -1.888654 -0.3198051 -0.1076844 4.028204 -631.4047
7 -1.425935 -0.4106051 -0.2460967 4.347997 -616.7096
8 -2.152416 -0.4248388 -0.08919453 4.468434 -578.6838
9 -1.676064 -0.4743535 -0.01765598 4.066369 -611.1502
10 -1.598016 -0.3062185 -0.255116 3.632963 -637.045
11 -1.95653 -0.4225968 -0.2180389 4.316528 -582.5799
12 -1.999498 -0.3791481 -0.08639776 3.967704 -605.9486
13 -0.8625433 -0.4049263 -0.1356947 3.647823 -691.5139
14 -1.111339 -0.4847118 -0.08568309 4.032161 -646.4062
15 -1.926322 -0.4305525 -0.0538272 3.937491 -599.1082
16 -1.879259 -0.393372 -0.103885 3.701196 -617.3969
17 -1.612601 -0.3316558 -0.1743226 4.149276 -644.874
18 -1.427938 -0.3807145 -0.1778018 3.794447 -639.4681
19 -1.607713 -0.3912931 -0.1232106 4.127595 -627.0624
20 -1.792239 -0.454999 -0.2255851 3.985473 -575.9231
21 -1.982048 -0.4238032 -0.08894395 4.324749 -586.7939
22 -1.682031 -0.4329565 0.0001396103 3.748583 -628.1576
23 -1.718664 -0.3671802 -0.1471708 3.748757 -624.7826
24 -1.387515 -0.3657386 -0.1914177 3.709066 -648.252
25 -1.509577 -0.3728113 -0.1715405 3.725417 -637.7051
26 -1.804044 -0.3904383 -0.1051248 4.406126 -607.0712
27 -2.087153 -0.3865985 -0.2056907 4.286033 -577.7865
28 -1.636254 -0.370015 -0.1923159 3.836224 -621.3253
29 -1.98152 -0.3850186 -0.1022209 3.886917 -601.6935
30 -1.61346 -0.382842 -0.1749387 3.987753 -615.8609
31 -1.922042 -0.3171981 -0.2515442 4.155447 -597.4706
32 -1.439479 -0.3953051 -0.04704814 3.561232 -663.5948
33 -1.776374 -0.453248 -0.07935865 3.881358 -601.8356
34 -1.565685 -0.3770444 -0.1326353 3.827462 -637.1544
35 -2.260073 -0.3670885 -0.1803767 3.988346 -565.0512
36 -1.862601 -0.3636819 -0.1659467 4.327631 -602.01
37 -1.970715 -0.3256218 -0.2291047 4.416363 -600.4678
38 -2.081275 -0.3138008 -0.2186928 3.970063 -601.4054
39 -1.776301 -0.3944532 -0.09908699 4.551858 -624.819
40 -1.552184 -0.3484696 -0.1483532 4.490982 -656.1892
41 -1.313653 -0.3683484 -0.1017023 3.718245 -665.3724
42 -1.913499 -0.4243689 -0.1091235 4.429678 -599.4769
43 -1.471278 -0.3825566 -0.1486745 3.943157 -635.9607
44 -1.98311 -0.3644747 -0.2084361 4.199709 -586.4705
45 -2.158899 -0.3490546 -0.1621115 4.452995 -581.889
46 -1.553607 -0.368862 -0.1412158 3.781703 -641.1799
47 -1.323661 -0.4327302 -0.1004862 4.306549 -634.5291
48 -1.804694 -0.3178639 -0.1984395 3.691066 -628.0994
49 -1.83353 -0.3350266 -0.2526879 3.97315 -602.8651
50 -1.143354 -0.3572644 -0.2523391 3.830543 -655.3412
51 -1.90484 -0.370292 -0.2187722 4.217772 -602.3503
52 -1.877439 -0.3508149 -0.1931145 3.394028 -599.7838
53 -2.024498 -0.382929 -0.08985411 3.945164 -596.4126
54 -2.207492 -0.303422 -0.1768707 4.033969 -588.9661
55 -2.179421 -0.4470999 -0.2202805 5.338492 -558.0699
56 -1.893355 -0.3558973 -0.1046374 4.000114 -617.9306
57 -1.53834 -0.4348185 -0.1111441 4.730986 -609.2933
58 -2.175449 -0.2475265 -0.2594191 3.504149 -598.1902
59 -1.741179 -0.3706628 -0.1772776 4.273834 -616.4218
60 -1.242775 -0.3185965 -0.2017116 3.177739 -686.9068
61 -2.066428 -0.3205974 -0.2562446 3.846371 -590.668
62 -2.231379 -0.3001738 -0.2766982 4.079427 -584.4237
63 -1.669337 -0.3393766 -0.2307976 3.741144 -623.8692
64 -1.16311 -0.3387562 -0.1750969 3.636256 -677.0927
65 -1.901605 -0.4161216 -0.09331779 3.884303 -607.1719
66 -1.944227 -0.3426196 -0.1797406 4.05668 -604.1853
67 -2.035896 -0.3435585 -0.2555236 4.308469 -578.0362
68 -1.819952 -0.3372916 -0.1934502 4.381913 -613.4323
69 -1.494821 -0.4092541 -0.1722228 3.790015 -628.452
70 -1.607985 -0.3853084 -0.2813513 4.22168 -605.0949
71 -1.673432 -0.3976456 -0.2102811 4.761231 -615.4507
72 -1.787117 -0.3570043 -0.1106362 4.135744 -611.2063
73 -1.879793 -0.3879755 -0.2406109 3.86122 -576.6116
74 -1.838466 -0.425856 -0.1539113 4.138828 -601.6901
75 -1.794169 -0.3315148 -0.2249793 3.994082 -614.9992
76 -1.273185 -0.4183369 -0.1299906 3.953012 -648.9415
77 -1.686003 -0.3770945 -0.2040047 3.87109 -617.3746
78 -1.910475 -0.3527551 -0.3564155 4.611767 -578.8372
79 -1.883361 -0.41984 -0.1662712 4.320206 -593.4792
