irep theta1 theta2 beta omega1 LL.IS
1 -1.989138 -0.3761552 -0.05630451 4.018633 -613.4333
2 -1.661628 -0.3959266 -0.09824745 3.91717 -626.8362
3 -1.240317 -0.3356266 -0.1645981 3.697073 -673.4521
4 -1.98477 -0.3629206 -0.1485479 3.58786 -594.2969
5 -1.301699 -0.40137 -0.1384757 3.947653 -651.4958
6 -1.891547 -0.3194764 -0.1091009 4.035371 -631.4001
7 -1.425553 -0.4097642 -0.2455869 4.339638 -616.7096
8 -2.152144 -0.4240136 -0.08825619 4.459415 -578.6855
9 -1.680223 -0.4778228 -0.01667255 4.09133 -611.1374
10 -1.5971 -0.3064049 -0.2553975 3.633768 -637.0435
11 -1.954336 -0.4239466 -0.2184527 4.323885 -582.5728
12 -1.996517 -0.3787019 -0.08587261 3.959904 -605.9449
13 -0.8619053 -0.4049122 -0.1361608 3.648823 -691.512
14 -1.111412 -0.4862893 -0.08511298 4.041831 -646.4035
15 -1.926736 -0.4304791 -0.05465622 3.940781 -599.108
16 -1.879036 -0.3930159 -0.1036026 3.698401 -617.3952
17 -1.613494 -0.3313167 -0.1748131 4.149651 -644.875
18 -1.427771 -0.3803527 -0.1788438 3.794739 -639.4676
19 -1.606351 -0.3912262 -0.123696 4.127174 -627.0613
20 -1.789738 -0.4552309 -0.2245501 3.981009 -575.9226
21 -1.984696 -0.4246024 -0.08988096 4.336315 -586.7914
22 -1.682402 -0.4324254 -0.0001078488 3.746313 -628.1589
23 -1.716696 -0.3673735 -0.147012 3.747037 -624.783
24 -1.38694 -0.3656039 -0.1919858 3.709665 -648.2515
25 -1.508353 -0.3727319 -0.1719309 3.724561 -637.7039
26 -1.806386 -0.3904672 -0.105163 4.409117 -607.0699
27 -2.082921 -0.3860043 -0.2058844 4.278379 -577.7865
28 -1.638293 -0.3701879 -0.1929276 3.841632 -621.3248
29 -1.97919 -0.3848216 -0.1020722 3.882228 -601.691
30 -1.612494 -0.3821369 -0.1754141 3.982259 -615.864
31 -1.920669 -0.3176064 -0.2528604 4.160867 -597.4701
32 -1.437788 -0.3959423 -0.04685861 3.563176 -663.5925
33 -1.777175 -0.4534431 -0.07994159 3.886071 -601.8385
34 -1.565164 -0.3769726 -0.1325638 3.826337 -637.1544
35 -2.258814 -0.3661783 -0.1806972 3.982339 -565.052
36 -1.856331 -0.3624031 -0.1654123 4.309234 -602.0275
37 -1.972459 -0.3259604 -0.2291183 4.420989 -600.469
38 -2.084749 -0.3140751 -0.219397 3.977672 -601.4077
39 -1.768682 -0.3945541 -0.09679694 4.533699 -624.8116
40 -1.551209 -0.3484958 -0.1479265 4.487549 -656.1881
41 -1.313716 -0.3689022 -0.1012521 3.721152 -665.3727
42 -1.9146 -0.4256749 -0.1095289 4.442028 -599.4804
43 -1.469558 -0.3826141 -0.1479358 3.939323 -635.9604
44 -1.98488 -0.3641883 -0.2069064 4.194899 -586.4735
45 -2.157409 -0.3483645 -0.1619116 4.445699 -581.8901
46 -1.552813 -0.3689553 -0.1418036 3.783002 -641.1804
47 -1.325203 -0.4315188 -0.1010758 4.300914 -634.5276
48 -1.806062 -0.3193868 -0.1986316 3.703496 -628.0945
49 -1.835251 -0.3370824 -0.2557039 3.998146 -602.8713
50 -1.142973 -0.3571869 -0.2518836 3.828064 -655.3406
51 -1.908934 -0.3712526 -0.2188955 4.22933 -602.3531
52 -1.878712 -0.3505256 -0.1917602 3.390202 -599.7833
53 -2.026187 -0.3836254 -0.0901875 3.952931 -596.4124
54 -2.204525 -0.3029932 -0.1761045 4.024001 -588.9666
55 -2.180162 -0.4466006 -0.2181551 5.328712 -558.0699
56 -1.894005 -0.3560023 -0.1055476 4.003963 -617.9287
57 -1.540837 -0.4349415 -0.1108058 4.733942 -609.2949
58 -2.175056 -0.2472139 -0.2594253 3.501849 -598.1903
59 -1.739612 -0.3701682 -0.1769533 4.266986 -616.4263
60 -1.244485 -0.3185576 -0.2020541 3.180795 -686.9039
61 -2.067151 -0.3207182 -0.2549245 3.84399 -590.6697
62 -2.233043 -0.3000626 -0.2759692 4.078799 -584.4262
63 -1.668259 -0.3391597 -0.2306897 3.738133 -623.8694
64 -1.163085 -0.3388809 -0.1751218 3.637559 -677.0929
65 -1.901282 -0.4163786 -0.09265429 3.883408 -607.1733
66 -1.941973 -0.3428022 -0.1797937 4.055141 -604.1841
67 -2.036985 -0.3430344 -0.2565589 4.30909 -578.0359
68 -1.82018 -0.3378259 -0.1932147 4.386247 -613.4312
69 -1.492892 -0.4096177 -0.1714691 3.787736 -628.4496
70 -1.607738 -0.3857883 -0.2810265 4.223971 -605.0955
71 -1.6666 -0.3984613 -0.2090467 4.753531 -615.4493
72 -1.785785 -0.3562893 -0.1106102 4.129034 -611.2077
73 -1.881941 -0.3897996 -0.2417866 3.878024 -576.5986
74 -1.841442 -0.4264571 -0.1541416 4.146513 -601.6938
75 -1.793761 -0.3296557 -0.2243824 3.978997 -615.0141
76 -1.273887 -0.4170823 -0.1320503 3.952393 -648.9426
77 -1.691197 -0.3771721 -0.2033513 3.876117 -617.3771
78 -1.909073 -0.352693 -0.3562755 4.609277 -578.8372
79 -1.882572 -0.419782 -0.1660687 4.317344 -593.4805
80 -2.145403 -0.365753 -0.2040237 3.893518 -576.4544
81 -1.815811 -0.3839986 -0.09546632 3.770595 -617.8226
82 -1.898194 -0.3103301 -0.2053914 4.0164 -628.5701
83 -1.790814 -0.4030673 -0.1369527 4.092866 -612.7245
84 -1.9671 -0.3478918 -0.2219627 4.22894 -605.2066
85 -2.441923 -0.4394932 -0.1401336 4.146254 -536.0799
86 -1.812444 -0.4516937 -0.04061732 3.907307 -600.9022
87 -2.139724 -0.4394064 -0.1645887 4.359539 -570.701
88 -1.571629 -0.4086944 -0.2630208 3.927517 -603.6731
89 -1.306902 -0.4118384 -0.215804 3.765894 -634.508
90 -2.346851 -0.3329677 -0.2128556 4.532533 -576.8826
91 -1.823708 -0.3329543 -0.2626071 3.88537 -608.2284
92 -1.402564 -0.4893839 -0.0002570502 4.004999 -625.4521
93 -1.427389 -0.3717043 -0.2916211 4.001595 -623.3904
94 -2.006433 -0.3737217 -0.06053673 4.118456 -615.2107
95 -1.866741 -0.4576553 -0.06954167 4.31081 -594.3596
96 -1.871394 -0.3873939 -0.1734565 4.03543 -600.3508
97 -1.481174 -0.3769867 -0.1672188 3.806288 -641.0527
98 -1.499106 -0.4517727 -0.1592204 5.075439 -605.6291
99 -1.463729 -0.4066871 -0.2089678 3.501072 -621.1009
100 -2.227695 -0.3277851 -0.2792997 4.49043 -585.7903
101 -1.440697 -0.4129296 -0.03858502 3.705832 -653.1577
102 -2.166021 -0.3493727 -0.07384851 4.046134 -601.3152
103 -1.475005 -0.4447052 -0.08370885 3.739287 -639.917
104 -1.588516 -0.407605 -0.1085857 4.084201 -629.0895
105 -1.97771 -0.4373863 -0.182158 4.655963 -577.2173
106 -1.891148 -0.4326382 0.01867302 4.218274 -603.8232
107 -1.84946 -0.3357191 -0.1905351 3.804738 -618.2876
108 -2.455768 -0.4439901 -0.1863465 5.230835 -547.7066
109 -1.681767 -0.3539333 -0.1342042 3.801923 -637.9696
110 -1.965969 -0.3034722 -0.2748081 4.375346 -595.572
111 -1.143141 -0.4650182 -0.1177515 3.707261 -645.7227
112 -1.891691 -0.3601263 -0.1429682 3.607692 -605.9629
113 -1.698867 -0.4823667 -0.001607664 4.191387 -603.2888
114 -1.786365 -0.3396374 -0.1515159 3.681121 -632.3397
115 -1.877066 -0.4061658 -0.1457913 4.856351 -600.3391
116 -1.547878 -0.3958261 -0.1860891 4.217355 -629.0526
117 -1.725361 -0.3842053 -0.114137 3.646933 -619.4012
118 -1.512182 -0.4577412 -0.05938692 3.867844 -627.9024
119 -2.439168 -0.4548867 0.02841249 4.673002 -568.5133
120 -1.501928 -0.4707611 -0.08602561 3.827459 -617.9788
121 -2.548409 -0.4030435 -0.1650696 5.152515 -557.1136
122 -1.978831 -0.4565467 -0.1323517 4.017662 -571.4762
123 -1.245067 -0.3768476 -0.237774 3.363181 -645.9036
124 -1.912308 -0.4427669 -0.1352742 4.811092 -584.1568
125 -1.537697 -0.3530752 -0.2138413 4.200397 -634.1461
126 -2.076521 -0.3906576 -0.1605034 4.428508 -594.8802
127 -1.699181 -0.4349261 -0.1258101 3.969883 -604.8758
128 -1.369664 -0.3748188 -0.1419186 3.966204 -652.026
129 -1.950052 -0.3616874 -0.185187 4.334806 -595.9695
