irep theta1 theta2 beta omega1 LL.IS
1 -1.987968 -0.3778971 -0.05512704 4.026112 -613.4369
2 -1.659865 -0.3953593 -0.09765996 3.909054 -626.8332
3 -1.241034 -0.3354185 -0.1654927 3.70007 -673.4487
4 -1.982105 -0.3630775 -0.1495337 3.587829 -594.2953
5 -1.300603 -0.4010553 -0.1379168 3.942094 -651.4965
6 -1.890097 -0.3196906 -0.1086875 4.033858 -631.401
7 -1.426409 -0.4106677 -0.2459403 4.34897 -616.7092
8 -2.152666 -0.4258015 -0.08698454 4.467588 -578.6903
9 -1.677374 -0.4760986 -0.01755838 4.078926 -611.1416
10 -1.598236 -0.306729 -0.2559255 3.638854 -637.0398
11 -1.955136 -0.4223852 -0.218187 4.314076 -582.5803
12 -1.997087 -0.3791513 -0.08559308 3.962731 -605.9465
13 -0.86279 -0.4043864 -0.136717 3.648156 -691.5134
14 -1.112233 -0.4853324 -0.08610133 4.039021 -646.4038
15 -1.92726 -0.4307066 -0.05361558 3.939142 -599.109
16 -1.881601 -0.392713 -0.1040311 3.700185 -617.398
17 -1.612734 -0.3321992 -0.1735561 4.150302 -644.8718
18 -1.427134 -0.3799619 -0.1779519 3.788346 -639.4689
19 -1.605666 -0.3912835 -0.1231943 4.124392 -627.0607
20 -1.788223 -0.4540997 -0.2241881 3.971677 -575.9245
21 -1.984407 -0.4234245 -0.08955032 4.327276 -586.7948
22 -1.681415 -0.4325778 3.531749e-05 3.745572 -628.1583
23 -1.717537 -0.366652 -0.1469228 3.743041 -624.7841
24 -1.386082 -0.3652037 -0.1919926 3.705945 -648.2506
25 -1.507056 -0.3718786 -0.1712025 3.715049 -637.709
26 -1.804714 -0.3901474 -0.1053979 4.405438 -607.0712
27 -2.085003 -0.3858187 -0.2055877 4.278654 -577.7867
28 -1.637762 -0.3699085 -0.1926516 3.838453 -621.3249
29 -1.980852 -0.3843341 -0.101859 3.880263 -601.692
30 -1.61358 -0.3815088 -0.1754613 3.97945 -615.8695
31 -1.921458 -0.3168758 -0.2519358 4.153596 -597.472
32 -1.437489 -0.395873 -0.04592963 3.558981 -663.5913
33 -1.776949 -0.4528042 -0.08002174 3.881694 -601.837
34 -1.567048 -0.376612 -0.1328832 3.827096 -637.1549
35 -2.259883 -0.3663634 -0.1805534 3.984301 -565.0518
36 -1.861629 -0.3628335 -0.1652729 4.317987 -602.0196
37 -1.972486 -0.3251008 -0.2294147 4.415821 -600.4689
38 -2.07924 -0.3135944 -0.2185462 3.965493 -601.4047
39 -1.772854 -0.3940436 -0.09887644 4.543612 -624.8153
40 -1.549582 -0.3484841 -0.1477633 4.484424 -656.1863
41 -1.313571 -0.3688124 -0.1015027 3.721198 -665.3729
42 -1.917006 -0.4246231 -0.1108425 4.442213 -599.4801
