id,eta_th1_SAEM,eta_th2_SAEM,eta_th1_mean,eta_th2_mean,eta_th1_mode,eta_th2_mode,eta_th1_sd,eta_th2_sd,treatment
1,-0.432067,-0.031303,-0.399122,-0.030695,-0.325656,-0.0131348,1.03862,0.202424,0
2,-0.458456,-0.0230222,-0.410747,-0.0344129,-0.325656,-0.0131347,1.02854,0.193845,0
3,1.24685,0.0182936,1.15361,0.0395509,1.31181,0.0566716,0.868498,0.191161,0
4,0.478044,-0.0373853,0.472518,-0.0316974,0.632127,-0.0308091,0.87774,0.202455,0
5,0.480974,-0.0391374,0.530519,-0.031104,0.632127,-0.0308092,0.909268,0.195609,0
6,0.537684,-0.0497843,0.534394,-0.0403162,0.632126,-0.0308092,0.905079,0.202874,0
7,0.53202,-0.0133275,0.456427,-0.00173309,0.608971,0.00977258,0.9151,0.194627,0
8,-0.399117,-0.0266182,-0.355865,-0.0171981,-0.325656,-0.0131347,0.987221,0.193482,0
9,-0.421776,-0.0345066,-0.403721,-0.0322023,-0.325656,-0.0131347,1.05855,0.203369,0
10,0.542229,-0.0378634,0.547469,-0.058131,0.632126,-0.0308094,0.863347,0.200009,0
11,-0.422187,-0.0339601,-0.494518,-0.0263548,-0.325656,-0.0131348,1.06362,0.204025,0
12,-0.501705,-0.014388,-0.465279,-0.0253104,-0.325656,-0.0131346,0.962057,0.200831,0
13,-0.385032,-0.0219265,-0.460059,-0.022495,-0.325656,-0.0131347,0.958823,0.199761,0
14,-0.461014,-0.0100541,-0.444569,-0.0300786,-0.325656,-0.0131348,1.01661,0.195312,0
15,0.414649,0.0328246,0.408241,0.0302823,0.58383,0.049732,0.904767,0.192085,0
16,-0.37933,-0.0113933,-0.480931,-0.0289455,-0.325656,-0.0131348,0.964377,0.2021,0
17,1.83956,0.0253151,1.83142,0.0355636,1.92599,0.0526662,0.790617,0.183303,0
18,0.516725,-0.0104029,0.474231,-0.00817209,0.608971,0.00977275,0.883683,0.203164,0
19,-0.466886,-0.0320299,-0.43034,-0.0344306,-0.325656,-0.0131348,1.01502,0.20268,0
20,-0.40898,-0.0273387,-0.452218,-0.0144255,-0.325656,-0.0131346,1.03771,0.196735,0
21,-0.49258,-0.0183265,-0.423496,-0.0226369,-0.325656,-0.0131347,1.05326,0.20616,0
22,-0.465907,-0.0171532,-0.378657,-0.0347756,-0.325656,-0.0131347,1.05617,0.2026,0
23,0.431059,-0.0174747,0.447466,-0.000223056,0.608971,0.00977266,0.949724,0.191953,0
24,-0.446361,-0.0311955,-0.434269,-0.0262382,-0.325656,-0.0131347,0.992077,0.208063,0
25,1.2017,0.0425853,1.28422,0.0304995,1.31181,0.0566717,0.851805,0.175712,0
26,-0.460042,-0.027246,-0.461497,-0.0186346,-0.325656,-0.0131347,0.978925,0.20074,0
27,1.00982,0.17161,1.01557,0.171391,1.13078,0.209164,0.891316,0.177102,0
28,-0.439342,-0.0310655,-0.411814,-0.0206173,-0.325656,-0.0131347,1.00121,0.197979,0
29,-0.397035,-0.0226822,-0.429551,-0.0307735,-0.325656,-0.0131347,0.976041,0.199336,0
30,-0.443041,-0.019532,-0.481705,-0.0252109,-0.325656,-0.0131346,1.04762,0.191115,0
31,-0.425258,-0.0373292,-0.557839,-0.0210718,-0.325656,-0.0131347,1.03429,0.19907,0
32,-0.41783,-0.0195196,-0.430313,-0.018229,-0.325656,-0.0131348,0.997153,0.194507,0
33,0.269466,0.164186,0.282258,0.181481,0.477273,0.182727,0.927317,0.197033,0
34,0.224334,0.23166,0.233288,0.23253,0.38077,0.268676,0.92671,0.185934,0
35,-0.434839,-0.0324538,-0.39371,-0.0266229,-0.325656,-0.0131347,0.982706,0.204517,0
36,-0.498534,-0.0213125,-0.454151,-0.0282263,-0.325656,-0.0131346,1.00134,0.203197,0
