rep,id,th1,th2,treatment
1,1,-2.12140899519675,-0.532602980379302,0
2,1,-3.00512419751183,-0.360307399257473,0
3,1,-2.78983793444925,-0.689191546255023,0
1,2,-2.15641215671388,-0.281793399393797,0
2,2,-0.75240929483428,-0.18703094869154,0
3,2,-1.66910029604001,-0.54165133569416,0
1,3,0.0850701131975991,-0.286518258771272,0
2,3,0.932742977942518,-0.391019893554535,0
3,3,-0.0280661270939715,-0.783959257671696,0
1,4,-3.14080000522252,-0.178526180771898,0
2,4,-3.16748049352314,-0.227925734799734,0
3,4,-1.96754895900244,-0.618120202614195,0
1,5,-0.561319073384806,-0.499410463885526,0
2,5,-1.36213764752675,-0.83516743346705,0
3,5,-0.139944828846894,-0.48314068858377,0
1,6,-0.763831546569899,-0.55350143559112,0
2,6,-0.576726393956812,-0.341671492134904,0
3,6,-1.09030774787733,-0.44429800322672,0
1,7,-1.68659559804016,-0.569834294561928,0
2,7,-0.29130447722587,-0.186972982878693,0
3,7,-1.56407146897201,-0.316612451645733,0
1,8,-1.78848493937965,-0.628622062074104,0
2,8,-2.43648641546783,-0.146022548857503,0
3,8,-1.94788318865991,-0.666485598388857,0
1,9,-1.33278125219331,-0.314611054287517,0
2,9,-1.1911987988745,-0.659522351590888,0
3,9,-1.18751678558114,-0.650061385640324,0
1,10,-1.29664699359098,-0.487137396600555,0
2,10,-2.61304314549956,-0.517866827644521,0
3,10,-1.05916753871541,-0.664845787577636,0
1,11,-3.96793408069852,-0.641446370675848,0
2,11,-3.10582913059679,-0.689591371132695,0
3,11,-3.57030422924025,-0.303782596142201,0
1,12,-2.06495256904728,-0.426554541022539,0
2,12,-2.09106865816133,-0.178784351671608,0
3,12,-2.14372667766251,-0.386144553983862,0
1,13,-0.927468830439034,-0.246696117355491,0
2,13,-3.43860279233635,-0.978523361281764,0
3,13,-0.69779293206286,-0.351193723416099,0
1,14,-3.04582885105484,-0.212580713497047,0
2,14,-3.12710023644135,-0.523839556722552,0
3,14,-3.76469584735114,-0.398627325750728,0
1,15,-0.390074553084235,-0.413792026762622,0
2,15,-2.08375008319246,-0.253643029864768,0
3,15,-1.17644178428965,-0.469468446745136,0
1,16,-0.0219146120652254,-0.817527949957193,0
2,16,-1.91689621432416,-0.0785462717210341,0
3,16,-1.86762786205837,-0.686437339265547,0
1,17,0.429672062116906,-0.710209686788239,0
2,17,-0.41521692421333,-0.0684338057744879,0
3,17,-0.0965666456880652,-0.569832128577508,0
1,18,-1.59721581173828,-0.311571040870931,0
2,18,-0.953238717649137,-0.334087513408745,0
3,18,-0.89796503437927,-0.608782088321733,0
1,19,-1.22999960688472,-0.0261116451184452,0
2,19,-2.45772317702565,-0.7920423861457,0
3,19,-1.6157041162516,-0.723352535654374,0
1,20,-2.59494061980955,-0.813924034322107,0
2,20,-1.11986603396037,-0.842383837346076,0
3,20,-2.59850378943514,-0.512671092020496,0
1,21,-1.15889072869427,-0.59241113667268,0
2,21,-2.41725268109728,-0.635363018257986,0
3,21,-2.41101282038496,-0.33560637055323,0
1,22,-3.29404629361633,-0.374801179136574,0
2,22,-3.84471920561227,-0.128589081052895,0
3,22,-0.392684000492074,-0.506578873433169,0
1,23,-0.832949600143885,-0.15584494557779,0
2,23,-1.29910940146364,-0.599035512308293,0
3,23,-2.65136641485071,-0.572947094038871,0
1,24,-1.03246911638266,-0.514792440465708,0
2,24,-2.77747034588756,-0.339054387201111,0
3,24,-3.98802924337965,-0.942122438934613,0
1,25,-2.1300417050391,-0.206497876407217,0
2,25,-1.36512504608975,-0.0947667194563332,0
3,25,0.497493031404,-0.412876009362483,0
1,26,-0.522886057283779,-0.563648953154186,0
2,26,-2.30846220022688,-0.48145985545358,0
3,26,-3.12449964045812,-0.519288849290557,0
1,27,-0.179745431133709,-0.583469772990398,0
2,27,-0.831252087981326,-0.292953967245301,0
3,27,-0.535053202577551,-0.231013993067359,0
1,28,-2.90868043141676,-0.378916607799222,0
2,28,-1.15492267685625,-0.46602692930098,0
3,28,-2.23834099623997,-0.69091982669819,0
1,29,-2.80994231806245,-0.158597401945152,0
2,29,-2.59623965394466,-0.601586014854189,0
3,29,-2.89503604507169,-0.583315476813758,0
1,30,-2.04051580469894,-0.54793775568906,0
2,30,-3.35012388081347,-0.462625308338296,0
3,30,-1.37118498060508,-0.377108535809893,0
1,31,-2.91494588879244,-0.481978343681019,0
2,31,-1.21759794893623,-0.430930179648644,0
3,31,-3.44223075383152,-0.370181913647501,0
1,32,-1.22417240010197,-0.613699559965222,0
2,32,-2.1977133909276,-0.297303822474051,0
3,32,-2.70628641197677,-0.156162445676682,0
1,33,-0.631982192810298,-0.46104502633601,0
2,33,-1.2561073547017,-0.103499483765322,0
3,33,-1.92949178355393,-0.225907168227638,0
1,34,-2.90798433079232,-0.24628858102581,0
2,34,-2.03486370011715,-0.318736199980319,0
3,34,-1.83215548422615,0.118351886522222,0
1,35,-4.17051610669532,-0.646710892039228,0
2,35,-2.82472219863935,-0.0190161320901204,0
3,35,-2.32903691713919,-0.613602111693787,0
1,36,-0.846111161110446,-0.455977672397252,0
2,36,-1.01872512536735,-0.571795974571298,0
3,36,-3.88407775271146,-0.38654227705064,0
1,37,-2.33197793523867,-0.512457832411359,0
2,37,-2.70722530604478,-0.477413386928026,0
3,37,-1.12401109576575,-0.455071454452869,0
1,38,-1.09721988075972,-0.715845317153565,0
2,38,-2.64932257198243,-0.557713218407045,0
3,38,-2.71378523499674,-0.363887063011489,0
1,39,-1.35487300401659,-0.793089957021302,0
2,39,-2.57950609304934,-0.780279638502348,0
3,39,-2.55990508845017,-0.547519311922136,0
1,40,-5.83423859277234,-0.724993930463645,0
2,40,-4.66696073914436,-0.459763812133048,0
3,40,-2.17495170222647,-0.354814610257491,0
1,41,-2.73890204213244,-0.499197051649663,0
2,41,-3.64214502054905,-0.190520359500418,0
3,41,-1.24170599519538,-0.45360341295033,0
1,42,0.00532083324427124,-0.388752971955998,0
2,42,-0.497517828353724,-0.787029356728122,0
3,42,-3.32073855421929,-0.39530909449034,0
1,43,-1.69850398273697,-0.430987340051757,0
2,43,-2.2888176115748,-0.372479197006565,0
3,43,-0.339321087322208,-0.520894604444189,0
1,44,-2.02295588184742,-0.667682262187553,0
2,44,-2.26622185383448,-0.627017280619462,0
3,44,-3.42912594238391,-0.598637708053131,0
1,45,-1.83974397429167,-0.114288968198206,0
2,45,-0.805070722854138,-0.107609530926143,0
3,45,-0.661254240129069,-0.070020916004655,0
1,46,-0.275726746503681,-0.638705004789017,0
2,46,-2.80690960288124,-0.749348316260769,0
3,46,-2.19673480462475,-0.157398637786203,0
1,47,-5.00786247562807,-1.08490735640739,0
2,47,-3.84258506991221,-0.813296365686063,0
3,47,-2.741645614539,-0.339893558508441,0
1,48,-3.32850229756283,-0.798520317334094,0
2,48,-1.41522335100732,-0.368593313679372,0
3,48,-2.20489256007721,-0.301142399761085,0
1,49,-0.820982857639958,-0.466752998274394,0
2,49,-3.37386597332863,-0.557420978816306,0
3,49,-2.09614986295601,-0.334825052203237,0
1,50,-3.53086702248504,-0.814424930069822,0
2,50,-4.09347924017834,-0.993768898546691,0
3,50,-2.34337229213817,-0.080650397084874,0
1,51,-1.39800506942575,-0.574144999736998,0
2,51,-2.94504220364752,-0.797350062959901,0
3,51,-1.35396025370325,-0.302140228402955,0
1,52,-0.924330083029734,-0.270147652847478,0
2,52,-2.16801437160359,-0.242083889483763,0
3,52,-1.22298362325286,-0.665044600041301,0
1,53,-1.88329379855767,-0.484079148064378,0
2,53,-1.1706849621989,-0.151717544660087,0
3,53,-1.37917920392906,-0.607519258940457,0
1,54,-1.20663254172635,-0.43205853900138,0
2,54,-1.90643706534598,-0.365612226009319,0
3,54,-2.60001592961296,-0.298641079666599,0
1,55,-2.29493875075122,-0.417890098104163,0
2,55,-2.50510421630172,-0.647853920557257,0
3,55,-1.26866316288497,-0.343670458623916,0
1,56,-1.72215095596695,-0.673503794989676,0
2,56,-1.30285913718162,-0.326286040682995,0
3,56,-3.49879262581785,-0.684862814743056,0
1,57,-2.1762202392858,-0.509025344449495,0
2,57,-0.954419805858454,-0.22774815780277,0
3,57,-2.21707262896927,-0.312975098399864,0
1,58,-1.48617608075136,-0.787746223226755,0
2,58,-2.20510301736138,-0.395501119804028,0
3,58,-1.64340412276696,-0.453167499621,0
1,59,-0.206623912059482,-0.440669513550716,0
2,59,-1.31379154990795,-0.310314095951461,0
3,59,-2.01671789028558,-0.481166658631059,0
1,60,-2.6661017867006,-0.75865283215273,0
2,60,-2.65338177602819,-0.276942952323454,0
3,60,-1.675471762859,-0.407518247861292,0
1,61,-0.72830156198718,-0.509923352813645,0
2,61,-0.0584440201440662,-0.409766241527623,0
3,61,-0.351681063366428,-0.402650993731575,0
1,62,0.173180691809646,-0.51497039949152,0
2,62,1.01347719966817,-0.283196013376821,0
3,62,-0.495903468952087,-0.0875691612206106,0
1,63,-1.96312395194741,-0.185314202171041,0
2,63,-2.51055899428011,-0.475816415495025,0
3,63,-2.40745075499874,-0.453958124868701,0
1,64,-2.38993923018673,-0.247739022231489,0
2,64,-2.78917643072989,-0.478216746777669,0
3,64,-2.04563403113329,-0.159407450288539,0
1,65,-2.7612106446237,-0.603670703237348,0
2,65,-0.443345874586379,-0.531278540338278,0
3,65,-5.27905903103796,-0.707133909968677,0
1,66,-0.992549733691124,-0.695969162125764,0
2,66,-2.6783484290019,-0.394251814972199,0
3,66,-1.52125819400532,-0.323721352180919,0
1,67,-0.0391582184762359,-0.522230061361028,0
2,67,-2.35983131017186,-0.490614219456024,0
3,67,-2.10446052453106,-0.195072266168242,0
1,68,-2.80926390126718,-0.541486048526583,0
2,68,-1.35346247198851,-0.730632704630094,0
3,68,-2.74429663845624,-0.469306594994462,0
1,69,-1.97658690953697,-0.425349234950247,0
2,69,-2.01817402393929,-0.53673529477739,0
3,69,-1.55248740319255,-0.220085457531161,0
1,70,-2.45446446375655,-0.47648819878082,0
2,70,-1.97360983109463,-0.674960140393742,0
3,70,-4.40421538950328,-0.332669055905733,0
1,71,-2.11707728929815,-0.179635580525193,0
2,71,-0.721548973110898,-0.698406189105743,0
3,71,-2.02805330378558,-0.608923267777993,0
1,72,-2.37637239182301,-0.610050144056216,0
2,72,-0.856839061416369,-0.512526056568518,0
3,72,-2.11993593535708,-0.440118992248856,0
1,73,-3.75314028612963,-0.333454884269451,0
2,73,-2.97959818935614,-0.435614715167984,0
3,73,-1.96576982249625,-0.256232330326191,0
1,74,-0.953808904598729,-0.868941382041594,0
2,74,-1.22134905324249,-0.552446085629603,0
3,74,-0.92220155632476,-0.508211529980253,0
1,75,-1.08773699912632,-0.976222880744472,0
2,75,-1.46841352751361,-0.238818486055748,0
3,75,-1.08578122109363,-0.809157625607812,0
1,76,-1.70147786132468,-0.259326447165916,0
2,76,0.647740309588318,-0.695473436111299,0
3,76,-1.29106572631276,-0.300049252874616,0
1,77,-2.98026026953366,-0.263628318209885,0
2,77,-2.75582178026204,-0.531171316863004,0
3,77,-2.40587195214829,-0.342879323836224,0
1,78,-2.709551618049,-0.346933614548006,0
2,78,-1.7563217847464,-0.563867619111042,0
3,78,-2.65305875412785,-0.603377844355403,0
1,79,-3.6439381716253,-0.307116588322276,0
2,79,-2.20600838490297,-0.381504355177982,0
3,79,-5.1370247879259,-0.63612587026818,0
1,80,-5.17611663350415,-0.787164070705447,0
2,80,-2.60249685729194,-0.490290952119293,0
3,80,-3.00136076134496,-0.300405580409768,0
1,81,-3.58923434290067,-0.44992030396647,0
2,81,-2.89022126994977,-0.563686169109398,0
3,81,-0.512214583379819,-0.271379276463515,0
1,82,-2.52752336589497,-0.697496266800307,0
2,82,0.194736638081453,-0.663322423183477,0
3,82,-1.09277323497903,-0.353846645176376,0
1,83,-1.92084789148194,-0.617069187045541,0
2,83,0.228887889768068,-0.557212499773252,0
3,83,-0.639141624077726,-0.338717086838018,0
1,84,-1.92901097399152,-0.358210740679502,0
2,84,-2.24625376037592,-0.562591348051652,0
3,84,-1.57037350953674,-0.436385024249194,0
1,85,-1.4107034993128,-0.512073872016056,0
2,85,-1.52994456529577,-0.36603013278248,0
3,85,-4.28972934268294,-0.478886719784706,0
1,86,-1.69564080848648,-0.462237938812857,0
2,86,-1.20309949236976,-0.572689180764382,0
3,86,-2.2489009162057,0.0637322513755094,0
1,87,-2.31515581888646,-0.36823164988488,0
2,87,-1.95323381924502,-0.564517164671987,0
3,87,-3.04729413482322,-0.311559407090727,0
1,88,-1.55263419036355,-0.539111011190666,0
2,88,-1.20042021253429,-0.762849736467869,0
3,88,1.31816784161494,-0.437046093552476,0
1,89,-1.80152561320376,-0.707153476105307,0
2,89,-1.85000792813876,-0.264957767272513,0
3,89,-2.04344191707593,-0.710397968431844,0
1,90,-3.28165350035276,-0.235625462358396,0
2,90,-4.06468288755624,-0.547854607584517,0
3,90,0.513977189915351,-0.438950253256953,0
1,91,-1.44152583750897,-0.823110194125381,0
2,91,-3.43885048317136,-0.700724070489226,0
3,91,-4.06337533692688,-0.350340210950674,0
1,92,-2.07733094532272,-0.926603353518446,0
2,92,-1.99645048469315,-0.477398808000115,0
3,92,-3.31189725020695,-0.39394115313932,0
1,93,-1.97033356508251,-0.646908194123916,0
2,93,-2.3133041408307,-0.309528822506699,0
3,93,-1.08231323508284,-0.505987349087282,0
1,94,-2.48405249111195,-0.593014336650597,0
2,94,-2.29784643098388,-0.610795110126401,0
3,94,-0.781971853985666,-0.924681591515025,0
1,95,-0.90072278991186,-0.408254094939962,0
2,95,-3.06199712943878,-0.524131599876242,0
3,95,-1.46558515262859,-0.338670430782685,0
1,96,-1.17554867904994,-0.077959650612551,0
2,96,0.041720739238529,-0.224422315526479,0
3,96,-0.925050512121854,-0.267329810170638,0
1,97,-2.33677187426234,-0.170252876882228,0
2,97,-1.42231779817416,-0.350482914294959,0
3,97,-2.76177238963266,-0.607161319943206,0
1,98,-1.11516109825164,-0.633653066198712,0
2,98,-2.09311871256772,-0.377024140120508,0
3,98,-3.54938857308692,0.0838580681710821,0
1,99,0.496324996602431,-0.524318687760142,0
2,99,-0.258236238479513,-0.175004292802575,0
3,99,-0.348273210910443,-0.540545768497925,0
1,100,-0.448242709231683,0.150538953972332,0
2,100,-2.21306379521182,0.0836138954739264,0
3,100,-0.0236352696356036,0.143592567450989,0
1,101,-0.926547247045062,-0.49293215490494,0
2,101,-2.81721817915868,-0.563688556955232,0
3,101,-2.34453784744738,-0.360469789021796,0
1,102,-1.74289678934059,-0.385857125465288,0
2,102,-2.42050004103852,-0.271587292882881,0
3,102,-2.75631882259204,-0.32683723563201,0
1,103,-0.981504679731783,-0.575742897717474,0
2,103,-2.07655690203622,-0.497885273217983,0
3,103,-1.85698148218191,-0.476237326520087,0
1,104,-1.89134350879222,-0.560439636289736,0
2,104,-2.51489990035056,-0.528493136372101,0
3,104,-2.70204961359681,-0.218188969973152,0
1,105,-1.18995969484473,-0.71409438811396,0
2,105,0.0828780802788387,-0.376482192506621,0
3,105,0.0015955291053123,-0.28423208509085,0
1,106,-1.32685943788399,-0.753553689241185,0
2,106,-0.241967340240681,-0.144317438471416,0
3,106,-0.727699727694645,-0.475237513738382,0
1,107,-0.140407893542531,-0.277541641550129,0
2,107,-0.353128366622556,-0.269193816967696,0
3,107,-1.58792201337033,-0.655099741969324,0
1,108,-0.864319383324939,-0.35766803609403,0
2,108,-3.80129944519125,-0.132571776744644,0
3,108,-2.26867530050857,-0.0533497063015644,0
1,109,-3.37585699926634,-0.462940375804545,0
2,109,-3.78420879552923,-0.609996357147471,0
3,109,-3.57007012875718,-0.340471293578397,0
1,110,-1.44934202785041,-0.439909987421107,0
2,110,-2.17281166431859,-0.224791724848751,0
3,110,-1.05813227430473,-0.30240062479446,0
1,111,-2.58848218676346,-0.644577906519573,0
2,111,-2.02432197627416,-0.238251154247216,0
3,111,-2.75509103529483,-0.649755099980099,0
1,112,-0.935929122277952,-0.683250842486237,0
2,112,-2.16574452100906,-0.226296604756656,0
3,112,-2.85281783973816,-0.357501235318108,0
