id,importanceSampling
1,0.920462
2,0.904023
3,9.484494
4,4.699823
5,4.692729
6,4.695975
7,5.623907
8,0.898279
9,0.922611
10,4.694208
11,0.918410
12,0.895801
13,0.901133
14,0.910059
15,6.481145
16,0.926390
17,11.081556
18,5.621483
19,0.903723
20,0.917465
21,0.916043
22,0.904283
23,5.630917
24,0.918884
25,9.494807
26,0.904967
27,12.460890
28,0.899503
29,0.906235
30,0.914057
31,0.907162
32,0.914324
33,8.896012
34,10.102380
35,0.906335
36,0.911056
37,4.687697
38,0.904916
39,0.912495
40,0.910905
41,0.910376
42,9.493745
43,0.914845
44,0.907013
45,14.551885
46,7.264748
47,0.902373
48,0.903346
49,0.907316
50,0.915365
51,4.691965
52,6.468809
53,4.691762
54,4.677379
55,0.899235
56,0.905148
57,0.908006
58,0.922589
59,8.647158
60,0.902245
61,9.492830
62,14.074347
63,0.915301
64,0.899346
65,0.915971
66,0.915013
67,0.923215
68,4.689509
69,0.910015
70,0.919794
71,4.690902
72,0.917081
73,0.914717
74,0.910240
75,0.912086
76,4.688049
77,0.905812
78,6.481159
79,0.930955
80,0.906653
81,0.911663
82,0.913347
83,9.499528
84,0.931115
85,0.910217
86,0.918382
87,0.913592
88,7.722533
89,0.910964
90,0.926808
91,0.910084
92,0.920836
93,6.474883
94,0.919267
95,0.905809
96,16.942946
97,0.908844
98,0.924203
99,11.876743
100,18.480362
101,0.910893
102,0.916939
103,4.686689
104,4.691982
105,8.628404
106,8.646294
107,9.487821
108,0.910297
109,0.897861
110,7.279548
111,0.903315
112,0.899218
113,5.631472
114,0.910487
115,6.479415
116,0.911307
117,0.902183
118,0.914013
119,0.904634
120,0.907885
121,0.913749
122,0.912881
123,0.909519
124,0.905180
125,6.495200
126,0.914846
127,14.713171
128,0.910901
129,11.900444
130,0.920539
131,0.906950
132,0.908843
133,0.913060
134,6.481168
135,10.228008
136,0.916715
137,0.913045
138,0.811547
139,5.624182
140,0.813885
141,0.808009
142,8.681615
143,4.496036
144,0.813531
145,7.661770
146,7.572264
147,4.485281
148,4.484330
149,0.820442
150,0.805718
151,0.803463
152,4.495541
153,0.814569
154,0.802527
155,0.802213
156,4.486610
157,0.814845
158,0.813772
159,0.806273
160,0.818225
161,11.306747
162,6.680073
163,7.563852
164,0.798162
165,0.808281
166,0.805142
167,0.810027
168,4.480070
169,0.806074
170,0.816444
171,0.808552
172,0.804170
173,13.809745
174,0.800443
175,0.814817
176,0.810097
177,4.489244
178,0.806745
179,7.574941
180,5.627502
181,0.807663
182,4.483903
183,11.297674
184,10.267742
185,0.825248
186,0.810540
187,0.814201
188,6.681723
189,6.686934
190,0.806341
191,0.816615
192,0.807998
193,0.806040
194,0.803972
195,0.804637
196,0.808784
197,5.618791
198,0.787606
199,6.685558
200,0.800166
201,0.820999
202,0.815504
203,5.631421
204,7.659636
205,0.809374
206,0.806634
207,5.634442
208,0.813609
209,0.811083
210,0.809911
211,0.812786
212,0.802285
213,4.481119
214,0.812357
215,0.815473
216,0.807818
217,0.804585
218,11.422122
219,7.649616
220,11.563541
221,0.817094
222,0.810235
223,0.808668
224,0.806989
225,0.811804
226,0.815532
227,0.806183
228,0.801365
229,4.488659
230,0.802954
231,0.821329
232,4.491332
233,0.802138
234,0.807328
235,0.812645
236,4.486983
237,0.805213
238,0.797619
239,0.804045
240,0.804640
241,0.815058
242,4.490445
243,7.664542
244,7.649041
245,4.474259
246,0.808063
247,0.811376
248,0.817457
249,0.796288
250,0.812416
251,0.808399
252,0.818103
253,0.803644
254,6.685277
255,7.654402
256,0.810122
257,0.809768
258,6.671495
259,0.804914
260,7.649939
261,0.804165
262,0.804945
263,0.816006
264,0.812138
265,0.805059
266,0.804110
267,5.622724
268,4.491509
269,0.803070
270,0.810857
271,5.632045
272,0.811505
273,18.477331
274,0.813702
