id,importanceSampling
1,7.390
2,6.929
3,7.705
4,6.785
5,7.395
6,7.594
7,7.607
8,5.964
9,7.714
10,7.616
11,7.608
12,7.621
13,7.725
14,6.946
15,7.607
16,6.770
17,6.939
18,6.940
19,7.605
20,7.389
21,7.699
22,7.605
23,6.939
24,6.463
25,7.704
26,7.618
27,6.949
28,7.607
29,7.698
30,6.952
31,6.944
32,7.000
33,7.613
34,7.614
35,7.628
36,7.617
37,6.937
38,7.715
39,7.602
40,6.774
41,7.704
42,6.949
43,7.613
44,7.625
45,7.620
46,7.610
47,7.617
48,7.617
49,7.608
50,7.615
51,6.953
52,7.717
53,7.606
54,7.624
55,7.605
56,7.619
57,6.952
58,7.624
59,6.957
60,6.940
61,7.610
62,6.942
63,6.957
64,7.701
65,7.623
66,7.604
67,7.625
68,7.624
69,6.956
70,7.609
71,7.597
72,6.459
73,7.610
74,7.624
75,7.612
76,6.954
77,6.744
78,7.403
79,7.616
80,6.449
81,7.624
82,7.717
83,7.610
84,6.948
85,7.413
86,7.382
87,7.597
88,7.620
89,6.939
90,7.618
91,7.624
92,7.612
93,6.962
94,7.714
95,7.621
96,7.604
97,6.754
98,6.957
99,7.616
100,7.601
101,7.408
102,7.608
103,6.950
104,7.602
105,7.722
106,6.952
107,7.404
108,6.958
109,6.918
110,6.953
111,7.609
112,7.616
113,6.766
114,6.945
115,6.776
116,6.947
117,6.952
118,6.766
119,7.615
120,6.937
121,7.610
122,6.760
123,7.612
124,7.708
125,6.769
126,6.455
127,7.620
128,6.765
129,7.404
130,7.690
131,7.715
132,7.611
133,6.950
134,7.703
135,6.945
136,7.606
137,7.610
138,6.935
139,7.394
140,6.781
141,7.615
142,7.595
143,5.971
144,7.627
145,7.609
146,7.603
147,6.430
148,6.949
149,7.616
150,7.614
151,7.713
152,7.615
153,7.600
154,7.614
155,7.613
156,7.606
157,7.025
158,7.611
159,6.957
160,7.617
161,7.405
162,7.615
163,6.944
164,7.620
165,6.984
166,7.629
167,6.957
168,6.951
169,6.778
170,7.603
171,6.953
172,7.617
173,6.943
174,7.609
175,6.461
176,7.704
177,7.606
178,7.614
179,7.580
180,6.771
181,7.624
182,6.953
183,7.632
184,6.777
185,7.606
186,6.947
187,6.735
188,6.953
189,6.953
190,6.776
191,7.600
192,6.964
193,7.594
194,7.712
195,6.953
196,7.606
197,7.390
198,7.411
199,7.606
200,7.394
201,7.595
202,7.621
203,6.959
204,7.614
205,7.614
206,7.403
207,7.693
208,7.387
209,6.752
210,7.623
211,6.925
212,7.617
213,7.617
214,7.610
215,7.621
216,6.769
217,7.605
218,7.614
219,5.987
220,6.951
221,6.775
222,7.625
223,7.621
224,6.996
225,7.610
226,7.397
227,6.761
228,6.954
229,7.606
230,6.950
231,6.769
232,7.607
233,7.025
234,7.625
235,7.698
236,7.734
237,6.474
238,7.617
239,6.949
240,6.474
241,6.948
242,7.612
243,7.609
244,7.418
245,6.954
246,7.614
247,7.611
248,6.952
249,7.604
250,7.611
251,6.455
252,6.771
253,7.603
254,7.632
255,7.629
256,6.955
257,7.600
258,7.599
259,6.945
260,7.412
261,7.614
262,6.769
263,7.608
264,6.946
265,7.597
266,7.610
267,7.611
268,7.614
269,7.606
270,7.611
271,7.616
272,6.761
273,7.724
274,5.969
275,6.454
276,6.768
277,6.966
278,6.448
279,7.398
280,7.606
281,7.615
282,7.604
283,6.462
284,7.607
285,7.615
286,7.616
