rep,id,beta0,gamma0,delta0,eta_beta0,eta_gamma0,eta_delta0
1,1,-0.11362404083749,-7.2832532721401,-3.87841857762687,0.191678260886935,-0.246593616687339,-0.607232474409578
1,2,-0.274026474055633,-7.09215478324071,-2.91426478774727,0.0312758276687921,-0.0554951277879505,0.356921315470017
1,3,-0.467927994437697,-7.62091403142365,-2.96001586938001,-0.162625692713271,-0.584254375970896,0.311170233837283
1,4,-0.202797720098354,-7.26162603875296,-3.93756694816887,0.102504581626071,-0.224966383300208,-0.666380844951578
1,5,-0.298927995571267,-7.20504085642715,-3.3340077674814,0.00637430615315843,-0.168381200974391,-0.0628216642641104
1,6,-0.343037651509364,-6.64140659810571,-3.758575653325,-0.037735349784939,0.395253057347052,-0.487389550107713
1,7,-0.112190376493349,-7.1104588391302,-3.92881306421879,0.193111925231077,-0.0737991836774476,-0.657626961001506
1,8,-0.195684588897107,-7.01626476490739,-2.86883670435601,0.109617712827318,0.0203948905453641,0.402349398861279
1,9,-0.33460272524624,-6.89765081074788,-3.62610072284245,-0.0293004235218143,0.139008844704882,-0.354914619625158
1,10,-0.370803905771311,-6.94289374851091,-2.80499608540705,-0.0655016040468856,0.0937659069418508,0.466190017810237
1,11,-0.239150998740262,-6.78041923751394,-3.20677481529801,0.066151302984163,0.256240417938814,0.0644112879192744
1,12,-0.284185596330229,-6.93173981318548,-3.62370617777648,0.0211167053941962,0.104919842267276,-0.352520074559195
1,13,-0.172187729379767,-7.3176626986875,-3.75356273364841,0.133114572344658,-0.28100304323474,-0.482376630431126
1,14,-0.334438203212726,-6.93590871656629,-2.29239138205348,-0.0291359014883003,0.100750938886471,0.978794721163805
1,15,-0.236151417234239,-7.01002031298778,-3.50855738848528,0.0691508844901865,0.0266393424649785,-0.237371285267988
1,16,-0.0225738773664795,-7.11048868877796,-2.87441538289094,0.282728424357946,-0.0738290333252074,0.396770720326353
1,17,-0.362823029169536,-7.08704349869247,-3.59651042182856,-0.0575207274451107,-0.0503838432397101,-0.325324318611268
1,18,-0.384900308033312,-6.90434096121317,-3.48530314759868,-0.0795980063088866,0.13231869423959,-0.214117044381395
1,19,-0.438165737580029,-6.7740509881397,-3.02447813082032,-0.132863435855604,0.262608667313056,0.246707972396968
1,20,-0.260575599796549,-7.06051565455512,-2.54916589492951,0.0447267019278765,-0.0238559991023592,0.722020208287783
1,21,-0.518894048718198,-6.91710126469838,-3.35153914132047,-0.213591746993773,0.11955839075438,-0.0803530381031807
1,22,-0.310975271897586,-6.54115128836917,-2.96087472797945,-0.0056729701731611,0.495508367083582,0.310311375237843
1,23,-0.284494872492613,-7.33844258006098,-3.14072558288677,0.0208074292318127,-0.301782924608227,0.130460520330515
1,24,-0.0899925782027265,-7.00057689749577,-2.98696405307411,0.215309723521699,0.0360827579569847,0.284222050143183
1,25,-0.358361549139974,-7.23812889023717,-3.19026472325746,-0.0530592474155482,-0.201469234784414,0.080921379959829
1,26,-0.305399427280906,-7.01685023880832,-2.42925368448388,-9.7125556480393e-5,0.0198094166444394,0.841932418733413
1,27,-0.362892521392956,-6.76043078413395,-3.72807026450611,-0.0575902196685309,0.276228871318811,-0.45688416128882
1,28,-0.526193718937067,-7.05196644302773,-3.25889786233592,-0.220891417212641,-0.0153067875749739,0.0122882408813672
1,29,-0.251087653197963,-6.76308790061908,-3.94741932405693,0.0542146485264626,0.273571754833677,-0.676233220839638
1,30,-0.346874746739581,-7.02733052542604,-3.53799553308508,-0.0415724450151558,0.00932913002671842,-0.266809429867795
1,31,-0.647892252312068,-6.73125771791187,-3.43833629995313,-0.342589950587643,0.305401937540887,-0.167150196735845
1,32,-0.205260309204072,-6.97946744149848,-3.5862806979995,0.100041992520353,0.057192213954278,-0.315094594782214
1,33,-0.283710399319974,-7.11105932436928,-3.42456002781372,0.0215919024044515,-0.0743996689165218,-0.153373924596431
1,34,-0.346571794238735,-7.1460163295368,-3.62725359281028,-0.0412694925143096,-0.109356674084042,-0.356067489592991
1,35,-0.241264608328918,-6.83281790872126,-3.90389871847998,0.0640376933955077,0.203841746731493,-0.632712615262691
1,36,-0.182545830301018,-6.99348298225511,-4.38865991471819,0.122756471423407,0.0431766731976451,-1.1174738115009
1,37,-0.379110862774709,-7.00471459008549,-3.24915188472757,-0.0738085610502834,0.0319450653672702,0.0220342184897215
1,38,-0.221767306523307,-7.14885229418437,-2.87823879293969,0.0835349952011181,-0.112192638731609,0.392947310277604
1,39,-0.356700890145058,-6.73451966639625,-4.1094254624724,-0.0513985884206325,0.302139989056509,-0.83823935925511
1,40,-0.116601205871964,-7.15837448581303,-3.03070835668355,0.188701095852462,-0.121714830360268,0.240477746533736
1,41,-0.59868245571075,-7.40745115052289,-2.89348060214573,-0.293380153986325,-0.370791495070132,0.377705501071556
1,42,-0.465519348580765,-6.80705546716008,-3.8381610843636,-0.160217046856339,0.229604188292678,-0.56697498114631
1,43,-0.292951378638607,-6.88348687868376,-3.32031922184752,0.0123509230858188,0.153172776769002,-0.0491331186302291
1,44,-0.401259834426259,-6.89525863799697,-3.44473567464051,-0.0959575327018337,0.141401017455788,-0.173549571423225
1,45,-0.393932265563291,-7.14790486648158,-3.37441203916902,-0.0886299638388661,-0.111245211028825,-0.103225935951732
1,46,-0.246990730626406,-6.98420927104057,-3.30928365431451,0.0583115710980196,0.0524503844121895,-0.0380975510972257
1,47,-0.203975227705653,-6.98237951845481,-3.14035346509581,0.101327074018772,0.0542801369979458,0.130832638121475
1,48,-0.448551429808047,-6.99451832350855,-3.38568039327781,-0.143249128083622,0.0421413319442063,-0.114494290060522
1,49,-0.445617905061516,-7.0764603697578,-3.72024536418855,-0.14031560333709,-0.0398007143050467,-0.449059260971262
1,50,-0.266805568709527,-6.8336911899436,-2.92801216992444,0.0384967330148988,0.202968465509153,0.343173933292853
1,51,-0.310700927861387,-6.79760137470575,-2.85395019761001,-0.00539862613696118,0.239058280747005,0.417235905607276
1,52,-0.349266389182953,-7.19242897168394,-2.47228017386274,-0.0439640874585279,-0.155769316231186,0.798905929354548
1,53,-0.186499614352554,-7.10363626185297,-3.62715427888,0.118802687371872,-0.0669766064002157,-0.355968175662711
1,54,-0.324371198923172,-7.13011296196972,-3.18553454251637,-0.0190688971987467,-0.0934533065169605,0.0856515607009194
