rep,id,beta0,gamma0,delta0,group
1,1,-0.328064049568801,0.00074062344471753,0.041924906337976,1
1,2,-0.31697354106869,0.00102252312570842,0.0439128332453119,1
1,3,-0.49172987860219,0.00105049256384657,0.0440800693818613,1
1,4,-0.233989397676471,0.00119562275136201,0.0729398995130366,1
1,5,-0.278276778826846,0.000639672671084015,0.0314100968032428,1
1,6,-0.352673641239368,0.000965532272379,0.088948809489633,1
1,7,-0.511833852747685,0.000719322927118853,0.036734297293241,1
1,8,-0.287533910034612,0.000792674022573169,0.0451029527905214,1
1,9,-0.612151733967255,0.000886385813505734,0.0258091156121722,1
1,10,-0.288299958908172,0.000869749832100913,0.045809402153427,1
1,11,-0.152914357229817,0.00094979388466131,0.0299669773099114,1
1,12,-0.223710938680745,0.000941938334562324,0.0245046951762352,1
1,13,-0.35763720218942,0.000693184181160252,0.0336302841388648,1
1,14,-0.203125220614946,0.000826352679425715,0.0433478409772377,1
1,15,-0.430713744604103,0.000797634282478681,0.0275018032479302,1
1,16,-0.093543231907187,0.00068196624085029,0.0518864412065047,1
1,17,-0.270477062560583,0.000672451785105114,0.0271532155227898,1
1,18,-0.228511061617387,0.000705662567979931,0.0294960904686149,1
1,19,-0.0996677813187882,0.0012180812628789,0.0387183160143354,1
1,20,-0.382416807734776,0.000973000511145453,0.0205552892218298,1
1,21,-0.363896320529558,0.000833765638359082,0.0512368851951319,1
1,22,-0.174632558546788,0.000830810228363748,0.0259268744984401,1
1,23,-0.464577814357645,0.000976237121698992,0.0227617396981649,1
1,24,-0.242150451240402,0.000694375541509587,0.07953970233076,1
1,25,-0.4637180494071,0.000745098236807092,0.0666496448739266,1
1,26,-0.38360593622397,0.000842469159840057,0.049567073813388,1
1,27,-0.312475022678896,0.000651560599908678,0.0360460968602244,1
1,28,-0.217325528819121,0.000868234090883147,0.0247842634645005,1
1,29,-0.445430534756169,0.00107830285301095,0.0235516421979357,1
1,30,-0.170478876768242,0.000848651245068883,0.053023480390917,1
1,31,-0.379253396944754,0.00103167163117391,0.0389965069460848,1
1,32,-0.477714897324127,0.00101189878093715,0.0614954242340483,1
1,33,-0.201383376455179,0.000761177736087302,0.0420320861677952,1
1,34,-0.181156293991037,0.000821996116519407,0.0239854402835657,1
1,35,-0.360633209749451,0.00090327117734093,0.0919626204780517,1
1,36,-0.179976176636292,0.000859133841079051,0.0431989845811274,1
1,37,-0.320790297778156,0.000705995799776181,0.0232265265627135,1
1,38,-0.34276166423109,0.000735963580431427,0.0314119160193596,1
1,39,-0.339344094931158,0.000623936177084717,0.0413250370644877,1
1,40,-0.432398386339254,0.00119476178294431,0.103776282461516,1
1,41,-0.614148629268891,0.0012761145004402,0.0272493044420272,1
1,42,-0.434786934512823,0.000562203670598408,0.0504603729253497,1
1,43,-0.462231399031154,0.00109503055186266,0.0231104919327696,1
1,44,-0.453141978742777,0.000975758898598813,0.0227167857108033,1
1,45,-0.233680968951803,0.000791085389392916,0.0341085961931819,1
1,46,-0.035244437207782,0.000898583030933552,0.0490535946361821,1
1,47,-0.277569969350661,0.000986442736877663,0.0311683828334775,1
1,48,-0.218427979044105,0.000862118915604452,0.0363190537686074,1
1,49,-0.300870226242686,0.000790705042040699,0.0361807555857254,1
1,50,-0.363147076435252,0.00153917766968756,0.0404789107775788,1
1,51,-0.22783517355201,0.000947431431507385,0.0204788024387241,1
1,52,-0.264926478807554,0.000573654834242813,0.037123951040319,1
1,53,-0.267608442656083,0.00125577981190708,0.0317293586723411,1
1,54,-0.494064340330129,0.000507546221206817,0.0322081734642456,1
1,55,-0.340152882463199,0.00108495156880498,0.0187335952132675,1
1,56,-0.406311051345903,0.000712367935071202,0.049859125083414,1
1,57,-0.189043389328193,0.000491745964154973,0.0250519320074669,1
1,58,-0.235584380173887,0.00119908234513239,0.0281837492695392,1
1,59,-0.0917637295509885,0.00080704205210804,0.0262578063328853,1
1,60,-0.332596636738035,0.00114949882005092,0.0338363977053831,1
1,61,-0.296080622620906,0.000629290038564982,0.062435955702431,1
1,62,-0.340079833191008,0.000781832986048993,0.0262949736498496,1
1,63,-0.337797803891669,0.000976870322289319,0.0314716229614102,1
1,64,-0.223586537124248,0.00131218916646176,0.0251834737454809,1
1,65,-0.425123341340971,0.000843418272067284,0.0246583130769429,1
1,66,-0.33841093679753,0.000950044273699025,0.0532541858585388,1
1,67,-0.278458608763406,0.000718003710077505,0.0405732865821532,1
1,68,-0.210342447993966,0.00118961377022097,0.035976254958526,1
1,69,-0.326523190670711,0.00125601976572219,0.030370211521891,1
1,70,-0.135557537504537,0.00113143313598956,0.0313255255637601,1
1,71,-0.260666256400759,0.00111183292291975,0.0254033441234686,1
1,72,-0.448065668532623,0.00122648211099792,0.077730086843857,1
1,73,-0.112330192438902,0.000864223393658959,0.0311760307818989,1
1,74,-0.424458362769187,0.000682722322017041,0.0294552489773564,1
1,75,-0.149611996156621,0.00105257476823347,0.0736333332095137,1
1,76,-0.497505397747618,0.000731024542229109,0.033005884193088,1
1,77,-0.300179566652696,0.000628287452891621,0.0282697495489169,1
1,78,-0.383391016717136,0.000734806405669095,0.0464494489725559,1
1,79,-0.199706253701135,0.00102776909757281,0.0271651050294429,1
1,80,-0.203074134367722,0.000843514936612197,0.0409658768913123,1
1,81,-0.489909493229789,0.00075658314109656,0.0242500839873849,1
1,82,-0.15614151684941,0.000920329933945688,0.0192064224249782,1
1,83,-0.179378884036868,0.000615708651329548,0.0188692317042626,1
1,84,-0.218553153165696,0.0007220679544282,0.022116867274095,1
1,85,-0.105597043354581,0.000840809394663349,0.0170079842244529,1
1,86,-0.480420220324156,0.000766394720482966,0.132154993626971,1
1,87,-0.218694254119477,0.000703555407939484,0.0336409027597398,1
1,88,-0.295073284428321,0.000705630565675333,0.0430865426421827,1
1,89,-0.334352111496807,0.000691493601821792,0.0384054922873069,1
1,90,-0.323481825925545,0.00115047425402192,0.0248327988085852,1
1,91,-0.47153126536447,0.00107709729803409,0.0319217834544724,1
1,92,-0.290691290713661,0.00121008295342038,0.0241430703156337,1
1,93,-0.45455864403458,0.000889493158966144,0.040290317007143,1
1,94,-0.573234405941561,0.000869942360354122,0.0384462972683515,1
1,95,-0.328655828953888,0.00119959211439626,0.0226917637281104,1
1,96,-0.460867942642716,0.000855118250809916,0.0290054977742097,1
1,97,-0.237367403763803,0.000937154770873731,0.027894157982382,1
1,98,-0.266884325286752,0.000734506972161776,0.0224111554965416,1
1,99,-0.550343535332858,0.0011515180334681,0.0347706121300134,1
1,100,-0.283346325092698,0.000646930265239923,0.0218547191318125,1
1,101,-0.0882340958646472,0.00118942641049417,0.0626047224650076,1
1,102,-0.369017824681457,0.000668643868571654,0.0463550002939648,1
1,103,-0.237265535542985,0.000882356663487135,0.0388248634214544,1
1,104,-0.301585688265262,0.000846574095780293,0.0420531731192526,1
1,105,-0.374139477921314,0.00102616728619919,0.0597265902709803,1
1,106,-0.249269863906334,0.00122615418121107,0.0604654098104188,1
1,107,-0.311649756798567,0.000776599962577379,0.0994771557813845,1
1,108,-0.543743663806453,0.000521214725025035,0.0619174740544537,1
1,109,-0.326795795816923,0.000550008324139221,0.0284632749740343,1
1,110,-0.32997630375467,0.000919745584661507,0.0462444451001062,1
1,111,-0.527342322401258,0.000821763837935961,0.0331001812413221,1
