id,a_SAEM,b_SAEM,a_mean,b_mean,a_mode,b_mode,a_sd,b_sd
1,14.7673,1.1065,15.0585,1.12356,15.1923,1.08376,1.71509,0.179333
2,15.2285,1.12139,14.8736,1.12867,15.1923,1.08376,1.4831,0.199354
3,15.8652,0.878927,15.3031,0.837144,15.7614,0.86336,1.84952,0.128286
4,15.1009,1.11881,15.1876,1.14499,15.1923,1.08376,1.51595,0.164648
5,15.28,1.13977,15.1069,1.13253,15.1923,1.08376,1.78818,0.199113
6,15.2424,1.17539,15.185,1.12171,15.1923,1.08376,1.47574,0.188826
7,14.8057,1.12747,14.815,1.14218,15.1923,1.08376,1.62794,0.188242
8,14.8922,1.1192,14.8678,1.1108,15.1923,1.08376,1.57957,0.180066
9,15.6001,0.860716,15.7832,0.883847,15.7614,0.86336,1.64698,0.1178
10,15.8368,0.871959,15.3358,0.852134,15.7614,0.86336,1.41046,0.115257
11,15.0493,1.13513,14.8811,1.14228,15.1923,1.08376,1.69602,0.175787
12,15.1517,0.847923,15.8122,0.895766,15.7614,0.86336,2.04701,0.132578
13,15.6118,0.856499,15.7259,0.874574,15.7614,0.86336,1.49366,0.112531
14,14.6832,1.13593,15.423,1.12663,15.1923,1.08376,1.75815,0.192942
15,14.6787,1.12668,15.3069,1.15207,15.1923,1.08376,1.72498,0.175939
16,14.9813,1.14961,15.2067,1.161,15.1923,1.08376,2.14344,0.190587
17,14.6546,1.08139,15.3616,1.15875,15.1923,1.08376,1.77766,0.198132
18,15.2884,1.15317,15.2514,1.1513,15.1923,1.08376,1.75885,0.221127
19,13.9923,1.43663,13.9018,1.40054,13.8283,1.41521,1.62514,0.17143
20,15.1172,1.14393,15.3987,1.15832,15.1923,1.08376,1.87885,0.220855
21,15.5666,0.585899,16.3547,0.613619,15.9949,0.589204,1.71371,0.115735
22,14.7851,1.10797,14.775,1.15021,15.1923,1.08376,1.91988,0.198357
23,15.0864,1.1289,15.1251,1.14985,15.1923,1.08376,1.57771,0.218509
24,13.406,1.43407,13.929,1.44787,13.8283,1.41521,1.67607,0.21978
25,15.1535,1.11307,15.2631,1.11819,15.1923,1.08376,1.86444,0.176534
26,14.9466,1.14337,15.4007,1.1419,15.1923,1.08376,1.70765,0.19279
27,16.1073,0.754995,16.3679,0.772712,15.94,0.738969,1.49814,0.0979202
28,15.5536,0.868733,16.1376,0.902124,15.7614,0.86336,2.05192,0.131961
29,15.5696,0.869943,16.34,0.902879,15.7614,0.86336,1.85109,0.112608
30,15.2462,1.14223,14.8215,1.0863,15.1923,1.08376,1.66444,0.170189
31,15.9715,0.582301,15.5308,0.561527,15.9949,0.589204,1.74652,0.104496
32,16.4051,0.596114,15.9902,0.575873,15.9949,0.589204,1.32409,0.0707629
33,15.9554,0.874714,16.0556,0.901985,15.7614,0.86336,1.68132,0.0996259
34,15.1046,1.12029,15.1397,1.15123,15.1923,1.08376,1.61262,0.155777
35,15.0923,1.1388,15.1651,1.11732,15.1923,1.08376,1.6464,0.197866
36,14.8747,1.1096,15.0587,1.13663,15.1923,1.08376,1.62103,0.171549
37,15.1513,1.1545,15.443,1.12236,15.1923,1.08376,1.74002,0.204915
38,15.2198,1.12564,15.0184,1.10722,15.1923,1.08376,1.52285,0.184272
39,15.0967,1.14918,14.9944,1.11611,15.1923,1.08376,1.63755,0.195767
40,15.5439,0.867244,16.0365,0.892071,15.7614,0.86336,1.7415,0.111835
41,13.4976,1.40493,13.7597,1.42375,13.8283,1.41521,1.55222,0.244496
42,15.0171,1.09811,15.257,1.14557,15.1923,1.08376,1.71087,0.187763
43,14.7475,1.11811,15.4844,1.18151,15.1923,1.08376,1.42936,0.193509
44,15.1637,1.14589,14.8985,1.1402,15.1923,1.08376,1.76862,0.203462
45,15.1777,1.14548,15.1866,1.12659,15.1923,1.08376,1.71319,0.20718
46,15.9497,0.730349,15.9724,0.751601,15.94,0.738969,1.85808,0.115659
47,15.0395,1.14623,15.3808,1.16136,15.1923,1.08376,1.85689,0.168905
48,15.1105,1.13322,15.345,1.14848,15.1923,1.08376,1.59699,0.173713
49,15.0251,1.09489,15.1652,1.16535,15.1923,1.08376,1.91015,0.202391
50,14.8398,1.15056,15.1258,1.14656,15.1923,1.08376,1.80933,0.18536
51,14.982,1.11055,15.4035,1.1797,15.1923,1.08376,1.6896,0.192069
52,15.7698,0.571097,16.4547,0.597061,15.9949,0.589204,1.55037,0.0920722
53,15.0367,1.11314,15.3806,1.15342,15.1923,1.08376,1.93719,0.196391
54,14.0984,1.4371,14.0642,1.43471,13.8283,1.41521,2.06262,0.233
55,15.1454,1.12307,14.8307,1.10459,15.1923,1.08376,1.8292,0.203464
56,15.5249,0.390911,15.9002,0.41909,15.962,0.419955,1.7899,0.0832196
57,15.0578,1.11805,15.2185,1.14901,15.1923,1.08376,1.56164,0.196123
58,14.1141,1.43954,13.7545,1.43956,13.8283,1.41521,1.67564,0.246119
59,15.8867,0.719744,15.8681,0.736716,15.94,0.738969,1.68251,0.120705
60,14.6892,1.13875,15.5469,1.16268,15.1923,1.08376,1.54318,0.170117
61,15.0371,1.11318,15.3637,1.11806,15.1923,1.08376,1.61531,0.180885
62,15.0266,0.370357,15.5049,0.392295,15.962,0.419955,1.99911,0.0648717
63,15.104,1.12469,15.2185,1.19428,15.1923,1.08376,1.61975,0.197751
64,15.6422,0.865069,15.7585,0.888678,15.7614,0.86336,1.51507,0.101966
65,13.4991,1.40081,13.9705,1.44903,13.8283,1.41521,1.51632,0.19734
66,15.6259,0.855673,15.2283,0.846246,15.7614,0.86336,1.66486,0.105659
67,16.0364,0.896137,16.1796,0.881402,15.7614,0.86336,1.39765,0.112347
