id,eta_a_SAEM,eta_b_SAEM,eta_a_mean,eta_b_mean,eta_a_mode,eta_b_mode,eta_a_sd,eta_b_sd
1,-0.3267,0.0562928,-0.171405,0.0650507,-0.0376587,0.0252481,1.71509,0.179333
2,0.134567,0.0711816,-0.356349,0.0701545,-0.037659,0.0252481,1.4831,0.199354
3,0.771205,-0.171278,0.0731634,-0.22137,0.531441,-0.195154,1.84952,0.128286
4,0.00696315,0.0686036,-0.0423296,0.0864798,-0.0376593,0.0252481,1.51595,0.164648
5,0.186038,0.0895698,-0.123072,0.0740124,-0.0376591,0.0252481,1.78818,0.199113
6,0.14846,0.125185,-0.0448887,0.0631944,-0.0376592,0.0252479,1.47574,0.188826
7,-0.288276,0.0772664,-0.414891,0.0836638,-0.0376591,0.025248,1.62794,0.188242
8,-0.201783,0.0689926,-0.362178,0.0522835,-0.0376597,0.0252481,1.57957,0.180066
9,0.506101,-0.189489,0.553273,-0.174668,0.531441,-0.195154,1.64698,0.1178
10,0.742831,-0.178246,0.105827,-0.20638,0.531441,-0.195154,1.41046,0.115257
11,-0.0446901,0.0849284,-0.348785,0.0837643,-0.0376592,0.025248,1.69602,0.175787
12,0.0577083,-0.202282,0.582283,-0.162748,0.53144,-0.195154,2.04701,0.132578
13,0.517809,-0.193706,0.495929,-0.18394,0.531441,-0.195154,1.49366,0.112531
14,-0.410787,0.0857276,0.193113,0.0681117,-0.0376587,0.0252481,1.75815,0.192942
15,-0.415231,0.0764734,0.0769783,0.093551,-0.0376587,0.025248,1.72498,0.175939
16,-0.112665,0.0994012,-0.0232333,0.102489,-0.0376591,0.0252481,2.14344,0.190587
17,-0.439311,0.031184,0.131623,0.100241,-0.0376587,0.0252481,1.77766,0.198132
18,0.194483,0.10297,0.0214244,0.0927836,-0.0376594,0.025248,1.75885,0.221127
19,-1.10163,0.386429,-1.32811,0.342027,-1.40165,0.356692,1.62514,0.17143
20,0.0232541,0.0937285,0.168803,0.0998069,-0.037659,0.025248,1.87885,0.220855
21,0.4726,-0.464306,1.12481,-0.444895,0.764989,-0.46931,1.71371,0.115735
22,-0.308883,0.057767,-0.454887,0.0916987,-0.0376593,0.0252481,1.91988,0.198357
23,-0.00753623,0.0786903,-0.104819,0.0913404,-0.0376595,0.025248,1.57771,0.218509
24,-1.68792,0.383862,-1.30089,0.389354,-1.40165,0.356692,1.67607,0.21978
25,0.0595591,0.062862,0.0331494,0.0596727,-0.0376588,0.025248,1.86444,0.176534
26,-0.147396,0.0931672,0.170773,0.0833832,-0.0376588,0.025248,1.70765,0.19279
27,1.01333,-0.295209,1.13801,-0.285802,0.7101,-0.319545,1.49814,0.0979202
28,0.459637,-0.181472,0.907639,-0.15639,0.531441,-0.195154,2.05192,0.131961
29,0.475676,-0.180262,1.11006,-0.155636,0.53144,-0.195154,1.85109,0.112608
30,0.152237,0.0920283,-0.408423,0.027788,-0.0376589,0.025248,1.66444,0.170189
31,0.877551,-0.467904,0.300891,-0.496987,0.764989,-0.46931,1.74652,0.104496
32,1.31115,-0.454091,0.760302,-0.482641,0.764989,-0.46931,1.32409,0.0707629
33,0.861469,-0.175491,0.825666,-0.156529,0.53144,-0.195154,1.68132,0.0996259
34,0.0106552,0.0700852,-0.090188,0.0927163,-0.0376586,0.025248,1.61262,0.155777
35,-0.00164695,0.0885994,-0.0648423,0.0588036,-0.0376594,0.0252481,1.6464,0.197866
36,-0.219243,0.0593934,-0.171186,0.0781195,-0.0376586,0.025248,1.62103,0.171549
37,0.0572935,0.104294,0.213071,0.0638459,-0.0376594,0.025248,1.74002,0.204915
38,0.12584,0.0754369,-0.211502,0.0487044,-0.0376588,0.0252481,1.52285,0.184272
39,0.00274399,0.098979,-0.23551,0.0575937,-0.037659,0.0252481,1.63755,0.195767
40,0.449941,-0.182961,0.806565,-0.166444,0.531441,-0.195154,1.7415,0.111835
41,-1.59638,0.35473,-1.47018,0.365238,-1.40165,0.356692,1.55222,0.244496
42,-0.0768669,0.0479098,0.0270241,0.0870525,-0.0376589,0.0252481,1.71087,0.187763
43,-0.34643,0.0679094,0.254428,0.122997,-0.0376587,0.0252481,1.42936,0.193509
44,0.0697645,0.0956816,-0.331402,0.081684,-0.0376595,0.025248,1.76862,0.203462
45,0.0837188,0.0952772,-0.0432864,0.0680778,-0.037659,0.0252481,1.71319,0.20718
46,0.855772,-0.319856,0.742435,-0.306913,0.7101,-0.319545,1.85808,0.115659
47,-0.0544378,0.0960294,0.150866,0.10285,-0.0376588,0.0252481,1.85689,0.168905
48,0.0165208,0.0830169,0.115104,0.0899623,-0.0376587,0.025248,1.59699,0.173713
49,-0.0688564,0.0446855,-0.0647184,0.106839,-0.0376585,0.0252481,1.91015,0.202391
50,-0.254132,0.100352,-0.104111,0.0880507,-0.0376596,0.0252481,1.80933,0.18536
51,-0.111997,0.0603474,0.173606,0.121188,-0.0376588,0.025248,1.6896,0.192069
52,0.675801,-0.479108,1.22478,-0.461453,0.76499,-0.46931,1.55037,0.0920722
53,-0.0572597,0.0629393,0.150717,0.0949035,-0.0376588,0.025248,1.93719,0.196391
54,-0.995538,0.386897,-1.16568,0.376201,-1.40165,0.356692,2.06262,0.233
55,0.0514652,0.0728628,-0.399236,0.0460805,-0.0376593,0.025248,1.8292,0.203464
56,0.430991,-0.659294,0.670317,-0.639424,0.732082,-0.63856,1.7899,0.0832196
57,-0.0361702,0.0678463,-0.0113962,0.0904995,-0.0376595,0.025248,1.56164,0.196123
58,-0.979903,0.389334,-1.47542,0.381048,-1.40165,0.356692,1.67564,0.246119
59,0.792769,-0.330461,0.638187,-0.321799,0.7101,-0.319545,1.68251,0.120705
60,-0.404733,0.0885449,0.317012,0.104165,-0.0376593,0.025248,1.54318,0.170117
61,-0.0568997,0.0629731,0.133769,0.0595412,-0.037659,0.025248,1.61531,0.180885
62,-0.067366,-0.679847,0.274938,-0.666219,0.732082,-0.63856,1.99911,0.0648717
63,0.0100486,0.0744831,-0.0114781,0.135768,-0.0376592,0.0252481,1.61975,0.197751
64,0.548194,-0.185136,0.528578,-0.169836,0.531441,-0.195154,1.51507,0.101966
65,-1.59486,0.35061,-1.25942,0.390516,-1.40165,0.356692,1.51632,0.19734
66,0.531954,-0.194531,-0.00165739,-0.212269,0.531441,-0.195154,1.66486,0.105659
67,0.942453,-0.154068,0.949622,-0.177112,0.531441,-0.195154,1.39765,0.112347
68,-1.34144,0.376815,-1.84413,0.364736,-1.40165,0.356692,1.55305,0.184972
69,0.140764,0.0889824,0.187876,0.0721387,-0.0376588,0.0252481,2.01397,0.192622
70,-0.197519,0.0619911,-0.104542,0.0515632,-0.0376586,0.0252481,1.90886,0.201
71,-0.160944,0.0318111,-0.00959942,0.0991642,-0.0376595,0.0252481,1.65736,0.197008
72,0.0390074,0.11383,0.097424,0.0538327,-0.0376588,0.0252481,1.62915,0.124893
73,0.513979,-0.490496,0.00217954,-0.536459,0.764989,-0.46931,1.7861,0.106586
74,-1.64867,0.412788,-1.54556,0.367403,-1.40165,0.356692,2.03711,0.254772
75,-1.3596,0.38304,-1.19662,0.361564,-1.40165,0.356692,1.46577,0.191422
76,-0.117267,0.0864701,0.0134231,0.103588,-0.0376593,0.025248,1.76293,0.177422
77,0.212979,0.0824458,-0.307485,0.064139,-0.037659,0.0252481,1.83611,0.195524
78,1.44957,-0.451895,0.820131,-0.487838,0.764989,-0.46931,1.43161,0.100994
79,0.00415435,0.0857577,0.0948365,0.0841736,-0.037659,0.025248,1.76467,0.200067
