id,importanceSampling
1,1.047
2,1.075
3,4.277
4,1.055
5,1.080
6,1.058
7,1.057
8,1.060
9,4.288
10,4.233
11,1.068
12,4.274
13,4.269
14,1.061
15,1.056
16,1.051
17,1.042
18,1.048
19,4.339
20,1.070
21,5.953
22,1.058
23,1.065
24,4.339
25,1.068
26,1.066
27,4.802
28,4.275
29,4.240
30,1.056
31,5.959
32,5.942
33,4.285
34,1.045
35,1.062
36,1.060
37,1.083
38,1.038
39,1.053
40,4.277
41,4.314
42,1.064
43,1.061
44,1.055
45,1.084
46,4.821
47,1.081
48,1.084
49,1.030
50,1.054
51,1.063
52,5.977
53,1.063
54,4.338
55,1.050
56,8.616
57,1.068
58,4.339
59,4.794
60,1.072
61,1.054
62,8.604
63,1.062
64,4.261
65,4.332
66,4.278
67,4.297
68,4.332
69,1.075
70,1.060
71,1.037
72,1.073
73,5.942
74,4.344
75,4.334
76,1.057
77,1.052
78,5.966
79,1.053
80,4.236
81,1.066
82,1.060
83,4.326
84,1.055
85,1.059
86,1.084
87,4.772
88,1.062
89,1.036
90,1.050
91,5.967
92,4.327
93,1.066
94,4.265
95,1.075
96,1.074
97,4.767
98,1.055
99,8.541
100,1.073
