id,th1_SAEM,th2_SAEM,th3_SAEM,th4_SAEM,th1_mean,th2_mean,th3_mean,th4_mean,th1_mode,th2_mode,th3_mode,th4_mode,th1_sd,th2_sd,th3_sd,th4_sd
1,14.5182,1.35369,2.57116,-5.04389,13.5768,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.39818,0,0,0
2,14.442,1.35369,2.57116,-5.04389,14.5485,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,3.82968,0,0,0
3,14.7791,1.35369,2.57116,-5.04389,13.9419,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.44375,0,0,0
4,13.9661,1.35369,2.57116,-5.04389,14.6334,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.3569,0,0,0
5,13.8319,1.35369,2.57116,-5.04389,14.1031,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.30233,0,0,0
6,14.0671,1.35369,2.57116,-5.04389,13.3684,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.67453,0,0,0
7,14.4523,1.35369,2.57116,-5.04389,13.675,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.70855,0,0,0
8,14.4442,1.35369,2.57116,-5.04389,15.3976,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.48398,0,0,0
9,6.14546,1.35369,2.57116,-5.04389,6.51212,1.35362,2.59439,-5.0826,6.15549,1.35362,2.59439,-5.0826,1.09075,0,0,0
10,13.7198,1.35369,2.57116,-5.04389,13.4852,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.49171,0,0,0
11,13.9537,1.35369,2.57116,-5.04389,13.9587,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.06998,0,0,0
12,0.441833,1.35369,2.57116,-5.04389,0.181965,1.35362,2.59439,-5.0826,0.253993,1.35362,2.59439,-5.0826,1.10757,0,0,0
13,14.641,1.35369,2.57116,-5.04389,13.6407,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.34306,0,0,0
14,14.6502,1.35369,2.57116,-5.04389,12.7785,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.52468,0,0,0
15,14.1041,1.35369,2.57116,-5.04389,15.8367,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.56701,0,0,0
16,13.9984,1.35369,2.57116,-5.04389,14.5264,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.98212,0,0,0
17,14.5712,1.35369,2.57116,-5.04389,13.3417,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,3.9511,0,0,0
18,14.8851,1.35369,2.57116,-5.04389,14.0125,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.39848,0,0,0
19,14.522,1.35369,2.57116,-5.04389,13.5328,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.41988,0,0,0
20,15.1394,1.35369,2.57116,-5.04389,13.4091,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.6488,0,0,0
21,14.2979,1.35369,2.57116,-5.04389,13.5612,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.65747,0,0,0
22,13.246,1.35369,2.57116,-5.04389,13.7909,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.45119,0,0,0
23,13.9814,1.35369,2.57116,-5.04389,14.3806,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.94399,0,0,0
24,14.9532,1.35369,2.57116,-5.04389,13.9285,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.98252,0,0,0
25,6.27845,1.35369,2.57116,-5.04389,6.45408,1.35362,2.59439,-5.0826,6.15549,1.35362,2.59439,-5.0826,1.25593,0,0,0
26,5.40808,1.35369,2.57116,-5.04389,5.32234,1.35362,2.59439,-5.0826,5.17061,1.35362,2.59439,-5.0826,1.07011,0,0,0
27,3.09171,1.35369,2.57116,-5.04389,3.0196,1.35362,2.59439,-5.0826,2.73073,1.35362,2.59439,-5.0826,0.513439,0,0,0
28,14.8462,1.35369,2.57116,-5.04389,13.5609,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.25404,0,0,0
29,13.508,1.35369,2.57116,-5.04389,13.395,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.73641,0,0,0
30,14.4007,1.35369,2.57116,-5.04389,13.9312,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.69186,0,0,0
31,14.0643,1.35369,2.57116,-5.04389,14.1427,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.57256,0,0,0
32,14.0088,1.35369,2.57116,-5.04389,14.1724,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.85426,0,0,0
33,13.9888,1.35369,2.57116,-5.04389,15.1628,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.83127,0,0,0
34,14.6473,1.35369,2.57116,-5.04389,14.0459,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.52519,0,0,0
35,14.3183,1.35369,2.57116,-5.04389,14.9398,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.93271,0,0,0
36,0.590131,1.35369,2.57116,-5.04389,1.79997,1.35362,2.59439,-5.0826,1.09205,1.35362,2.59439,-5.0826,1.37033,0,0,0
37,14.5964,1.35369,2.57116,-5.04389,14.6008,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.21296,0,0,0
38,13.7517,1.35369,2.57116,-5.04389,13.9418,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.3577,0,0,0
39,14.3209,1.35369,2.57116,-5.04389,13.5126,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.72281,0,0,0
40,13.6646,1.35369,2.57116,-5.04389,14.0501,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.57307,0,0,0
41,14.1127,1.35369,2.57116,-5.04389,14.1943,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.85769,0,0,0
42,6.45503,1.35369,2.57116,-5.04389,6.2261,1.35362,2.59439,-5.0826,6.15549,1.35362,2.59439,-5.0826,1.34817,0,0,0
43,13.7271,1.35369,2.57116,-5.04389,14.0166,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.44185,0,0,0
44,14.3775,1.35369,2.57116,-5.04389,14.5065,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.00614,0,0,0
45,13.7343,1.35369,2.57116,-5.04389,14.5518,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.19333,0,0,0
46,14.0488,1.35369,2.57116,-5.04389,13.2127,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.58751,0,0,0
47,4.81148,1.35369,2.57116,-5.04389,4.47788,1.35362,2.59439,-5.0826,4.66276,1.35362,2.59439,-5.0826,1.03065,0,0,0
48,2.11803,1.35369,2.57116,-5.04389,1.83451,1.35362,2.59439,-5.0826,1.96697,1.35362,2.59439,-5.0826,0.887751,0,0,0
49,14.5414,1.35369,2.57116,-5.04389,14.5683,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.20137,0,0,0
50,14.432,1.35369,2.57116,-5.04389,14.5234,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.57246,0,0,0
51,13.7948,1.35369,2.57116,-5.04389,14.3574,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.88105,0,0,0
52,14.9682,1.35369,2.57116,-5.04389,14.2774,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.39929,0,0,0
53,14.5391,1.35369,2.57116,-5.04389,14.0503,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.0313,0,0,0
54,13.945,1.35369,2.57116,-5.04389,14.9942,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.85928,0,0,0
55,13.1542,1.35369,2.57116,-5.04389,13.4155,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,3.98715,0,0,0
56,13.1992,1.35369,2.57116,-5.04389,13.8294,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.23814,0,0,0
57,14.8688,1.35369,2.57116,-5.04389,14.0555,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.45768,0,0,0
58,-0.568963,1.35369,2.57116,-5.04389,-0.463704,1.35362,2.59439,-5.0826,-0.287483,1.35362,2.59439,-5.0826,1.66407,0,0,0
59,13.8102,1.35369,2.57116,-5.04389,14.3356,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.5036,0,0,0
60,0.855198,1.35369,2.57116,-5.04389,0.827216,1.35362,2.59439,-5.0826,1.09205,1.35362,2.59439,-5.0826,0.896181,0,0,0
61,14.0486,1.35369,2.57116,-5.04389,13.7086,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.2323,0,0,0
62,13.717,1.35369,2.57116,-5.04389,13.9227,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.01219,0,0,0
63,14.7845,1.35369,2.57116,-5.04389,14.1055,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.47439,0,0,0
64,14.2172,1.35369,2.57116,-5.04389,13.892,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.32838,0,0,0
65,14.9897,1.35369,2.57116,-5.04389,13.9911,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.67389,0,0,0
66,15.1451,1.35369,2.57116,-5.04389,14.3795,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,6.1566,0,0,0
67,13.4065,1.35369,2.57116,-5.04389,14.6148,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.28221,0,0,0
68,4.45895,1.35369,2.57116,-5.04389,4.72532,1.35362,2.59439,-5.0826,4.55818,1.35362,2.59439,-5.0826,0.516735,0,0,0
69,14.2696,1.35369,2.57116,-5.04389,13.9403,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,3.98884,0,0,0
70,13.998,1.35369,2.57116,-5.04389,13.1185,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,3.98154,0,0,0
71,14.8859,1.35369,2.57116,-5.04389,12.609,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.69987,0,0,0
72,4.03587,1.35369,2.57116,-5.04389,4.18893,1.35362,2.59439,-5.0826,4.28335,1.35362,2.59439,-5.0826,1.29551,0,0,0
73,13.3248,1.35369,2.57116,-5.04389,14.7035,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.90263,0,0,0
74,14.9829,1.35369,2.57116,-5.04389,14.172,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.47909,0,0,0
75,14.0507,1.35369,2.57116,-5.04389,13.5783,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.76034,0,0,0
76,2.48084,1.35369,2.57116,-5.04389,2.19213,1.35362,2.59439,-5.0826,1.96698,1.35362,2.59439,-5.0826,0.956715,0,0,0
77,13.6778,1.35369,2.57116,-5.04389,14.5637,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.62043,0,0,0
78,14.4723,1.35369,2.57116,-5.04389,13.3326,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.24889,0,0,0
79,13.7538,1.35369,2.57116,-5.04389,13.5693,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.0273,0,0,0
80,6.66306,1.35369,2.57116,-5.04389,6.93677,1.35362,2.59439,-5.0826,6.15549,1.35362,2.59439,-5.0826,1.50789,0,0,0
81,14.2988,1.35369,2.57116,-5.04389,13.5748,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.75066,0,0,0
