id,eta_th1_SAEM,eta_th2_SAEM,eta_th3_SAEM,eta_th4_SAEM,eta_th1_mean,eta_th2_mean,eta_th3_mean,eta_th4_mean,eta_th1_mode,eta_th2_mode,eta_th3_mode,eta_th4_mode,eta_th1_sd,eta_th2_sd,eta_th3_sd,eta_th4_sd
1,2.46605,0,0,0,1.56365,0,0,0,0.102069,0,0,0,4.39818,0,0,0
2,2.38981,0,0,0,2.53536,0,0,0,0.102069,0,0,0,3.82968,0,0,0
3,2.72692,0,0,0,1.92877,0,0,0,0.102069,0,0,0,4.44375,0,0,0
4,1.91394,0,0,0,2.6203,0,0,0,0.102069,0,0,0,5.3569,0,0,0
5,1.77971,0,0,0,2.09,0,0,0,0.102068,0,0,0,4.30233,0,0,0
6,2.01491,0,0,0,1.35529,0,0,0,0.102069,0,0,0,4.67453,0,0,0
7,2.40007,0,0,0,1.66189,0,0,0,0.102069,0,0,0,4.70855,0,0,0
8,2.39204,0,0,0,3.38453,0,0,0,0.102069,0,0,0,5.48398,0,0,0
9,-5.90674,0,0,0,-5.501,0,0,0,-5.85763,0,0,0,1.09075,0,0,0
10,1.66763,0,0,0,1.47213,0,0,0,0.102069,0,0,0,4.49171,0,0,0
11,1.90155,0,0,0,1.94559,0,0,0,0.102069,0,0,0,5.06998,0,0,0
12,-11.6104,0,0,0,-11.8312,0,0,0,-11.7591,0,0,0,1.10757,0,0,0
13,2.58881,0,0,0,1.62757,0,0,0,0.102069,0,0,0,4.34306,0,0,0
14,2.59797,0,0,0,0.765416,0,0,0,0.102069,0,0,0,4.52468,0,0,0
15,2.05191,0,0,0,3.82361,0,0,0,0.102069,0,0,0,5.56701,0,0,0
16,1.94617,0,0,0,2.51328,0,0,0,0.102069,0,0,0,5.98212,0,0,0
17,2.51902,0,0,0,1.32857,0,0,0,0.102069,0,0,0,3.9511,0,0,0
18,2.83291,0,0,0,1.99943,0,0,0,0.102069,0,0,0,4.39848,0,0,0
19,2.46977,0,0,0,1.51967,0,0,0,0.102069,0,0,0,5.41988,0,0,0
20,3.08722,0,0,0,1.39596,0,0,0,0.102069,0,0,0,4.6488,0,0,0
21,2.2457,0,0,0,1.54804,0,0,0,0.102068,0,0,0,4.65747,0,0,0
22,1.19376,0,0,0,1.77781,0,0,0,0.102069,0,0,0,4.45119,0,0,0
23,1.92925,0,0,0,2.36745,0,0,0,0.102069,0,0,0,4.94399,0,0,0
24,2.90102,0,0,0,1.91534,0,0,0,0.102068,0,0,0,4.98252,0,0,0
25,-5.77375,0,0,0,-5.55904,0,0,0,-5.85763,0,0,0,1.25593,0,0,0
26,-6.64412,0,0,0,-6.69077,0,0,0,-6.84251,0,0,0,1.07011,0,0,0
27,-8.96049,0,0,0,-8.99352,0,0,0,-9.28239,0,0,0,0.513439,0,0,0
28,2.79397,0,0,0,1.54776,0,0,0,0.102069,0,0,0,4.25404,0,0,0
29,1.45577,0,0,0,1.38186,0,0,0,0.102069,0,0,0,4.73641,0,0,0
30,2.3485,0,0,0,1.91807,0,0,0,0.102069,0,0,0,4.69186,0,0,0
31,2.01213,0,0,0,2.12958,0,0,0,0.102069,0,0,0,4.57256,0,0,0
32,1.95664,0,0,0,2.15924,0,0,0,0.102069,0,0,0,4.85426,0,0,0
33,1.93664,0,0,0,3.14968,0,0,0,0.102069,0,0,0,4.83127,0,0,0
34,2.59511,0,0,0,2.03282,0,0,0,0.102069,0,0,0,4.52519,0,0,0
35,2.26611,0,0,0,2.92664,0,0,0,0.102069,0,0,0,4.93271,0,0,0
36,-11.4621,0,0,0,-10.2131,0,0,0,-10.9211,0,0,0,1.37033,0,0,0
37,2.54422,0,0,0,2.5877,0,0,0,0.102069,0,0,0,4.21296,0,0,0
38,1.69946,0,0,0,1.92865,0,0,0,0.102069,0,0,0,5.3577,0,0,0
39,2.26869,0,0,0,1.49943,0,0,0,0.102069,0,0,0,4.72281,0,0,0
40,1.61242,0,0,0,2.03694,0,0,0,0.102069,0,0,0,5.57307,0,0,0
41,2.06054,0,0,0,2.1812,0,0,0,0.102069,0,0,0,4.85769,0,0,0
42,-5.59718,0,0,0,-5.78701,0,0,0,-5.85763,0,0,0,1.34817,0,0,0
43,1.67488,0,0,0,2.00343,0,0,0,0.102068,0,0,0,4.44185,0,0,0
44,2.32532,0,0,0,2.49334,0,0,0,0.102069,0,0,0,5.00614,0,0,0
45,1.68214,0,0,0,2.53867,0,0,0,0.102069,0,0,0,5.19333,0,0,0
46,1.99659,0,0,0,1.19959,0,0,0,0.102069,0,0,0,4.58751,0,0,0
47,-7.24072,0,0,0,-7.53523,0,0,0,-7.35036,0,0,0,1.03065,0,0,0
48,-9.93417,0,0,0,-10.1786,0,0,0,-10.0461,0,0,0,0.887751,0,0,0
49,2.48923,0,0,0,2.55516,0,0,0,0.102069,0,0,0,5.20137,0,0,0
50,2.3798,0,0,0,2.5103,0,0,0,0.102069,0,0,0,4.57246,0,0,0
51,1.74256,0,0,0,2.34427,0,0,0,0.102069,0,0,0,4.88105,0,0,0
52,2.91597,0,0,0,2.26432,0,0,0,0.102068,0,0,0,4.39929,0,0,0
53,2.48693,0,0,0,2.03722,0,0,0,0.102069,0,0,0,4.0313,0,0,0
54,1.8928,0,0,0,2.98108,0,0,0,0.102068,0,0,0,4.85928,0,0,0
55,1.10198,0,0,0,1.40238,0,0,0,0.102069,0,0,0,3.98715,0,0,0
56,1.14705,0,0,0,1.81628,0,0,0,0.102069,0,0,0,5.23814,0,0,0
57,2.8166,0,0,0,2.04235,0,0,0,0.102069,0,0,0,4.45768,0,0,0
58,-12.6212,0,0,0,-12.4768,0,0,0,-12.3006,0,0,0,1.66407,0,0,0
59,1.75804,0,0,0,2.32252,0,0,0,0.102069,0,0,0,4.5036,0,0,0
60,-11.197,0,0,0,-11.1859,0,0,0,-10.9211,0,0,0,0.896181,0,0,0
61,1.99636,0,0,0,1.69547,0,0,0,0.102068,0,0,0,4.2323,0,0,0
62,1.66479,0,0,0,1.90962,0,0,0,0.102069,0,0,0,5.01219,0,0,0
63,2.73233,0,0,0,2.09237,0,0,0,0.102069,0,0,0,4.47439,0,0,0
64,2.16498,0,0,0,1.87891,0,0,0,0.102068,0,0,0,4.32838,0,0,0
65,2.93749,0,0,0,1.97802,0,0,0,0.102069,0,0,0,4.67389,0,0,0
66,3.09294,0,0,0,2.3664,0,0,0,0.102069,0,0,0,6.1566,0,0,0
67,1.35433,0,0,0,2.60173,0,0,0,0.102069,0,0,0,4.28221,0,0,0
68,-7.59326,0,0,0,-7.2878,0,0,0,-7.45494,0,0,0,0.516735,0,0,0
69,2.21744,0,0,0,1.92722,0,0,0,0.102069,0,0,0,3.98884,0,0,0
70,1.9458,0,0,0,1.10542,0,0,0,0.102069,0,0,0,3.98154,0,0,0
71,2.83368,0,0,0,0.595912,0,0,0,0.102069,0,0,0,4.69987,0,0,0
72,-8.01633,0,0,0,-7.82419,0,0,0,-7.72977,0,0,0,1.29551,0,0,0
73,1.27257,0,0,0,2.69038,0,0,0,0.102069,0,0,0,4.90263,0,0,0
74,2.93072,0,0,0,2.1589,0,0,0,0.102069,0,0,0,4.47909,0,0,0
75,1.99849,0,0,0,1.56518,0,0,0,0.102069,0,0,0,4.76034,0,0,0
76,-9.57136,0,0,0,-9.82099,0,0,0,-10.0461,0,0,0,0.956715,0,0,0
77,1.62563,0,0,0,2.55058,0,0,0,0.102069,0,0,0,5.62043,0,0,0
78,2.42013,0,0,0,1.31951,0,0,0,0.102069,0,0,0,4.24889,0,0,0
79,1.70161,0,0,0,1.55614,0,0,0,0.102069,0,0,0,5.0273,0,0,0
80,-5.38914,0,0,0,-5.07635,0,0,0,-5.85763,0,0,0,1.50789,0,0,0
81,2.24658,0,0,0,1.56166,0,0,0,0.102069,0,0,0,4.75066,0,0,0
82,1.85611,0,0,0,2.18206,0,0,0,0.102069,0,0,0,4.46671,0,0,0
83,-5.55771,0,0,0,-5.81749,0,0,0,-5.85763,0,0,0,1.35731,0,0,0
84,2.66678,0,0,0,2.22272,0,0,0,0.102069,0,0,0,4.26634,0,0,0
85,2.40625,0,0,0,2.38472,0,0,0,0.102068,0,0,0,4.86914,0,0,0
86,2.54751,0,0,0,2.02025,0,0,0,0.102068,0,0,0,4.28878,0,0,0
87,2.87281,0,0,0,1.81213,0,0,0,0.102068,0,0,0,4.63403,0,0,0
88,1.8358,0,0,0,2.88006,0,0,0,0.102069,0,0,0,5.04911,0,0,0
89,1.57538,0,0,0,2.27484,0,0,0,0.102069,0,0,0,4.72971,0,0,0
90,0.954427,0,0,0,2.79048,0,0,0,0.102069,0,0,0,5.91053,0,0,0
91,1.69219,0,0,0,1.91477,0,0,0,0.102068,0,0,0,4.69864,0,0,0
92,2.52388,0,0,0,2.79438,0,0,0,0.102069,0,0,0,6.30425,0,0,0
93,-5.62801,0,0,0,-5.88304,0,0,0,-5.85763,0,0,0,1.45725,0,0,0
94,2.71969,0,0,0,2.84021,0,0,0,0.102069,0,0,0,5.18114,0,0,0
95,1.82787,0,0,0,2.1536,0,0,0,0.102069,0,0,0,5.12077,0,0,0
96,1.4432,0,0,0,1.53167,0,0,0,0.102069,0,0,0,4.23839,0,0,0
97,-6.16579,0,0,0,-5.99269,0,0,0,-6.31206,0,0,0,1.64697,0,0,0
98,-11.2395,0,0,0,-10.4672,0,0,0,-10.6049,0,0,0,1.05116,0,0,0
99,2.52404,0,0,0,2.88676,0,0,0,0.102068,0,0,0,5.33244,0,0,0
100,2.46204,0,0,0,2.00591,0,0,0,0.102069,0,0,0,4.55179,0,0,0
101,-6.54327,0,0,0,-6.46179,0,0,0,-6.84251,0,0,0,1.65318,0,0,0
102,2.45857,0,0,0,1.81491,0,0,0,0.102069,0,0,0,4.54759,0,0,0
103,1.64047,0,0,0,2.51244,0,0,0,0.102069,0,0,0,4.5165,0,0,0
104,-11.1972,0,0,0,-11.2449,0,0,0,-10.9211,0,0,0,1.05962,0,0,0
105,2.16245,0,0,0,2.24377,0,0,0,0.102069,0,0,0,5.12145,0,0,0
106,1.95421,0,0,0,2.41877,0,0,0,0.102068,0,0,0,4.1445,0,0,0
107,2.31437,0,0,0,1.70149,0,0,0,0.102068,0,0,0,4.45833,0,0,0
108,2.233,0,0,0,3.04349,0,0,0,0.102069,0,0,0,4.66035,0,0,0
109,1.51278,0,0,0,2.75534,0,0,0,0.102069,0,0,0,5.40607,0,0,0
110,1.78919,0,0,0,1.52751,0,0,0,0.102068,0,0,0,4.45918,0,0,0
111,2.12204,0,0,0,2.85834,0,0,0,0.102069,0,0,0,4.38068,0,0,0
112,1.55656,0,0,0,1.95821,0,0,0,0.102068,0,0,0,5.66672,0,0,0
113,2.26087,0,0,0,2.13712,0,0,0,0.102069,0,0,0,4.13069,0,0,0
114,2.41368,0,0,0,1.6783,0,0,0,0.102069,0,0,0,4.3812,0,0,0
115,2.30207,0,0,0,2.20037,0,0,0,0.102069,0,0,0,5.72387,0,0,0
116,3.23325,0,0,0,2.71749,0,0,0,0.102068,0,0,0,4.43231,0,0,0
117,1.44142,0,0,0,2.73248,0,0,0,0.102069,0,0,0,4.80698,0,0,0
118,1.92457,0,0,0,3.55052,0,0,0,0.102069,0,0,0,5.61948,0,0,0
119,2.65029,0,0,0,2.23484,0,0,0,0.102069,0,0,0,4.99544,0,0,0
120,2.47578,0,0,0,3.16005,0,0,0,0.102068,0,0,0,4.97921,0,0,0
121,-6.28581,0,0,0,-5.6318,0,0,0,-6.31206,0,0,0,1.8677,0,0,0
122,2.47116,0,0,0,1.92934,0,0,0,0.102069,0,0,0,4.4875,0,0,0
123,2.46357,0,0,0,1.9678,0,0,0,0.102069,0,0,0,4.70881,0,0,0
124,2.11104,0,0,0,2.45504,0,0,0,0.102069,0,0,0,5.3199,0,0,0
125,2.02705,0,0,0,1.98883,0,0,0,0.102069,0,0,0,5.30241,0,0,0
126,1.34956,0,0,0,2.02415,0,0,0,0.102069,0,0,0,4.37479,0,0,0
127,1.66506,0,0,0,1.37482,0,0,0,0.102069,0,0,0,4.80766,0,0,0
128,-6.17735,0,0,0,-6.16731,0,0,0,-6.31206,0,0,0,1.2249,0,0,0
129,1.76505,0,0,0,2.02386,0,0,0,0.102069,0,0,0,5.30325,0,0,0
130,2.49662,0,0,0,1.47286,0,0,0,0.102069,0,0,0,4.9657,0,0,0
131,2.0272,0,0,0,3.36317,0,0,0,0.102068,0,0,0,5.4823,0,0,0
132,2.37934,0,0,0,1.84861,0,0,0,0.102068,0,0,0,4.8325,0,0,0
133,1.80072,0,0,0,1.68025,0,0,0,0.102069,0,0,0,4.81724,0,0,0
134,-5.69465,0,0,0,-5.45326,0,0,0,-6.31206,0,0,0,2.13645,0,0,0
135,-17.8412,0,0,0,-17.0261,0,0,0,-16.321,0,0,0,2.47637,0,0,0
136,1.83459,0,0,0,3.25775,0,0,0,0.102069,0,0,0,5.14063,0,0,0
137,2.09293,0,0,0,2.6999,0,0,0,0.102069,0,0,0,4.87163,0,0,0
138,1.57053,0,0,0,2.33668,0,0,0,0.102069,0,0,0,5.86612,0,0,0
139,2.10906,0,0,0,2.19481,0,0,0,0.102069,0,0,0,4.69263,0,0,0
140,2.06241,0,0,0,1.68367,0,0,0,0.102069,0,0,0,4.63006,0,0,0
141,3.04208,0,0,0,2.99483,0,0,0,0.102069,0,0,0,4.4445,0,0,0
142,2.40665,0,0,0,2.58663,0,0,0,0.102069,0,0,0,5.00101,0,0,0
143,1.75401,0,0,0,2.21727,0,0,0,0.102069,0,0,0,4.87714,0,0,0
144,1.9843,0,0,0,2.85113,0,0,0,0.102069,0,0,0,5.14532,0,0,0
145,2.08396,0,0,0,2.4224,0,0,0,0.102068,0,0,0,4.72775,0,0,0
146,2.61329,0,0,0,1.99297,0,0,0,0.102069,0,0,0,4.49752,0,0,0
147,1.60083,0,0,0,1.91588,0,0,0,0.102069,0,0,0,4.70609,0,0,0
148,1.57717,0,0,0,2.46853,0,0,0,0.102069,0,0,0,4.62524,0,0,0
149,2.581,0,0,0,2.22327,0,0,0,0.102069,0,0,0,4.99682,0,0,0
150,2.01283,0,0,0,1.19993,0,0,0,0.102069,0,0,0,4.39913,0,0,0
151,1.56394,0,0,0,2.87113,0,0,0,0.102069,0,0,0,5.38154,0,0,0
152,2.8912,0,0,0,2.69275,0,0,0,0.102068,0,0,0,5.00429,0,0,0
153,1.24369,0,0,0,2.21372,0,0,0,0.102069,0,0,0,4.6931,0,0,0
154,2.41426,0,0,0,2.63148,0,0,0,0.102069,0,0,0,5.08423,0,0,0
155,1.61444,0,0,0,1.87235,0,0,0,0.102068,0,0,0,5.23823,0,0,0
156,2.00111,0,0,0,1.693,0,0,0,0.102068,0,0,0,4.48573,0,0,0
157,2.06501,0,0,0,1.88547,0,0,0,0.102068,0,0,0,4.71402,0,0,0
158,2.08048,0,0,0,1.29869,0,0,0,0.102069,0,0,0,4.45847,0,0,0
159,2.60536,0,0,0,1.98162,0,0,0,0.102069,0,0,0,4.82107,0,0,0
160,2.15507,0,0,0,3.06674,0,0,0,0.102069,0,0,0,4.49085,0,0,0
161,-9.56611,0,0,0,-8.8544,0,0,0,-9.26584,0,0,0,1.03326,0,0,0
162,1.85835,0,0,0,1.30797,0,0,0,0.102069,0,0,0,5.04987,0,0,0
163,1.90585,0,0,0,1.7785,0,0,0,0.102068,0,0,0,4.41875,0,0,0
164,2.06174,0,0,0,2.04173,0,0,0,0.102069,0,0,0,4.52158,0,0,0
165,1.96882,0,0,0,1.70454,0,0,0,0.102069,0,0,0,4.42257,0,0,0
166,2.01702,0,0,0,2.65456,0,0,0,0.102069,0,0,0,4.96212,0,0,0
167,2.93443,0,0,0,1.35955,0,0,0,0.102069,0,0,0,4.16005,0,0,0
168,1.77569,0,0,0,2.78393,0,0,0,0.102069,0,0,0,4.9405,0,0,0
169,2.25701,0,0,0,2.04049,0,0,0,0.102069,0,0,0,5.50966,0,0,0
170,2.62238,0,0,0,2.37197,0,0,0,0.102069,0,0,0,4.82309,0,0,0
171,1.57847,0,0,0,3.52008,0,0,0,0.102069,0,0,0,5.15031,0,0,0
172,2.02536,0,0,0,1.46717,0,0,0,0.102069,0,0,0,4.69843,0,0,0
173,2.41111,0,0,0,2.09211,0,0,0,0.102068,0,0,0,4.89592,0,0,0
174,1.25458,0,0,0,1.69746,0,0,0,0.102069,0,0,0,4.66092,0,0,0
175,2.99727,0,0,0,2.16633,0,0,0,0.102069,0,0,0,4.07222,0,0,0
176,-6.04127,0,0,0,-5.79054,0,0,0,-6.31206,0,0,0,1.27807,0,0,0
177,2.51666,0,0,0,3.64339,0,0,0,0.102068,0,0,0,4.4219,0,0,0
178,1.77254,0,0,0,2.50747,0,0,0,0.102069,0,0,0,4.82339,0,0,0
179,2.18442,0,0,0,1.39025,0,0,0,0.102069,0,0,0,4.967,0,0,0
180,1.01618,0,0,0,1.79832,0,0,0,0.102069,0,0,0,4.98875,0,0,0
181,2.23207,0,0,0,1.83528,0,0,0,0.102069,0,0,0,4.76831,0,0,0
182,2.61731,0,0,0,2.4774,0,0,0,0.102069,0,0,0,4.67235,0,0,0
183,2.00211,0,0,0,3.61311,0,0,0,0.102069,0,0,0,5.68035,0,0,0
184,2.60475,0,0,0,3.00371,0,0,0,0.102069,0,0,0,6.16728,0,0,0
185,1.8881,0,0,0,2.19858,0,0,0,0.102069,0,0,0,4.46092,0,0,0
186,1.32483,0,0,0,0.257798,0,0,0,0.102069,0,0,0,3.86023,0,0,0
187,2.39037,0,0,0,2.66386,0,0,0,0.102069,0,0,0,4.70531,0,0,0
188,2.17301,0,0,0,2.42599,0,0,0,0.102069,0,0,0,6.31255,0,0,0
189,-5.46242,0,0,0,-5.46573,0,0,0,-5.85763,0,0,0,1.80716,0,0,0
190,2.968,0,0,0,3.26456,0,0,0,0.102069,0,0,0,5.16106,0,0,0
