rep,id,eta_th1,eta_th2,eta_th3,eta_th4
1,1,-4.61654408851267,0,0,0
2,1,7.28527305901178,0,0,0
1,2,3.57001341754663,0,0,0
2,2,-1.64470993099747,0,0,0
1,3,0.55590331441966,0,0,0
2,3,1.95909324693602,0,0,0
1,4,-4.0896731196874,0,0,0
2,4,2.15718002294767,0,0,0
1,5,-2.24170583318415,0,0,0
2,5,-4.67343029004661,0,0,0
1,6,4.80117212750074,0,0,0
2,6,-2.81419911768376,0,0,0
1,7,-3.94147639943411,0,0,0
2,7,-2.01214446226361,0,0,0
1,8,8.08889968108246,0,0,0
2,8,-2.30704913426127,0,0,0
1,9,-5.82685945058034,0,0,0
2,9,-5.17497958986849,0,0,0
1,10,-0.10060323858405,0,0,0
2,10,0.13729359680693,0,0,0
1,11,12.4560005035362,0,0,0
2,11,7.73349925713901,0,0,0
1,12,-11.9592340775916,0,0,0
2,12,-10.7625686674047,0,0,0
1,13,-3.94250402187891,0,0,0
2,13,8.08204913708703,0,0,0
1,14,1.31934985166611,0,0,0
2,14,-4.17339974191809,0,0,0
1,15,9.92115881966893,0,0,0
2,15,8.61785290894025,0,0,0
1,16,3.98491328391351,0,0,0
2,16,-2.53499334631464,0,0,0
1,17,-2.86022053907997,0,0,0
2,17,-4.08314452727436,0,0,0
1,18,0.345265623218057,0,0,0
2,18,-1.20870905945765,0,0,0
1,19,7.33785874265738,0,0,0
2,19,2.47055534448742,0,0,0
1,20,2.83994426845387,0,0,0
2,20,-2.52862478181132,0,0,0
1,21,0.540861890508237,0,0,0
2,21,-3.90729428372942,0,0,0
1,22,1.89622379940161,0,0,0
2,22,2.92055025157428,0,0,0
1,23,5.80026343587161,0,0,0
2,23,8.03817426618088,0,0,0
1,24,0.115271380335246,0,0,0
2,24,0.166188353251888,0,0,0
1,25,-6.52971602165638,0,0,0
2,25,-4.16608032148777,0,0,0
1,26,-6.37765346080745,0,0,0
2,26,-8.36835819472791,0,0,0
1,27,-9.17749840400442,0,0,0
2,27,-9.0380313051676,0,0,0
1,28,-1.56672792495804,0,0,0
2,28,0.973475485507829,0,0,0
1,29,4.12525678113066,0,0,0
2,29,4.67128589725109,0,0,0
1,30,6.8639957587545,0,0,0
2,30,-2.76929225098094,0,0,0
1,31,-4.3761511728127,0,0,0
2,31,6.90161683649518,0,0,0
1,32,-1.73384815599296,0,0,0
2,32,0.0531271293483893,0,0,0
1,33,4.00149435998369,0,0,0
2,33,5.0605411928225,0,0,0
1,34,2.90652097747297,0,0,0
2,34,1.87772749800591,0,0,0
1,35,6.38784731356833,0,0,0
2,35,2.55550035378281,0,0,0
1,36,-9.71872869211319,0,0,0
2,36,-10.0840716392264,0,0,0
1,37,0.187782705784904,0,0,0
2,37,1.98494899111398,0,0,0
1,38,0.266017721100872,0,0,0
2,38,-3.37195293936551,0,0,0
1,39,2.06528384695137,0,0,0
2,39,-3.87278045502799,0,0,0
1,40,0.566365734070941,0,0,0
2,40,-1.0962111011593,0,0,0
1,41,16.8916948320345,0,0,0
2,41,-0.448346443774404,0,0,0
1,42,-4.89060356065837,0,0,0
2,42,-4.09245235253783,0,0,0
1,43,5.03860412669225,0,0,0
2,43,-0.565520827402899,0,0,0
1,44,-2.16189854633367,0,0,0
2,44,-6.234876250528,0,0,0
1,45,4.31716864463159,0,0,0
2,45,3.51485184432358,0,0,0
1,46,1.79834192919618,0,0,0
2,46,-4.81562869010924,0,0,0
1,47,-7.53307746305804,0,0,0
2,47,-6.78606092921677,0,0,0
1,48,-9.13400351479532,0,0,0
2,48,-11.0601571830708,0,0,0
1,49,-3.31059497623951,0,0,0
2,49,7.13637595022497,0,0,0
1,50,-3.15240240141561,0,0,0
2,50,7.58807060192381,0,0,0
1,51,-3.01290662179468,0,0,0
2,51,7.74465366040235,0,0,0
1,52,2.39677665565537,0,0,0
2,52,10.5312511006284,0,0,0
1,53,4.87273310622803,0,0,0
2,53,5.87616861962894,0,0,0
1,54,0.376977407188694,0,0,0
2,54,7.75154576670823,0,0,0
1,55,-5.03586608577185,0,0,0
2,55,4.04413857943101,0,0,0
1,56,11.0195154428672,0,0,0
2,56,-0.818352043365418,0,0,0
1,57,1.67704730922745,0,0,0
2,57,4.76689189087524,0,0,0
1,58,-10.8856887310382,0,0,0
2,58,-10.0426778284686,0,0,0
1,59,-0.396770782656674,0,0,0
2,59,4.39401460788868,0,0,0
1,60,-11.4608590020473,0,0,0
2,60,-11.1436045358386,0,0,0
1,61,0.890589008921795,0,0,0
2,61,2.92010088964541,0,0,0
1,62,3.7901748032128,0,0,0
2,62,4.46630913634475,0,0,0
1,63,5.13881549262127,0,0,0
2,63,3.43599901037938,0,0,0
1,64,7.87963086218863,0,0,0
2,64,-2.21411703989881,0,0,0
1,65,0.2018403937287,0,0,0
2,65,-0.774072718598704,0,0,0
1,66,7.4546382265194,0,0,0
2,66,-0.922456475677059,0,0,0
1,67,1.97044138544401,0,0,0
2,67,2.84500484643118,0,0,0
1,68,-7.01291461117597,0,0,0
2,68,-7.59802642184101,0,0,0
1,69,-0.951871169867457,0,0,0
2,69,4.51568876732062,0,0,0
1,70,3.76935671543275,0,0,0
2,70,6.75721619115178,0,0,0
1,71,-6.4521184095047,0,0,0
2,71,-0.56299106913782,0,0,0
1,72,-8.1604690896561,0,0,0
2,72,-7.53898720853471,0,0,0
1,73,10.3748590009146,0,0,0
2,73,7.77878627464829,0,0,0
1,74,0.936248762939302,0,0,0
2,74,3.48638043520515,0,0,0
1,75,-1.31387377831629,0,0,0
2,75,3.96990791276681,0,0,0
1,76,-9.62984471147842,0,0,0
2,76,-10.2367847158415,0,0,0
1,77,1.40699201861981,0,0,0
2,77,8.59311174936924,0,0,0
1,78,-3.7202913555398,0,0,0
2,78,1.23912886676155,0,0,0
1,79,8.73121144362764,0,0,0
2,79,2.86001295059091,0,0,0
1,80,-7.28978912659183,0,0,0
2,80,-5.98417414732785,0,0,0
1,81,1.76872708640778,0,0,0
2,81,-4.41220837131816,0,0,0
1,82,-0.52466651658227,0,0,0
2,82,0.476424600269096,0,0,0
1,83,-3.33505631773847,0,0,0
2,83,-6.72070732675693,0,0,0
1,84,-4.04582835534968,0,0,0
2,84,0.26570772036913,0,0,0
1,85,14.9050284713441,0,0,0
2,85,-4.22722097876957,0,0,0
1,86,5.88115207700705,0,0,0
2,86,8.43159904783057,0,0,0
1,87,9.30075418696387,0,0,0
2,87,5.26868292938553,0,0,0
1,88,2.69226349007993,0,0,0
2,88,4.06815472359692,0,0,0
1,89,9.33479064221512,0,0,0
2,89,2.27881313672216,0,0,0
1,90,5.12502600505972,0,0,0
2,90,-1.34404505480247,0,0,0
1,91,-0.723102432230301,0,0,0
2,91,-2.5548397582463,0,0,0
1,92,2.07284293889496,0,0,0
2,92,8.50712776428743,0,0,0
1,93,-7.00257251610725,0,0,0
2,93,-6.7155066793333,0,0,0
1,94,13.4890264100593,0,0,0
2,94,-3.11321232068573,0,0,0
1,95,-2.82727754474881,0,0,0
2,95,-2.03412430380827,0,0,0
1,96,1.73782113578826,0,0,0
2,96,-1.62435136556045,0,0,0
1,97,-5.8663953372702,0,0,0
2,97,-5.85836729099117,0,0,0
1,98,-10.629402002629,0,0,0
2,98,-9.00854071433727,0,0,0
1,99,4.53800757598177,0,0,0
2,99,8.50627910469478,0,0,0
1,100,-2.28740252140406,0,0,0
2,100,7.7542654390877,0,0,0
1,101,-6.48575516737428,0,0,0
2,101,-6.28500410723819,0,0,0
1,102,-3.54865136251609,0,0,0
2,102,-0.775998716047224,0,0,0
1,103,3.40571987349216,0,0,0
2,103,-0.904122569500881,0,0,0
1,104,-12.2506547255957,0,0,0
2,104,-11.0113228994864,0,0,0
1,105,9.83406343449148,0,0,0
2,105,8.33673356711545,0,0,0
1,106,-2.72612567362859,0,0,0
2,106,-0.146739554137593,0,0,0
1,107,-3.64726225358977,0,0,0
2,107,11.6177618601147,0,0,0
1,108,-3.91267796948323,0,0,0
2,108,-0.657600643956421,0,0,0
1,109,-0.454250604258788,0,0,0
2,109,3.46915873596807,0,0,0
1,110,0.00522425769751367,0,0,0
2,110,-5.86745178018703,0,0,0
1,111,5.6965734930645,0,0,0
2,111,-2.54200422156961,0,0,0
1,112,2.39910735571216,0,0,0
2,112,-6.33460849017121,0,0,0
1,113,-2.65544637794891,0,0,0
2,113,-0.907676622860651,0,0,0
1,114,7.3906027833146,0,0,0
2,114,-1.9930254974907,0,0,0
1,115,2.45014045106391,0,0,0
2,115,-1.50805380205292,0,0,0
1,116,-3.0775235025837,0,0,0
2,116,-3.86786716885679,0,0,0
1,117,-5.3434306837002,0,0,0
2,117,17.0873711695581,0,0,0
1,118,-7.1346268470441,0,0,0
2,118,8.29253868710822,0,0,0
1,119,0.525891277558491,0,0,0
2,119,3.58417639106703,0,0,0
1,120,7.59123348798271,0,0,0
2,120,0.834042899064182,0,0,0
1,121,0.54124520917821,0,0,0
2,121,-2.78750957249241,0,0,0
1,122,2.32385722833721,0,0,0
2,122,5.92372855248955,0,0,0
1,123,4.76330686509639,0,0,0
2,123,3.88797631788056,0,0,0
1,124,10.9938909913041,0,0,0
2,124,-0.180031644973373,0,0,0
1,125,3.33887573864308,0,0,0
2,125,4.28349768619238,0,0,0
1,126,-0.55215314607628,0,0,0
2,126,-0.90840478683685,0,0,0
1,127,5.04742134852187,0,0,0
2,127,9.09700293951179,0,0,0
1,128,-6.60292627935687,0,0,0
2,128,-6.46142157224072,0,0,0
1,129,2.91036316799116,0,0,0
2,129,-2.93008591267566,0,0,0
1,130,-1.17377121177352,0,0,0
2,130,-0.21540180332681,0,0,0
1,131,-1.85769576878929,0,0,0
2,131,-0.695932793041576,0,0,0
1,132,7.21623395661282,0,0,0
2,132,-0.148638334949977,0,0,0
1,133,3.93727123610941,0,0,0
2,133,2.71013099815423,0,0,0
1,134,-6.83049197348466,0,0,0
2,134,-4.86399987285492,0,0,0
1,135,-16.3945095958691,0,0,0
2,135,-14.3931484797851,0,0,0
1,136,2.87614035534576,0,0,0
2,136,8.47275766459389,0,0,0
1,137,-1.05844622705828,0,0,0
2,137,-1.57589916861769,0,0,0
1,138,1.70334515704442,0,0,0
2,138,3.06805007738398,0,0,0
1,139,5.77077953943139,0,0,0
2,139,1.89144073753734,0,0,0
1,140,4.37955930538469,0,0,0
2,140,-1.98251345755972,0,0,0
1,141,3.73818589929393,0,0,0
2,141,5.71252300316171,0,0,0
1,142,-0.763386019678844,0,0,0
2,142,0.251036289858197,0,0,0
1,143,3.52122846695784,0,0,0
2,143,5.95937738772939,0,0,0
1,144,11.9911779573957,0,0,0
2,144,-0.0162232821258845,0,0,0
1,145,9.87125228788902,0,0,0
2,145,-4.44069407675096,0,0,0
1,146,0.210486581647618,0,0,0
2,146,6.02852505173225,0,0,0
1,147,3.96002844339636,0,0,0
2,147,12.9920155513099,0,0,0
