id,lambda_SAEM,lambda_mean,lambda_mode,lambda_sd
1,0.439097,0.424596,0.435711,0.114819
2,3.92447,3.95828,4.00343,0.465357
3,0.278712,0.27876,0.281924,0.0987106
4,0.18453,0.193719,0.193116,0.0642117
5,0.572939,0.577715,0.561539,0.134613
6,0.368786,0.395019,0.404572,0.107168
7,0.564269,0.565287,0.561539,0.151406
8,0.116688,0.111959,0.109816,0.0565938
9,0.1237,0.114093,0.109816,0.0529387
10,0.441146,0.415067,0.404572,0.0971972
11,1.09334,1.11227,1.04322,0.174969
12,1.048,1.06412,1.04322,0.185701
13,1.4416,1.43924,1.46647,0.237873
14,1.00993,1.03354,1.04322,0.201842
15,0.103982,0.104233,0.109816,0.0422896
16,0.348321,0.312753,0.342806,0.0775985
17,0.472749,0.473908,0.466993,0.145322
18,0.185425,0.198125,0.193116,0.0603386
19,0.11479,0.113542,0.109816,0.0490776
20,2.89245,2.92067,2.97884,0.340766
21,1.89958,1.90399,1.92509,0.283037
22,0.498013,0.520094,0.498401,0.114363
23,0.534394,0.519056,0.52992,0.125829
24,0.270164,0.279515,0.281924,0.0971402
25,0.167521,0.184268,0.164524,0.0887042
26,0.0714439,0.0561463,0.0606922,0.034609
27,0.354145,0.336817,0.342806,0.0937495
28,0.735119,0.707472,0.688828,0.177657
29,0.141482,0.148826,0.136676,0.0653644
30,0.663492,0.680418,0.656899,0.155549
31,1.90703,2.00621,1.95792,0.246578
32,0.142334,0.13489,0.136676,0.0492106
33,0.114563,0.11132,0.109816,0.0505515
34,0.271325,0.291183,0.281924,0.0926041
35,0.49906,0.48973,0.498401,0.102791
36,7.85106,8.19049,7.9166,0.192104
37,0.882221,0.823366,0.8493,0.159585
38,0.670077,0.732195,0.720819,0.176109
39,1.89432,1.82567,1.85945,0.24423
40,0.222178,0.227971,0.222288,0.0762526
41,0.381697,0.384524,0.373595,0.0964477
42,0.502837,0.499253,0.498401,0.140222
43,0.366258,0.392249,0.373595,0.126503
44,0.815716,0.803452,0.784963,0.128362
45,0.536882,0.539979,0.52992,0.136008
46,0.259578,0.244216,0.251919,0.0837657
47,0.599317,0.562307,0.561539,0.115559
48,0.148499,0.128063,0.136676,0.0519825
49,0.260127,0.232311,0.251919,0.0693083
50,1.97257,1.87111,1.92509,0.280809
51,0.381574,0.355603,0.373595,0.0984176
52,1.13692,1.12223,1.14058,0.170809
53,0.782475,0.780202,0.784964,0.171603
54,0.306491,0.306515,0.312236,0.0798385
55,1.02302,1.04092,1.04322,0.141532
56,0.181852,0.197665,0.193116,0.0758713
57,0.138083,0.13144,0.136676,0.0714905
58,0.512033,0.498041,0.498401,0.132902
59,0.220906,0.243296,0.222288,0.0876151
60,0.161817,0.169027,0.164524,0.067813
61,0.242323,0.276901,0.251919,0.0827043
62,1.56962,1.52312,1.56456,0.244488
63,0.23175,0.261409,0.251919,0.087816
64,1.14813,1.10412,1.14058,0.181938
65,0.273137,0.295509,0.281924,0.107922
66,0.480824,0.475765,0.466994,0.109735
67,0.303026,0.320629,0.312236,0.114207
68,0.712904,0.73308,0.720818,0.136274
69,0.103553,0.124942,0.109816,0.0656344
70,0.235735,0.242944,0.222288,0.0828918
71,1.48941,1.45963,1.43381,0.168326
72,0.237964,0.246869,0.251919,0.0838267
73,0.989109,1.01555,0.978445,0.164041
74,0.129472,0.104404,0.109816,0.0513725
75,1.86133,1.90142,1.89227,0.215383
76,0.315509,0.319565,0.312236,0.0990491
77,2.30637,2.33386,2.25376,0.343242
78,1.88917,1.91933,1.85945,0.185313
79,0.182914,0.20382,0.193116,0.0812514
80,7.29567,6.83051,6.75462,0.445031
81,0.141273,0.148467,0.136676,0.0770397
82,0.476345,0.498334,0.466993,0.130084
83,2.87376,2.7528,2.91284,0.317333
84,1.31208,1.22721,1.23815,0.167705
85,0.589521,0.574844,0.593248,0.139362
86,0.364793,0.373513,0.373595,0.112015
87,0.44202,0.414259,0.435711,0.111519
88,0.676406,0.693138,0.688828,0.152255
89,0.571344,0.550114,0.561539,0.148436
90,1.30182,1.3763,1.36852,0.223446
91,0.453363,0.459325,0.435711,0.122136
92,0.208765,0.189831,0.193116,0.070535
93,0.324598,0.318944,0.312236,0.0930082
94,2.51277,2.59837,2.51716,0.204999
95,1.86145,1.80312,1.79385,0.212963
96,0.263027,0.243379,0.251919,0.0764276
97,0.566014,0.574052,0.561539,0.122727
98,0.440855,0.41231,0.435711,0.120233
99,1.58434,1.60644,1.59728,0.226002
100,0.285307,0.283626,0.281924,0.080409
