id,eta_lambda_SAEM,eta_lambda_mean,eta_lambda_mode,eta_lambda_sd
1,-0.11229,-0.145379,-0.0803816,0.286986
2,2.10787,2.11944,2.13755,0.115637
3,-0.581914,-0.589296,-0.515725,0.355019
4,-1.01615,-0.947838,-0.894068,0.344907
5,0.153056,0.174571,0.17332,0.234765
6,-0.287696,-0.216187,-0.154533,0.280045
7,0.144293,0.1431,0.17332,0.274629
8,-1.55201,-1.5608,-1.45856,0.503056
9,-1.48076,-1.538,-1.45856,0.505481
10,-0.129712,-0.15673,-0.154533,0.238174
11,0.821335,0.844311,0.792701,0.158599
12,0.77877,0.798161,0.792702,0.167728
13,1.09753,1.10032,1.13325,0.170397
14,0.73659,0.764519,0.792701,0.194099
15,-1.65829,-1.59791,-1.45855,0.430136
16,-0.34689,-0.440973,-0.320197,0.240445
17,-0.0349213,-0.0448063,-0.0110465,0.319507
18,-1.03701,-0.916711,-0.894068,0.318325
19,-1.4936,-1.52852,-1.45856,0.47052
20,1.79997,1.81491,1.84193,0.122965
21,1.37539,1.38341,1.40537,0.147757
22,-0.00221271,0.071172,0.0540437,0.229986
23,0.0937344,0.0650276,0.115365,0.245051
24,-0.613181,-0.589089,-0.515725,0.370709
25,-1.13671,-1.05973,-1.05431,0.506501
26,-2.05658,-2.34773,-2.05155,0.723047
27,-0.325952,-0.379005,-0.320197,0.295811
28,0.414747,0.371364,0.37763,0.261061
29,-1.29505,-1.24986,-1.23975,0.446862
30,0.311165,0.339167,0.330169,0.229943
31,1.38337,1.43907,1.42228,0.123284
32,-1.33178,-1.3266,-1.23975,0.39771
33,-1.52659,-1.56176,-1.45856,0.515874
34,-0.617454,-0.535834,-0.515725,0.329384
35,0.0184088,0.0163132,0.0540438,0.197713
36,2.80417,2.85309,2.81935,0.023759
37,0.59886,0.5361,0.58705,0.203087
38,0.333321,0.408277,0.423026,0.251706
39,1.37336,1.34351,1.37067,0.132727
40,-0.828959,-0.791572,-0.753388,0.374049
41,-0.273353,-0.237116,-0.23419,0.25451
42,0.0285089,0.0189283,0.0540439,0.268815
43,-0.300761,-0.238248,-0.234189,0.328864
44,0.521001,0.519282,0.508275,0.155788
45,0.100316,0.101383,0.115365,0.260136
46,-0.663379,-0.727816,-0.628253,0.394707
47,0.210483,0.152669,0.17332,0.213544
48,-1.27759,-1.39859,-1.23975,0.454616
49,-0.649347,-0.75797,-0.628253,0.323893
50,1.41808,1.36563,1.40537,0.150641
51,-0.253425,-0.321748,-0.23419,0.279874
52,0.860081,0.854029,0.881927,0.15355
53,0.481468,0.477659,0.508276,0.223352
54,-0.481706,-0.465916,-0.413603,0.262099
55,0.752135,0.780622,0.792702,0.14318
56,-1.02429,-0.936352,-0.894068,0.355808
57,-1.36624,-1.42446,-1.23975,0.550699
58,0.0440975,0.0187709,0.0540437,0.262798
59,-0.826846,-0.723697,-0.753388,0.3456
60,-1.16317,-1.10874,-1.05431,0.410004
61,-0.714741,-0.579871,-0.628253,0.309959
62,1.18903,1.15739,1.198,0.16922
63,-0.756365,-0.650491,-0.628253,0.35257
64,0.86546,0.8369,0.881927,0.155873
65,-0.626447,-0.534379,-0.515725,0.364894
66,-0.0109238,-0.0181889,-0.0110462,0.226668
67,-0.502841,-0.452253,-0.413603,0.36731
68,0.377067,0.422725,0.423025,0.185416
69,-1.5927,-1.45744,-1.45856,0.515218
70,-0.755031,-0.724918,-0.753388,0.355228
71,1.13126,1.12198,1.11073,0.115167
72,-0.764677,-0.712576,-0.628253,0.376343
73,0.709688,0.752422,0.728603,0.165169
74,-1.42669,-1.62106,-1.45856,0.48742
75,1.36093,1.38687,1.38817,0.109654
76,-0.466028,-0.435632,-0.413603,0.299877
77,1.57636,1.58723,1.56299,0.146095
78,1.37385,1.3976,1.37067,0.0982986
79,-1.02759,-0.92346,-0.894068,0.418889
80,2.72758,2.66966,2.66062,0.065338
81,-1.28516,-1.28305,-1.23975,0.50394
82,-0.0251519,0.0173197,-0.0110465,0.277533
83,1.79331,1.75644,1.81952,0.11434
84,1.00694,0.945839,0.96401,0.136419
85,0.195257,0.168889,0.22825,0.234127
86,-0.287424,-0.281045,-0.23419,0.310805
87,-0.0989267,-0.167132,-0.0803815,0.270659
88,0.326851,0.360107,0.37763,0.21871
89,0.150028,0.115426,0.17332,0.277376
90,0.9897,1.05592,1.06412,0.169116
91,-0.0828319,-0.0669472,-0.0803816,0.291023
92,-0.902307,-0.982379,-0.894068,0.388995
93,-0.424022,-0.43688,-0.413603,0.304506
94,1.662,1.70205,1.67352,0.0810841
95,1.35637,1.33283,1.33476,0.119535
96,-0.64908,-0.713974,-0.628253,0.325991
97,0.143867,0.170887,0.17332,0.226348
98,-0.0983003,-0.177567,-0.0803819,0.290932
99,1.19206,1.21451,1.2187,0.141188
100,-0.550989,-0.549071,-0.515726,0.282455
