rep,id,lambda
1,1,0.44544029222877
2,1,0.501249575316804
3,1,0.22483901714901
4,1,0.298420610961166
5,1,0.264290440519684
1,2,4.44107573684266
2,2,3.53609375340972
3,2,4.63429333818175
4,2,3.47330842840685
5,2,4.82292225429919
1,3,0.329287289389131
2,3,0.25875927449908
3,3,0.341599370946099
4,3,0.356877648927674
5,3,0.151844169033717
1,4,0.17752534641859
2,4,0.174652364636723
3,4,0.219960673593226
4,4,0.344153348802517
5,4,0.329589689376444
1,5,0.589048623099491
2,5,0.566961269539767
3,5,0.562604127398253
4,5,0.729910050315986
5,5,0.40887136500662
1,6,0.269472846458019
2,6,0.443438759766903
3,6,0.455048011549119
4,6,0.360025797296454
5,6,0.445330103895431
1,7,0.89148230644399
2,7,0.33085643093847
3,7,0.537386767276995
4,7,0.501008091309851
5,7,0.583771192290683
1,8,0.12653612411818
2,8,0.0521420715518009
3,8,0.0806334558107729
4,8,0.0629413707614099
5,8,0.121195792366086
1,9,0.091534766501714
2,9,0.0469236656299588
3,9,0.124560986311496
4,9,0.0591653266850951
5,9,0.118792729341707
1,10,0.284399587327297
2,10,0.576306432055335
3,10,0.418179043067285
4,10,0.389719421618293
5,10,0.399574278909976
1,11,1.11304428499395
2,11,1.13156706924979
3,11,0.988234527012313
4,11,1.29474891868458
5,11,1.36824630916553
1,12,1.04809790168084
2,12,1.51060318664096
3,12,1.15758469618097
4,12,1.21646107745624
5,12,1.01960327706548
1,13,1.58176538452319
2,13,1.1993000559836
3,13,0.997929439736761
4,13,1.28989347591852
5,13,1.55596182996782
1,14,1.08735607617272
2,14,0.769946598067882
3,14,1.11699624724293
4,14,1.30957724002549
5,14,1.47660340393924
1,15,0.144789685756743
2,15,0.106832763606768
3,15,0.201514014189415
4,15,0.0998049043287921
5,15,0.0728378043108087
1,16,0.279814208140005
2,16,0.234139830385146
3,16,0.369623390198242
4,16,0.335993676274644
5,16,0.436705355958187
1,17,0.348735588012361
2,17,0.655627965452536
3,17,0.517862327927292
4,17,0.408763940000624
5,17,0.519084435215633
1,18,0.232615617080266
2,18,0.218870940418495
3,18,0.248324719312442
4,18,0.382933745790606
5,18,0.133542705938891
1,19,0.157901200069336
2,19,0.0515058372632207
3,19,0.19595658714976
4,19,0.107774222849069
5,19,0.0971164185722954
1,20,2.66126660703897
2,20,2.7503675713459
3,20,2.44456963719175
4,20,3.16978538533357
5,20,3.16978538533357
1,21,1.47908295644361
2,21,1.59185614055932
3,21,1.75014298704647
4,21,1.63667570630133
5,21,1.77963441504515
1,22,0.340868845676866
2,22,0.575154268947572
3,22,0.751658618815688
4,22,0.438387148153952
5,22,0.458497246242986
1,23,0.443583971879569
2,23,0.55564064386254
3,23,0.904127403574308
4,23,0.570421483346479
5,23,0.309008163941906
1,24,0.289484480750465
2,24,0.457569615945638
3,24,0.351197993271782
4,24,0.170430585997239
5,24,0.223430270157763
1,25,0.15383478599202
2,25,0.177876806558382
3,25,0.0996963667546473
4,25,0.137117565764489
5,25,0.151192958098833
1,26,0.0786570445702991
2,26,0.0577757565058857
3,26,0.0666954583836942
4,26,0.0836268060891824
5,26,0.054466391755654
1,27,0.310454842961591
2,27,0.267681666561981
3,27,0.218608321627139
4,27,0.288374277214249
5,27,0.203524326168907
1,28,0.871133700408441
2,28,0.684043456503951
3,28,0.343237958832763
4,28,0.836157745086912
5,28,0.706043188209721
1,29,0.138684136883172
2,29,0.0849217864847609
3,29,0.238143744321183
4,29,0.0791773230810336
5,29,0.297161373838535
1,30,0.825410724607522
2,30,0.731432934258846
3,30,0.611253258681298
4,30,0.406606445680729
5,30,0.609613101074114
1,31,1.71335038933617
2,31,1.429991064521
3,31,1.82432835666718
4,31,1.96949281866963
5,31,2.09861975166489
1,32,0.207067082835954
2,32,0.0976999782577106
3,32,0.06086326986213
4,32,0.219474332769118
5,32,0.194914835340944
1,33,0.0795124534638474
2,33,0.125103692424344
3,33,0.0698379733214378
4,33,0.144050666092455
5,33,0.0600637316342198
1,34,0.41257960806087
2,34,0.35899413818447
3,34,0.20489917274823
4,34,0.436653845484465
5,34,0.442570274900547
1,35,0.445165306076017
2,35,0.459199470365217
3,35,0.424379689012788
4,35,0.412613860567504
5,35,0.511545933265709
1,36,8.25663142729716
2,36,8.25663142729716
3,36,8.25663142729716
4,36,8.4723034864817
5,36,8.00428738273876
1,37,0.640544032703125
2,37,0.614336410590701
3,37,0.863133348745514
4,37,0.963121911567719
5,37,0.633328516924068
1,38,0.502604348137576
2,38,1.08251885454869
3,38,0.737768134295938
4,38,0.824330447270075
5,38,0.868940003492853
1,39,1.68638588975777
2,39,1.58643257421861
3,39,2.10231784618317
4,39,1.70887827243264
5,39,1.89605256145202
1,40,0.220665054924634
2,40,0.179014506094391
3,40,0.258217949620988
4,40,0.211982476174661
5,40,0.289005649440684
1,41,0.227545973013454
2,41,0.348618296467994
3,41,0.277121375738499
4,41,0.388908742853796
5,41,0.509428765062775
1,42,0.56595127238821
2,42,0.66088720116514
3,42,0.377749721079321
4,42,0.423699756390548
5,42,0.388467245946605
1,43,0.38093936180843
2,43,0.222524741090576
3,43,0.288201523453145
4,43,0.620689206130474
5,43,0.3289783416238
1,44,0.735136848051471
2,44,0.803931328181085
3,44,0.799266626527817
4,44,0.774471797882801
5,44,0.968484652735469
1,45,0.616410426466367
2,45,0.338412479103333
3,45,0.378924493923213
4,45,0.439073793768346
5,45,0.664056073427138
1,46,0.259908400413255
2,46,0.293714347482595
3,46,0.344024132744641
4,46,0.139788426419759
5,46,0.398247455092332
1,47,0.527457417936995
2,47,0.694771806837769
3,47,0.615370012367232
4,47,0.573525758547852
5,47,0.594645960338775
1,48,0.220981248067529
2,48,0.104754426305716
3,48,0.153891982041676
4,48,0.0901143456251349
5,48,0.0468960125597313
1,49,0.211965324580603
2,49,0.222643442461126
3,49,0.348653938110443
4,49,0.260993195986829
5,49,0.259511114541409
1,50,1.53031658326802
2,50,2.10324034387321
3,50,1.67610890825937
4,50,1.92598659569788
5,50,1.78358182779698
1,51,0.295129827126959
2,51,0.252995492513369
3,51,0.348897912921114
4,51,0.340475415307681
5,51,0.571676808257867
1,52,0.908334068080927
2,52,1.25312589994154
3,52,1.06462796212676
4,52,0.945368302248267
5,52,1.09615092955789
1,53,0.982176250220597
2,53,0.559973881807637
3,53,0.782112459398259
4,53,0.834074437109571
5,53,0.85720504332978
1,54,0.275160725503723
2,54,0.414154186532025
3,54,0.245999409238847
4,54,0.258331192838342
