rep,id,eta_lambda
1,1,-0.0582984391963301
2,1,0.0597424784248421
3,1,-0.741976986158113
4,1,-0.458857715417354
5,1,-0.580313001042697
1,2,2.24129025620583
2,2,2.01341628443208
3,2,2.28387735133241
4,2,1.99550120334191
5,2,2.32377364721135
1,3,-0.360431063188988
2,3,-0.601463465535383
3,3,-0.323723032527272
4,3,-0.279968650000168
5,3,-1.13450686170737
1,4,-0.978248257501865
2,4,-0.994564142497699
3,4,-0.7639128789682
4,4,-0.316274313502252
5,4,-0.359513137632952
1,5,0.221147079248654
2,5,0.182929340757364
3,5,0.175214579374205
4,5,0.435559654857853
5,5,-0.143961057359716
1,6,-0.560894022932219
2,6,-0.0628019446850063
3,6,-0.0369587196750142
4,6,-0.271185964907728
5,6,-0.0585458392769357
1,7,0.63552393720884
2,7,-0.355677115052423
3,7,0.12935641933024
4,7,0.0592605983262074
5,7,0.212147459086787
1,8,-1.31683381939436
2,8,-2.20338951466347
3,8,-1.76744800505756
4,8,-2.01515798268881
5,8,-1.35995429636616
1,9,-1.64064279106566
2,9,-2.30883950710795
3,9,-1.3325662070883
4,9,-2.07702598053226
5,9,-1.379981448719
1,10,-0.506981406048467
2,10,0.199277866382772
3,10,-0.121451979433959
4,10,-0.19193460448679
5,10,-0.16696197533671
1,11,0.857492486390191
2,11,0.873997085004872
3,11,0.738558392149986
4,11,1.00871041720252
5,11,1.06392347958763
1,12,0.797370625204918
2,12,1.16290265844985
3,12,0.896729301982791
4,12,0.946339513249601
5,12,0.769807233619206
1,13,1.20893518129962
2,13,0.932131725970598
3,13,0.748320919198105
4,13,1.00495326419141
5,13,1.19248752062113
1,14,0.834142757508108
2,14,0.488959506336787
3,14,0.86103678644117
4,14,1.02009799362559
5,14,1.14013807892991
1,15,-1.18207940649445
2,15,-1.48609699812288
3,15,-0.851502724651888
4,15,-1.55414432926623
5,15,-1.86912654254541
1,16,-0.523235812376843
2,16,-0.701443150312436
3,16,-0.244877030013795
4,16,-0.34026931377239
5,16,-0.0781029279141315
1,17,-0.303047645361357
2,17,0.32823184928555
3,17,0.0923477777852844
4,17,-0.14422382734031
5,17,0.0947049052630297
1,18,-0.707974273756922
2,18,-0.768879410001612
3,18,-0.642624411169925
4,18,-0.209499666222612
5,18,-1.26294033158905
1,19,-1.0953921315288
2,19,-2.21566650678376
3,19,-0.879468512384116
4,19,-1.47732314320469
5,19,-1.58145120263098
1,20,1.72919580355617
2,20,1.7621281910889
3,20,1.64426271596028
4,20,1.90405750984463
5,20,1.90405750984463
1,21,1.14181589773996
2,21,1.21529434540368
3,21,1.31009111751612
4,21,1.24306080235627
5,21,1.32680158443838
1,22,-0.32586386643118
