id,importanceSampling
1,53.270
2,513.307
3,39.749
4,32.137
5,67.078
6,52.859
7,66.274
8,18.841
9,18.843
10,50.077
11,83.670
12,95.075
13,89.583
14,80.904
15,20.236
16,45.980
17,56.313
18,32.137
19,20.236
20,139.090
21,155.859
22,57.829
23,60.030
24,43.345
25,27.161
26,8.498
27,47.354
28,68.035
29,23.220
30,94.194
31,143.487
32,23.220
33,18.847
34,41.146
35,61.412
36,915.423
37,77.249
38,94.016
39,137.125
40,34.017
41,51.696
42,61.408
43,49.502
44,71.395
45,64.188
46,37.017
47,61.867
48,23.226
49,36.995
50,110.440
51,58.865
52,92.026
53,71.969
54,45.866
55,88.069
56,30.753
57,23.226
58,55.056
59,34.017
60,28.551
61,37.017
62,104.692
63,37.009
64,88.437
65,44.723
66,54.928
67,45.046
68,72.369
69,18.839
70,34.017
71,99.069
72,38.394
73,90.460
74,18.846
75,132.667
76,45.046
77,106.550
78,119.772
79,32.139
80,190.522
81,23.208
82,54.926
83,161.583
84,107.440
85,61.632
86,54.466
87,61.453
88,75.199
89,68.457
90,109.333
91,54.648
92,32.124
93,45.045
94,118.939
95,107.512
96,37.001
97,90.429
98,53.274
99,105.381
100,43.916
