id,eta_Te_SAEM,eta_Te_mean,eta_Te_mode,eta_Te_sd
1,-0.0357546,-0.072035,-0.0129935,0.191921
2,-0.0489709,-0.032339,-0.0146136,0.22068
3,0.0317572,0.0253465,0.0185743,0.208524
4,-0.0250409,-0.049878,-0.0328847,0.262921
5,0.0860973,0.0628026,0.100654,0.222391
6,0.0486915,0.072059,0.0420161,0.2372
7,0.0119518,0.0246538,0.00296095,0.258844
8,-0.0438156,0.0057366,-0.0350484,0.245425
9,-0.0752849,-0.000186631,-0.0453745,0.24042
10,0.0124726,0.0343518,-0.0100223,0.234678
11,-0.0409707,-0.0623275,-0.0479678,0.23122
12,0.110243,0.093364,0.100654,0.223041
13,-0.0879575,-0.0668964,-0.0250248,0.257933
14,-0.00249121,-0.0264143,0.00339146,0.241177
15,0.119619,0.0473543,0.100654,0.238336
16,-0.0571979,-0.129043,-0.0561963,0.224566
17,-0.041745,0.0162574,-0.0220523,0.242523
18,-0.0930265,0.00857227,-0.0341619,0.215637
19,-0.0414993,-0.00288828,-0.00754906,0.211702
20,0.0337975,0.0452905,0.0372306,0.252633
21,0.0269294,-0.00126419,-0.00623005,0.204642
22,0.0977489,0.124586,0.100654,0.238801
23,0.148277,0.0641854,0.100654,0.19528
24,-0.106034,-0.110537,-0.0576963,0.276095
25,-0.0168369,-0.0214503,-0.0151957,0.238863
26,0.0823449,0.067613,0.100654,0.215883
27,-0.0114037,-0.0053081,-0.021476,0.233889
28,-0.00393395,-0.0344197,-0.0245145,0.235854
29,-0.0205521,0.0368418,-0.0112707,0.237558
30,-0.0253816,0.014726,-0.0163617,0.209906
31,0.104131,0.0575635,0.0265774,0.259252
32,-0.0392843,-0.0365405,-0.0452166,0.217899
33,-0.0387183,-0.0771258,-0.027932,0.211372
34,-0.0844221,-0.031695,-0.0324079,0.219658
35,-0.0102577,-0.0788913,-0.0327587,0.250335
36,0.0480994,-0.0271051,0.0136438,0.25831
37,-0.0735941,-0.0895281,-0.024818,0.238583
38,-0.0243635,-0.0464346,-0.000829935,0.252043
39,0.0145614,-0.0146579,0.00561963,0.212844
40,-0.102456,-0.0705585,-0.049835,0.206405
41,-0.128338,-0.0142902,-0.0519416,0.243009
42,-0.0399357,-0.0422591,-0.0396024,0.232694
43,-0.109105,-0.0282109,-0.0371932,0.239293
44,-0.0279365,-0.0364564,0.00641215,0.211069
45,-0.0680278,-0.059673,-0.0560202,0.245829
46,-0.0768573,0.0278466,-0.0366136,0.207462
47,0.140376,0.0805177,0.100655,0.207375
48,0.0122616,-0.0352941,0.00742391,0.206653
49,-0.0402818,-0.06175,-0.0358653,0.243015
50,-0.0784749,-0.0445297,-0.0377585,0.264505
51,-0.0139516,-0.0185231,0.0111033,0.22362
52,0.00583736,-0.0160359,-0.0276408,0.256332
53,-0.00133133,0.00914165,-0.00479489,0.228719
54,-0.00898844,0.0141135,0.000313878,0.205601
55,-0.0131185,0.00137694,-0.032212,0.214871
56,-0.000300926,-0.0483694,-0.0112708,0.211492
57,0.111443,0.0674399,0.100655,0.256319
58,0.173164,0.114191,0.100654,0.209652
59,-0.11661,-0.000440109,-0.0488209,0.21856
60,0.0229412,-0.0247712,-0.0153179,0.238536
61,-0.0167059,-0.0219024,-0.0432382,0.247772
62,-0.0395059,-0.0650069,-0.016891,0.201438
63,-0.0533672,-0.0150387,-0.0423661,0.2505
64,0.0123719,0.030191,0.0379153,0.264164
65,-0.00609882,-0.0136176,-0.0108273,0.229303
66,0.00283898,0.0516398,-0.0237706,0.222829
67,0.0235227,0.0241314,0.0240991,0.235819
68,-0.0413625,-0.0262572,-0.0133844,0.233652
69,-0.137282,-0.00961219,-0.0500814,0.219314
70,0.0444183,0.0140728,0.0154711,0.223537
71,-0.0637084,-0.0948391,-0.0564465,0.272092
72,-0.0689449,-0.0319297,-0.039091,0.233266
73,0.136557,0.139991,0.100654,0.256986
74,-0.00182629,-0.0863544,-0.0432809,0.242977
75,0.13667,0.0560117,0.100654,0.23308
76,-0.0271018,0.0064996,-0.0298099,0.240067
77,0.115442,0.119978,0.100654,0.237231
78,-0.0119108,-0.0544758,-0.035217,0.2487
79,-0.0449456,0.000381849,-0.00361599,0.230281
80,-0.0314289,-0.00298648,-0.0114988,0.230611
81,-0.0478669,0.04598,-0.0184287,0.275628
82,-0.0893249,-0.0266844,-0.0271135,0.216523
83,0.169415,0.105818,0.100655,0.187434
84,-0.0333888,-0.0736994,-0.0405412,0.245578
85,-0.0115981,-0.0192835,-0.0189329,0.221156
86,0.012676,0.0354776,-0.00259757,0.219438
87,-0.0169693,0.0095245,-0.0182241,0.248741
88,-0.0469131,-0.0689973,-0.0128181,0.247624
89,-0.0932378,-0.0638042,-0.0550967,0.208153
90,-0.0518354,-0.0225883,-0.0296706,0.26452
91,-0.0413358,-0.0101966,-0.00673578,0.270341
92,0.206815,0.0976316,0.100654,0.199515
93,-0.0861131,-0.0462757,-0.0579026,0.238269
94,0.170504,0.168602,0.100654,0.200335
95,-0.122864,-0.0553481,-0.0569898,0.241861
96,0.0634287,0.0535769,0.0428281,0.243642
97,-0.0539674,-0.0454449,-0.0315823,0.271061
98,-0.0347015,-0.0596793,-0.0536918,0.196815
99,0.0834387,0.0277532,0.0451586,0.248139
100,-0.0281332,-0.0208201,-0.0284186,0.26953
