id,importanceSampling
1,9.057
2,8.996
3,10.228
4,8.341
5,3.712
6,11.124
7,9.661
8,8.256
9,7.890
10,9.170
11,7.803
12,3.706
13,8.624
14,9.671
15,3.709
16,7.503
17,8.726
18,8.288
19,9.258
20,10.932
21,9.309
22,3.704
23,3.705
24,7.448
25,8.981
26,3.712
27,8.744
28,8.638
29,9.129
30,8.941
31,10.541
32,7.895
33,8.502
34,8.355
35,8.325
36,10.048
37,8.627
38,9.507
39,9.755
40,7.731
41,7.644
42,8.092
43,8.182
44,9.771
45,7.505
46,8.216
47,3.697
48,9.826
49,8.226
50,8.157
51,9.948
52,8.531
53,9.361
54,9.553
55,8.356
56,9.130
57,3.707
58,3.713
59,7.768
60,8.976
61,7.970
62,8.917
63,7.994
64,10.977
65,9.134
66,8.668
67,10.441
68,9.047
69,7.726
70,10.116
71,7.502
72,8.114
73,3.715
74,7.959
75,3.712
76,8.440
77,3.709
78,8.259
79,9.401
80,9.123
81,8.848
82,8.549
83,3.702
84,8.062
85,8.839
86,9.447
87,8.873
88,9.063
89,7.545
90,8.439
91,9.287
92,3.704
93,7.441
94,3.712
95,7.473
96,11.151
97,8.379
98,7.597
99,11.236
100,8.496
