site DOY count mined cover DOP Wtemp sample GP PR DM EC-A EC-L DES-L DF
VF-1 -1.497002529 0 1 -1.442317177 -0.595683397 -1.229378612 1 1 0 0 0 0 0 0
VF-2 -1.497002529 0 1 0.29841045 -0.595683397 0.084765289 1 1 0 0 0 0 0 0
VF-3 -1.294466893 0 1 0.397880601 -1.191366794 1.014176271 1 1 0 0 0 0 0 0
R-1 -2.712216348 2 0 -0.447615676 0 -3.023357951 1 1 0 0 0 0 0 0
R-2 -0.686859984 2 0 0.596820901 0.595683397 -0.144345326 1 1 0 0 0 0 0 0
R-3 -0.686859984 1 0 1.342847027 0.595683397 -0.014660072 1 1 0 0 0 0 0 0
R-4 -0.970409875 1 0 -0.944966426 -0.595683397 -0.44694425 1 1 0 0 0 0 0 0
R-5 -0.970409875 2 0 0.497350751 -0.595683397 -0.602566554 1 1 0 0 0 0 0 0
R-6 -0.767874239 4 0 0.149205225 0 -0.092471224 1 1 0 0 0 0 0 0
R-7 -1.578016784 1 0 1.889932853 1.787050192 -0.248093528 1 1 0 0 0 0 0 0
VF-4 -1.294466893 0 1 -1.591522402 -1.191366794 2.004107039 1 1 0 0 0 0 0 0
R-8 -1.578016784 0 0 -0.149205225 1.787050192 1.169798575 1 1 0 0 0 0 0 0
R-9 -1.497002529 1 0 -0.049735075 -1.191366794 -0.792771592 1 1 0 0 0 0 0 0
R-10 -1.578016784 0 0 1.193641802 1.787050192 -0.658763497 1 1 0 0 0 0 0 0
R-11 -1.537509657 0 0 1.790462703 -1.191366794 -0.101116908 1 1 0 0 0 0 0 0
VF-5 -1.091931257 0 1 -1.541787327 0.595683397 0.88881386 1 1 0 0 0 0 0 0
VF-6 -1.294466893 0 1 -0.397880601 -1.191366794 0.25767896 1 1 0 0 0 0 0 0
R-12 -0.767874239 1 0 0.795761201 0 0.214450542 1 1 0 0 0 0 0 0
VF-7 -1.091931257 0 1 -0.696291051 0.595683397 0.339812954 1 1 0 0 0 0 0 0
VF-9 -1.091931257 0 1 0.447615676 0.595683397 -0.170282376 1 1 0 0 0 0 0 0
VF-8 -1.091931257 0 1 -0.696291051 0.595683397 -0.377778782 1 1 0 0 0 0 0 0
VF-10 -1.294466893 0 1 -0.795761201 -1.191366794 1.238964044 1 1 0 0 0 0 0 0
VF-11 -1.091931257 0 1 -0.646555976 0.595683397 0.689963138 1 1 0 0 0 0 0 0
VF-1 -0.322295839 0 1 -1.442317177 -0.301823307 0.239069426 2 1 0 0 0 0 0 0
VF-2 -0.322295839 0 1 0.29841045 -0.301823307 1.338788788 2 1 0 0 0 0 0 0
VF-3 -0.484324348 0 1 0.397880601 -0.301823307 0.294055395 2 1 0 0 0 0 0 0
R-1 -0.524831475 1 0 -0.447615676 -0.301823307 -1.364687976 2 1 0 0 0 0 0 0
R-2 -0.200774457 5 0 0.596820901 3.169144721 1.412103412 2 1 0 0 0 0 0 0
R-3 -0.200774457 6 0 1.342847027 3.169144721 -0.402433535 2 1 0 0 0 0 0 0
R-4 -0.524831475 0 0 -0.944966426 -0.301823307 -1.11725112 2 1 0 0 0 0 0 0
R-5 -0.524831475 3 0 0.497350751 -0.301823307 -0.860649935 2 1 0 0 0 0 0 0
R-6 -0.443817221 1 0 0.149205225 -0.301823307 0.101604506 2 1 0 0 0 0 0 0
R-7 -0.524831475 0 0 1.889932853 -0.301823307 -1.108086792 2 1 0 0 0 0 0 0
VF-4 -0.484324348 0 1 -1.591522402 -0.301823307 2.209399949 2 1 0 0 0 0 0 0
R-8 -0.443817221 1 0 -0.149205225 -0.301823307 0.394863003 2 1 0 0 0 0 0 0
R-9 -0.443817221 1 0 -0.049735075 -0.301823307 -0.429926519 2 1 0 0 0 0 0 0
R-10 -0.524831475 1 0 1.193641802 -0.301823307 -1.465495584 2 1 0 0 0 0 0 0
R-11 -0.524831475 2 0 1.790462703 -0.301823307 -0.23747563 2 1 0 0 0 0 0 0
VF-5 -0.443817221 0 1 -1.541787327 -0.301823307 0.147426146 2 1 0 0 0 0 0 0
VF-6 -0.484324348 0 1 -0.397880601 -0.301823307 -0.05418907 2 1 0 0 0 0 0 0
R-12 -0.443817221 2 0 0.795761201 -0.301823307 0.074111522 2 1 0 0 0 0 0 0
VF-7 -0.443817221 0 1 -0.696291051 -0.301823307 -1.016443511 2 1 0 0 0 0 0 0
VF-9 -0.484324348 0 1 0.447615676 -0.301823307 -0.439090847 2 1 0 0 0 0 0 0
VF-8 -0.484324348 0 1 -0.696291051 -0.301823307 -0.081682054 2 1 0 0 0 0 0 0
VF-10 -0.484324348 0 1 -0.795761201 -0.301823307 1.998620405 2 1 0 0 0 0 0 0
VF-11 -0.484324348 0 1 -0.646555976 -0.301823307 0.367370019 2 1 0 0 0 0 0 0
VF-1 0.649875216 0 1 -1.442317177 1.658312395 -0.826482546 3 1 0 0 0 0 0 0
VF-2 0.649875216 2 1 0.29841045 1.658312395 0.195819483 3 1 0 0 0 0 0 0
VF-3 0.649875216 0 1 0.397880601 -1.658312395 -0.161628779 3 1 0 0 0 0 0 0
R-1 0.163789689 6 0 -0.447615676 0 -0.583417728 3 1 0 0 0 0 0 0
R-2 0.609368088 5 0 0.596820901 0 0.946460832 3 1 0 0 0 0 0 0
R-3 1.297989252 4 0 1.342847027 1.658312395 0.56041671 3 1 0 0 0 0 0 0
R-4 0.609368088 3 0 -0.944966426 0 0.782034632 3 1 0 0 0 0 0 0
R-5 0.609368088 3 0 0.497350751 0 0.102882934 3 1 0 0 0 0 0 0
R-6 0.123282561 2 0 0.149205225 0 0.453182231 3 1 0 0 0 0 0 0
R-7 0.082775434 1 0 1.889932853 0 0.052840178 3 1 0 0 0 0 0 0
VF-4 0.649875216 0 1 -1.591522402 -1.658312395 0.639055327 3 1 0 0 0 0 0 0
R-8 0.123282561 0 0 -0.149205225 0 0.631906362 3 1 0 0 0 0 0 0
R-9 0.123282561 0 0 -0.049735075 0 -0.354650841 3 1 0 0 0 0 0 0
R-10 0.082775434 3 0 1.193641802 0 -0.647758415 3 1 0 0 0 0 0 0
R-11 0.082775434 4 0 1.790462703 0 1.396845642 3 1 0 0 0 0 0 0
VF-5 0.649875216 0 1 -1.541787327 1.658312395 1.511229086 3 1 0 0 0 0 0 0
VF-6 0.163789689 0 1 -0.397880601 0 -1.905976297 3 1 0 0 0 0 0 0
R-12 0.082775434 7 0 0.795761201 0 0.174372587 3 1 0 0 0 0 0 0
VF-7 0.649875216 0 1 -0.696291051 -1.658312395 1.368249781 3 1 0 0 0 0 0 0
VF-9 0.163789689 0 1 0.447615676 0 -1.755848027 3 1 0 0 0 0 0 0
VF-8 0.163789689 0 1 -0.696291051 0 -1.484187348 3 1 0 0 0 0 0 0
VF-10 0.649875216 0 1 -0.795761201 -1.658312395 0.417437405 3 1 0 0 0 0 0 0
VF-11 0.163789689 0 1 -0.646555976 0 -1.512783209 3 1 0 0 0 0 0 0
VF-1 1.379003507 0 1 -1.442317177 -0.091599899 -1.034892866 4 1 0 0 0 0 0 0
VF-2 1.379003507 0 1 0.29841045 -0.091599899 -0.022802046 4 1 0 0 0 0 0 0
